target_rmse,target_mae
1489399.9,734405.44
1066745.1,643748.6
1333173.0,694133.6
870303.9,593011.4
867863.4,583103.2
996984.3,650602.7
1545518.2,807491.2
896433.2,606493.4
1087689.1,616833.06
914818.25,569214.25
1124314.8,600030.4
1390683.1,771705.6
756053.8,544708.8
947504.6,655813.6
962802.9,649445.94
1611489.1,821873.4
,
1128788.2,648296.6
1044887.5,670283.5
1088448.0,697429.2
650531.7,485177.97
1692848.8,899607.06
966217.25,641219.75
964637.2,608255.7
930446.7,599174.75
964262.4,632224.6
1201582.2,615926.75
1930707.2,795916.2
1245101.0,688078.8
513112220.0,513110880.0
1747050.1,963515.94
1587209.8,831719.75
1265927.2,713739.44
725611.5,604387.3
1207078.6,759873.1
717030.5,527141.7
1459085.9,787288.8
1781245.9,802338.75
1246115.5,677325.25
29622556.0,29598074.0
1084857.0,754490.2
1199344.2,679571.5
1229357.2,710680.94
39775292.0,39770480.0
2047398.0,916434.75
1092900.6,635625.2
1189889.2,662518.56
1355493.0,739747.4
1247727.9,737838.3
1812928.8,873232.2
821390.6,615019.6
1073060.4,638412.1
1258748.9,738855.75
1099713.4,697501.2
1435570.6,854899.6
1249590.6,746212.5
1296775.6,703290.75
1220610.1,724186.9
321740380.0,321734900.0
1552182.2,834823.8
1457390.2,815080.56
1051123.5,635269.25
877488.56,591016.5
1649612.9,777204.94
1157278.0,707419.1
1715678.9,800240.56
1361232.4,791277.25
1488918.2,785218.0
1175494.1,658142.4
1264119.4,706887.5
969027.25,608321.6
1519398.0,835363.44
1146943.5,732274.0
1304104.0,708119.75
631816.3,527033.7
1805380.8,847445.44
900550.94,679528.25
1644943.8,766822.94
961332.56,586028.94
1026680.56,696170.56
955264.75,604310.4
1164298.2,716549.75
788454.9,520010.03
997952.25,653781.6
731675.1,581638.2
971847.75,655060.2
946893.56,623159.25
782541.94,636382.9
1631334.5,815819.2
735298.56,553096.8
783879.7,579424.56
872884.4,603451.75
1295676.2,771248.4
802002.2,623674.1
774350.3,550751.8
1685995.4,960712.56
1072326.2,717652.94
1343938.0,751209.7
1037038.25,665944.0
1718044.1,880207.5
