source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
210121.6540100832,75825915204.86914,275365.05806813826,743342.5606388168,1713435364269.3384,1308982.5683596167,310705.6467683707,310958003119.2356,557636.0848431848,939658.9686516748,2311420236517.208,1520335.5670762977,,,,,
282463.8451447204,150671133010.01334,388163.7966245865,905331.0734594965,3119053022137.4014,1766084.0926007463,207815.1290557306,83304429528.1141,288625.0673938667,904262.294644856,2712969351328.2485,1647109.3926416207,,,,,
251656.04108176552,112664636061.7608,335655.531850379,921005.7519411682,2879268344970.4805,1696840.695224652,343394.0935155375,334281423621.1547,578170.7564562175,983110.3868429491,3400323840264.5073,1843996.70288873,,,,,
198767.12198837643,87729760218.81065,296192.1001964952,663175.1464895427,956343355597.4708,977928.0932652823,192553.7576388061,99619909286.17334,315626.2176787178,651368.1728225175,1009611355663.4276,1004794.1857233389,,,,,
224875.17948823902,107777574563.52086,328294.95056049956,640508.5675857469,982715532982.6042,991320.0961256683,145394.84406320768,46805510852.636444,216345.8131155684,721853.0703488324,1312655756045.0894,1145711.899233437,,,,,
302434.7787697609,228191150317.1789,477693.5736611692,753106.4403448051,1262189468805.1328,1123472.0596459587,173652.27669427992,56928607729.15518,238597.16622197168,802274.4672714547,1501296290279.7913,1225273.9653970418,,,,,
285758.6727996964,224714503471.29474,474040.6137360962,1023862.631646464,2451721772358.514,1565797.4876587694,230511.67334402096,117716657702.81879,343098.6122134842,930640.8352338825,3075921043046.985,1753830.3917559944,,,,,
322984.27517463913,247218991600.0455,497211.2142742212,880243.3512454077,1948491397018.679,1395883.7333455386,277309.55798191385,147491281666.03406,384045.93692165794,910048.7242294296,1806559884469.2224,1344083.2877724587,,,,,
222808.8361368377,86868932195.81992,294735.35959538334,866496.7960389262,3477033263603.3687,1864680.472253455,333668.1059074454,306551837298.2501,553671.2357511902,810488.6702412807,3329116236690.6035,1824586.5933659065,,,,,
181923.51157215802,60937102979.487144,246854.4165687281,611482.6443813449,826443191798.9814,909089.2100333066,184929.52779896194,62254242019.366,249507.99991055595,564977.011856858,756044568422.4241,869508.2336714381,,,,,
225898.04180823296,102937173405.31467,320838.2355725618,731868.1062270987,1203459449276.9822,1097022.9939600092,257131.19814809028,173678367386.44974,416747.36638214014,707946.2245147902,1319965810950.9746,1148897.6503374765,,,,,
234769.39800743115,108357798061.59157,329177.456794343,799573.5386195828,2005823246943.7275,1416270.8946185852,329830.3768567489,180273337967.8018,424586.0783961266,775167.53970526,2318591110091.6255,1522692.0601656875,,,,,
284604.81789402536,244344496208.8878,494312.144508799,861179.7447608059,1911184827389.8015,1382456.0851577895,319881.2450038746,186761276636.5825,432158.8557886816,891314.3478141716,2058180758175.2466,1434636.106535468,,,,,
253867.76941338927,114792203520.40039,338809.98143561295,744669.0818295468,1483611997915.03,1218036.1234031732,190118.4088637247,65514702048.71038,255958.3990587345,756669.320749944,1562665885899.8584,1250066.3525988765,,,,,
426339.67159302445,339768864790.156,582896.9589817363,933964.4209445193,1669438996784.5637,1292067.721438998,210374.88285491947,73240312143.254,270629.4738997473,1086084.8442244858,3035588895429.4717,1742294.1472178204,,,,,
260626.9886905518,128377249387.11357,358297.71055243094,1048011.9429191462,2746012057073.635,1657109.5489054532,259481.7540717048,175575754109.77014,419017.60596634855,1126434.9113207834,3296276050160.5693,1815564.9396704512,,,,,
198249.51907498174,69358763485.73946,263360.51998304424,731903.4420560147,1236700672996.0498,1112070.4442597374,260987.05245056786,129426857131.84442,359759.4434227466,613722.0315432156,995965261759.6501,997980.5918752379,,,,,
251270.24038632613,119049726371.59105,345035.83346022345,846670.1208381583,1895749130103.6504,1376862.0592142302,179508.23441878453,55349121212.516716,235263.93946484174,835788.9896890499,1710419903691.3784,1307830.2273962696,,,,,
221216.4711608688,104715969817.03725,323598.47004742967,802673.295922289,2033713698623.0835,1426083.3421027972,263512.00411478843,163941887445.8324,404897.378907091,827739.9277122824,2322590324818.4067,1524004.6997363253,,,,,
226185.8829106429,92718776047.95,304497.5797078689,789318.7928993527,1843396434603.1516,1357717.3618257784,273787.6529896884,158341886065.117,397921.9597673858,759895.6238060922,1737752957444.425,1318238.5813821508,,,,,
240670.02029043584,111042246139.052,333230.0198647355,929316.1726718959,3734818237630.3374,1932567.7834503858,299443.44542764977,241867635581.49628,491800.40217703796,991704.7437535656,3515324795323.1733,1874919.9437104438,,,,,
276721.6534881788,139576669130.0649,373599.61071990547,798144.8113584364,1577961466178.8083,1256169.3620602312,175034.46574744265,76006303972.89345,275692.40826126037,878953.2228211099,1936026970497.1265,1391411.862281304,,,,,
202396.04888992803,76946378217.12515,277392.10193717695,733345.9500748893,1138819836802.4116,1067155.0200427356,194920.1966857108,92044817437.71922,303388.8881249925,880980.4780537743,1606416885923.5803,1267445.0228406675,,,,,
266000.9603863999,132880970120.41862,364528.42155368166,636933.819457554,1617945515176.3772,1271984.8722278017,271161.33018099447,139142097087.27237,373017.55600410065,743273.6559873953,2028169703365.8494,1424138.2318320961,,,,,
197242.49068617803,79457041853.56943,281881.25488150044,736346.2713097249,1033348275387.8812,1016537.3949776178,181814.58110464417,66729452841.20371,258320.44603786923,776043.9143166547,1448473769312.8115,1203525.558229991,,,,,
341992.13166625885,286190574478.72205,534967.8256481618,778637.0905884596,1435574334970.417,1198154.5538745897,257066.89584787094,152188017555.16626,390112.82669910544,822907.9946470329,1223615947529.1326,1106171.7531781096,,,,,
306247.72387720895,158069849266.06384,397579.99102830095,609379.8358925018,889221290151.7819,942985.3074951814,232345.39334735376,130450271206.47049,361179.00161342503,688165.2761637247,1204421777016.5486,1097461.5150503223,,,,,
270737.9106512993,183355965335.5698,428200.84695802483,940856.5367806851,1477714850225.2278,1215612.9524750991,265566.5238533015,142111401569.93237,376976.6591845341,847229.8972383526,1439297518990.1472,1199707.2638732113,,,,,
281005.3204010999,145153325768.99084,380989.9286975849,832274.1347428688,1340729833140.6755,1157898.887269815,216159.45356202102,117361653778.17604,342580.8718801679,846310.9918237245,1797941488269.733,1340873.405012469,,,,,
322362.4645208545,185192347707.2672,430339.80493008916,972738.7964735177,2133446618487.9697,1460632.2666872623,291261.7588915952,199234895588.36612,446357.36309415364,946664.4657379405,1878453016281.5154,1370566.6770651895,,,,,
223026.4705869685,80347202486.43968,283455.82104878296,1025962.0232985461,3203388391381.879,1789801.2156052077,414465.53943757917,560368398063.3832,748577.583195879,838740.8548365847,2399489768687.922,1549028.653281766,,,,,
196240.07060430534,76257084012.44435,276146.8522588015,828084.1582270748,1753115749959.6675,1324052.7746127294,257307.69195858453,118528513009.20215,344279.7017095288,710404.0319343278,1592739173244.627,1262037.7067443852,,,,,
282955.26776126516,146277985076.23602,382463.0506025857,987709.9414481266,3765421099506.115,1940469.29877958,423359.55355556845,565384691579.4435,751920.6684082061,991419.3578606576,3063338113560.044,1750239.4446360886,,,,,
408409.369806084,308636107817.2766,555550.2747882289,960981.1859735909,2120259524341.0378,1456111.0961533936,248168.6228874267,121344747410.36237,348345.7297145501,1167779.5600904827,2769184906382.5215,1664086.8085477157,,,,,
253970.14802334408,132174125792.44484,363557.5962518798,807942.1838977216,1747575322613.576,1321958.8959621913,382795.3336388653,307661497174.7496,554672.4233047372,666631.704830267,1412754847339.142,1188593.6426462755,,,,,
232612.05958302759,122946834194.66862,350637.7535215919,619401.8630205579,920410242677.461,959380.1346064348,317900.718226714,212334980773.5685,460798.19962058065,629933.2071588394,911670066935.3022,954814.1530870299,,,,,
162296.33600812318,64965428583.81302,254883.16653677428,858384.6230578977,4107284683083.444,2026643.6990954883,561838.9029797944,654343044540.2351,808914.732552347,845366.993024918,4043378650580.8496,2010815.4193214378,,,,,
273199.9543810304,147674695510.02484,384284.65427339775,698554.2535334292,1303020080219.6436,1141499.0495920894,295645.29377993353,178057480808.26642,421968.5779868762,743932.5105100455,1315484781340.797,1146945.8493498275,,,,,
222755.6699338973,96064155394.6898,309942.180728422,684790.1170092567,1590086336231.5515,1260986.2553698004,245095.78861925134,126456650072.67587,355607.43815712834,674913.4866575167,1730895389241.3416,1315634.9756833548,,,,,
282919.25132425205,157566606529.02438,396946.60412834416,1001080.4634317866,3944332051805.7163,1986034.2524250976,369172.09929674794,333345164900.8997,577360.5155367829,1012318.3543406214,3671613276085.7837,1916145.4214348616,,,,,
255809.6066255555,119373347969.2662,345504.4832838877,904677.4799092636,1570924814056.1733,1253365.3952683446,266806.8572873452,138600320424.04385,372290.6397212316,749886.4063679556,1399179837732.1921,1182869.324030424,,,,,
212956.52289946558,83736018730.09702,289371.765606282,620543.7980231661,980903275912.7358,990405.6118140364,235727.1166725738,117097099679.97816,342194.53484820324,527783.8877604454,861110428641.6703,927960.359412874,,,,,
222894.1630588165,88941546178.05966,298230.69288398145,773813.0681779133,1275102724435.96,1129204.4652922517,225849.74302679976,88705117252.51483,297834.0431389851,656263.1684676617,1209772131242.8088,1099896.418415302,,,,,
192594.20459927112,70368614655.74278,265270.8326517312,779762.2773753713,1507516639831.1604,1227809.6920252587,317020.3696312573,241555348971.0654,491482.8063839725,704524.7285702326,1566704090522.0012,1251680.5065678707,,,,,
198813.5374670177,85076988242.78596,291679.59860570636,616191.7769329738,1077253568101.9615,1037908.2657450809,300633.2302685338,205057636406.5725,452832.90119708894,532406.6103080757,1027197122238.1907,1013507.3370421107,,,,,
231198.07325602428,101277406795.04962,318241.1142436653,1275620.8564137542,4442227078986.776,2107659.1467755823,318717.52193103073,213377739274.43643,461928.2836917831,1019879.0798973399,3890942768034.9644,1972547.2790366684,,,,,
326115.3373081338,300501750202.1233,548180.3993231821,812054.0817110043,1706526373024.0166,1306340.8334060512,230299.5749241924,116814393269.57352,341781.20672379504,863643.5183289967,2347513068498.854,1532159.6093419425,,,,,
