source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
239720.94649437146,97129875737.62442,311656.6632331554,606197.7794231712,1485106677642.567,1218649.5302762673,328690.06403170293,320498750317.6655,566126.0904760225,789750.6201658833,1797662902833.87,1340769.5189084029,,,,,
264021.3536163153,148407858267.14056,385237.4050726909,599058.967493978,2128982837310.2607,1459103.4361244787,207897.9874428459,84356603817.4481,290442.0834132824,932693.3537990976,3080930510950.399,1755257.961369325,,,,,
259796.60178038088,117047478332.96022,342122.0225781442,775196.5220831145,2800586236333.59,1673495.21550962,332706.0264679065,306164067714.58466,553320.9445833265,910735.2076409314,2862478365283.5444,1691886.0379125848,,,,,
221152.58076527354,100914730405.19344,317670.7893483337,523054.58732225606,800645925774.2239,894788.2016288681,229650.34034789016,121403584950.15839,348430.1722729511,664238.6304724659,1026125133782.0714,1012978.3481309318,,,,,
233924.22395959604,113106085548.23167,336312.4819988572,534350.5069989556,998144691448.1765,999071.9150532541,148758.16491232897,47329087691.83056,217552.49410620544,674704.804995224,1053964746858.3157,1026627.8521734717,,,,,
299952.85927262006,226331539995.349,475743.144979882,567360.222546249,1030493104965.1179,1015132.0628199653,197629.8644997303,74893259070.2209,273666.3279802996,768796.4791725825,1330720587103.8132,1153568.6312932635,,,,,
293143.79431991663,232190798437.17807,481861.80429369793,643197.2029800387,1781230421164.7407,1334627.4465800337,239869.3221979193,123608390724.89386,351579.8497139645,1036893.3685138506,2450200532632.0957,1565311.6407387047,,,,,
298849.5169485345,221135278403.0657,470250.229561949,591328.309947984,1491684484694.6106,1221345.3584857194,280323.49160787003,144521293768.90622,380159.5635636518,876481.390321249,1998441568311.3828,1413662.4661889353,,,,,
222062.56198880263,86325607462.53516,293812.19760679634,762221.0959782265,3308554143807.0073,1818943.1392451518,333083.43745196244,308202268041.85077,555159.6779682857,882028.5555695699,3474381002502.253,1863969.1527764758,,,,,
191886.94852883636,64848650814.8558,254653.98252306166,469167.9119057721,613398140360.0868,783197.3827587059,194218.62831164128,70071525753.21922,264710.26756289456,601262.9449074764,834164148799.0688,913325.8721831265,,,,,
236593.49760291056,106326769589.76582,326077.8581715812,520334.0333043398,943342668422.9741,971258.2913020481,254606.06796926522,175282342120.80936,418667.34064267465,754251.8993310567,1236274430478.503,1111878.7840760804,,,,,
236517.48735640317,110154237499.63649,331894.91936400067,664219.1559536745,1873875709689.681,1368895.7994272904,327340.95046509954,177260562439.16187,421023.23265962634,805474.6447016912,2049491749927.922,1431604.6067011387,,,,,
292198.54033515294,249127914827.54208,499127.15296559664,571657.6412495585,1431671439517.1091,1196524.734185261,332683.957553706,210640984259.23077,458956.4077984213,852921.4958471506,2145942665150.5894,1464903.6368138995,,,,,
239904.38598363902,110435947399.07512,332319.0445928056,632126.6919941119,1279223900526.3455,1131027.8071410735,201704.64092887312,68522693768.17798,261768.39719144476,746299.1576042527,1465001766986.3623,1210372.5736261385,,,,,
412259.22411291004,329130011741.27264,573698.5373358317,676846.7200082924,1507471220030.2903,1227791.1956152357,218011.38772130653,80077556808.76866,282979.78162541694,955095.6688683125,1884306316862.2034,1372700.3740300369,,,,,
267592.9434502567,128266574624.41096,358143.2319958189,843501.507668557,2545255086474.573,1595385.5604444253,274603.8701728137,182964074532.57727,427743.0005652661,1061675.3542556511,2768923746685.6836,1664008.337324571,,,,,
200747.27476917996,73012488339.28717,270208.23144250654,611837.9175488008,1053182851979.1273,1026246.9741632018,267032.82904270536,123539682483.17935,351482.12256554293,711185.8435412747,1160883719368.6924,1077443.139738099,,,,,
246350.6649651484,118636177226.52097,344436.0277707908,574953.6505208438,1215662637029.2515,1102570.9215416717,174924.7665275778,58806945632.40537,242501.4342893777,876191.3128806881,1973495546217.6804,1404811.5696482859,,,,,
210329.6346084151,95812997675.69252,309536.74689072464,699913.2054468527,1887892471402.3318,1374005.9939470177,271491.20319690014,172089357449.7914,414836.5430501409,789088.189604326,1982129287367.567,1407881.1339625113,,,,,
223461.59384236982,91855875637.65427,303077.3426662809,693366.2681362655,1692740815401.0063,1301053.7327109154,279410.58549527056,159074180217.2784,398841.04630451265,773551.0597875626,1782339321294.1086,1335042.8162774814,,,,,
234437.71981717384,115670427687.8947,340103.5543593961,695222.9133593534,3065028743929.402,1750722.3491831599,308216.0472375782,219964444883.8804,469003.67256971495,913936.0260875119,3721181534637.801,1929036.426467318,,,,,
268687.6555049474,134907266809.27812,367297.24585038493,507145.67155490554,1074913361625.7788,1036780.286090442,177570.48129782663,77036662673.57578,277554.79220070364,798113.4066904262,1600651843501.897,1265168.7015974973,,,,,
212174.7411027487,80592077869.07275,283887.4387306926,482117.7199679691,824670909964.4658,908113.9300574933,179876.1531482085,85535850560.97511,292465.1270852221,729830.079829486,1158380118836.7502,1076280.687756103,,,,,
267087.2065168038,142425799902.76965,377393.4285368118,531830.0415144583,1501847670323.3682,1225498.9474999022,258194.45793611847,135802054227.88576,368513.3026471171,647391.9837802895,1589374030580.1213,1260703.7838366795,,,,,
200405.54990765394,82239126247.06177,286773.6498478578,492196.69629102893,767690082263.985,876179.2523587768,180472.67280341632,70718517902.81046,265929.5355969518,720296.3798840232,1093403984878.7485,1045659.5932131779,,,,,
332211.4305192956,273659850010.66162,523125.0806553454,613399.4635956116,984216963346.0012,992077.0954648642,248319.174763564,146425567664.09195,382655.939015837,781046.0232334727,1428753541344.249,1195304.790145279,,,,,
301987.6390991394,159312985877.9136,399140.3085105708,458061.4019512819,703782308031.9932,838917.3427889026,235538.6491223761,136635284586.754,369642.1033739988,595141.5324396405,844068246843.9109,918731.8688517945,,,,,
273998.99173705763,187374321855.11362,432867.5569445158,564592.9385382382,943314585662.3931,971243.8342982637,264711.29231217626,142532751275.9243,377535.0993959691,900015.0755222328,1445598948593.482,1202330.6319783598,,,,,
268773.0683557245,145052783015.7777,380857.9564821742,522542.48971217417,873485358036.6306,934604.3858428178,219386.85657016456,122388842591.82234,349841.16766301583,843942.1518396283,1420007261220.86,1191640.5755179957,,,,,
