source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
232429.8788618976,92574699709.68854,304260.9072978133,780466.9241014314,1786572598781.7756,1336627.3223235323,325605.2624650975,321454572125.6725,566969.6395096235,560772.4714155121,1320136622139.9885,1148971.9849239094,,1.311284881154826,,,
264261.10486320057,145972826257.72867,382063.9033692252,927590.1455749818,3062220207267.756,1749920.0573934102,189967.7606149275,74978040139.09773,273821.18278010876,555050.6534024864,1818276858861.089,1348434.9664930413,,1.3009948407094216,,,
252849.03630169082,111027921794.71243,333208.52599342715,904990.3033956565,2935127714777.096,1713221.4435901437,335240.77967858507,329365929059.93396,573904.1113809291,730681.1679887009,2679529707669.539,1636926.9096906981,,1.265793411202262,,,
198819.53857384293,86487428628.21196,294087.4506472725,648705.5969281923,954827998214.635,977153.006552523,212871.6997678103,112835696728.8252,335910.25100289093,463084.0524861666,720729331068.5592,848957.7910995099,,1.2801443109997501,,,
221121.48447887282,97834584994.43655,312785.2058433016,661428.8141272789,1044503971472.1959,1022009.7707322547,142100.87360945682,46772609544.01448,216269.76104859062,492833.5059533907,846998447937.6726,920325.1859737799,,1.3113172017494046,,,
296983.6447256568,227476346655.68463,476944.8046217556,768997.371386883,1297057507560.745,1138884.3258034352,177192.38491090492,57236792418.3325,239242.1209117084,531847.6151856466,913694439101.9469,955873.6522689319,,1.2287571887989162,,,
289608.30687016255,219099763171.08502,468080.9365602118,1041655.4695518527,2463954669353.836,1569698.9104136615,238214.3283588248,128176202179.25218,358017.0417441776,599897.1549836015,1551225406753.0127,1245481.9977635215,,1.2230113253806614,,,
316139.96750659373,256534740546.40613,506492.5868622424,900231.2909544366,1949086088003.4575,1396096.7330394615,263541.9327326099,138632639693.20322,372334.04315641517,555080.0051460379,1348810281228.2136,1161382.9175720701,,1.3359241021737316,,,
221581.07620391808,88078899903.3109,296780.8954486641,881706.9822557815,3484614556688.129,1866712.2318901028,335523.506518736,303901872396.75525,551272.9563444549,722885.7918694795,3230343071338.037,1797315.5180262695,,1.3662020890753168,,,
186083.32068845697,61571253320.28845,248135.55432522856,604194.1362563176,859615289718.8293,927154.4044649896,191060.27202980142,69949475164.25493,264479.630906153,429802.1569636596,514256804076.9258,717117.0086373114,,1.320632437651359,,,
231192.05906874847,108258161479.54144,329026.08024219214,746043.7542315278,1184901629417.6821,1088531.868811236,245882.8964971832,165686470946.98093,407046.0305014421,477354.32835499616,856167882177.2896,925293.4032928634,,1.3153077154602208,,,
224082.34994160847,102266115020.03737,319790.73629490484,797012.6007600869,1944706117858.5818,1394527.20226555,321458.1820016279,182038826181.85004,426660.0827143899,604643.4131205726,1793994417634.525,1339400.7681177896,,1.337655728955425,,,
286302.7873022756,241295220466.6234,491218.0986757546,880637.4817511832,2060443803529.8093,1435424.6074001272,348673.59472793306,218107468357.99988,467019.77298397105,527961.1940953844,1262082285336.6194,1123424.3567488731,,1.3033331303375093,,,
246446.46031889215,119229988020.7042,345296.9562864755,751744.934867655,1409189278633.4255,1187092.784340561,205186.62685134285,70889340674.3583,266250.5223926487,584119.5564246769,1149747023035.978,1072262.5718712641,,1.3292614690617555,,,
419839.476858899,343741708242.3506,586294.8987006032,967476.343043282,1882970904903.6406,1372213.8699574643,217850.34966192167,77224296387.60332,277892.5986556737,649378.6476561966,1481595163193.1008,1217207.937532902,,1.225448291313354,,,
269893.44257376733,135245839853.10179,367757.8549169301,1041909.1395660426,2767620503809.107,1663616.6937756748,272952.5080105769,180545494454.36288,424906.45376878296,768584.9418603565,2389457165629.578,1545786.908221692,,1.4085538170287357,,,
197152.80365935274,73270436443.7523,270685.1241641334,716734.875361773,1201555678520.7603,1096154.9518753088,277466.8796741311,133805164240.58598,365793.8821803694,533258.4086286019,969031114623.9906,984393.7802647834,,1.2359182650667746,,,
245953.60725010684,118033752965.3504,343560.4065740847,880849.7465281799,1935897467842.691,1391365.325082773,159757.02552634128,51069647626.92703,225985.94564026993,514350.91981007607,979403621175.0625,989648.2310270971,,1.276860724894686,,,
216600.21030928908,108224988129.47206,328975.6649502696,762325.7132683286,1973867142102.2485,1404943.8216890555,265815.45323595253,174165482818.1354,417331.38249853125,646296.4847095143,1822879308357.4954,1350140.477268012,,1.3219632380230855,,,
227560.5250762909,92696118006.13861,304460.37181567424,790132.9303644724,1826850650203.7356,1351610.391423407,279983.8495271524,161086437780.4413,401355.74965414574,687394.7369041969,1690544722966.9177,1300209.4919538612,,1.269404264865332,,,
243145.4058664879,114526223244.17697,338417.23248702474,899224.634483073,3719490366627.774,1928598.0313761015,297357.7307809331,223114654168.13565,472350.1393755861,651007.4017114243,2609535073879.9204,1615405.5447100336,,1.2506997256544206,,,
272406.02109363786,137097763921.67233,370267.1520965266,804987.1730300471,1598833761514.571,1264449.9837931793,177075.65640740923,78447828439.12447,280085.39490506187,464003.22488970275,946425990851.4515,972844.2788295831,,1.414686123449727,,,
211448.78856864583,78590525277.85536,280340.01726092433,738066.8329514285,1197134937199.088,1094136.6172462595,182585.0873138231,86329448115.91513,293818.7334325623,444717.63931844145,772498833639.1257,878919.1280425781,,1.2730968407938392,,,
259423.00438491022,130760710204.95882,361608.5040550883,659681.6221055994,1598361763920.1616,1264263.3285515173,268701.12751133664,145635522018.5688,381622.224219933,517614.3937997713,1373447815183.925,1171941.8992355913,,1.2943214914498582,,,
216904.7793624102,88347772391.22446,297233.53174099396,697525.4443177821,1044538910633.9023,1022026.8639492322,181311.062900258,66494392291.68206,257865.06605525702,457008.951498547,696849017853.8732,834774.8306303163,,1.254665634599513,,,
339910.31939971744,278268840897.7629,527511.9343652453,777376.2223046139,1447108724486.115,1202958.3220070906,251498.82263363787,150847869882.55026,388391.3874979082,560256.3325343073,821260328300.5337,906234.1465099037,,1.300954789639016,,,
305830.31890615163,159160922705.31876,398949.7746650808,602973.0402254176,892674259244.1343,944814.4046552922,239522.77191951335,121328705657.2826,348322.7033331054,422940.1599445457,620372092119.4929,787637.0306933854,,1.2405449150373005,,,
