source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
216232.17694888517,82468709794.29935,287173.65790458454,659658.4681809337,1444699872476.3591,1201956.6849418322,328796.4459419649,339806322498.60516,582929.0887394496,833688.930570413,1873208402075.4463,1368652.038348479,,,,,
282367.5961338701,153995754208.74408,392422.9277307126,580242.6858318035,1984886126042.665,1408859.867425666,201180.17880631323,78775032149.55704,280668.9012868313,911334.6665917714,3109706000629.7524,1763435.8510106774,,,,,
258217.38114635466,115115108401.82008,339286.17478733213,789895.1694680959,2885806978624.6855,1698766.3107751713,358875.87625319965,343129558058.6487,585772.6163441312,905645.9873045789,2896549798847.864,1701925.3211724255,,,,,
210833.97774639825,93855587677.94727,306358.5932823613,514267.24547738215,805193554024.7742,897325.7792043948,192977.90792105964,97445260293.98164,312162.2339329049,660732.0949891567,919171091331.3203,958734.1087764221,,,,,
220213.97209241235,100583753878.40448,317149.4188523833,576501.0909047492,1064879747688.8132,1031930.1079476329,147172.47166087563,47309927613.45428,217508.45411949916,632645.316737343,986802349919.3767,993379.2578463558,,,,,
295069.1808161446,223340686754.05627,472589.34261582355,616826.7876670096,1099454099173.1976,1048548.5678656938,206508.26056216907,78768027823.1512,280656.4230926333,775561.4638765613,1337385125718.424,1156453.685072785,,,,,
291150.60659706034,218388467615.5388,467320.5191466974,659628.9424938298,1795491673136.946,1339959.5789190605,236620.89344857074,119279244221.98334,345368.2733286069,1022826.8291552068,2380747795791.1035,1542967.205027736,,,,,
307631.3172755917,238702323349.0106,488571.7177129788,592588.9917935599,1424469108536.4734,1193511.2519521855,270948.4004835084,142381382036.36874,377334.57572341384,896527.3238258277,2089716380305.414,1445585.134229532,,,,,
231658.93319610745,90890090081.67104,301479.8336235295,747722.7032683098,3359314866903.175,1832843.383080828,341792.64703967865,311164027702.0329,557820.7845733546,868269.2330394462,3456077878818.115,1859052.952128614,,,,,
190988.85234654753,62117042313.67855,249232.9077663673,472952.63592802203,594523497458.8395,771053.4984414761,190283.28259285362,67380385160.195175,259577.32019611262,610765.6482067117,826698614697.2756,909229.6820370944,,,,,
239494.05447739313,112589054838.57329,335542.9254783556,520556.32758754084,990076021450.1456,995025.638589351,253060.86704523794,179577279281.45285,423765.5947354066,725626.4289206654,1152875577878.5657,1073720.437487601,,,,,
222496.231136551,101161176813.77242,318058.44873823493,666308.5231578901,1951227742255.5767,1396863.5374493732,326924.61620136705,185149582171.4191,430290.1139596622,806487.5146014431,1948561594060.3025,1395908.877420121,,,,,
290257.7909011247,247450337968.1473,497443.80382928415,583186.2545955993,1417052840150.7893,1190400.285681581,330273.6920799023,191540699832.71124,437653.62997776136,904460.5936223762,2156269309993.5527,1468424.0906473692,,,,,
239361.9752187209,115930054908.39131,340485.02890493046,641165.8410859765,1264283142455.8384,1124403.4607096505,206857.96535175524,71553066578.28157,267494.0496128495,721235.725981989,1384832574708.7815,1176789.0952540229,,,,,
411318.14628881996,320977259822.30316,566548.5502781762,739757.1412794867,1770077870603.33,1330442.7348079775,213823.58443705423,75217296139.40161,274257.71846823493,982236.8256892688,1886780680206.4473,1373601.3541804797,,,,,
273803.42053891177,132017832860.70522,363342.5833297072,878934.5779686576,2782999645548.792,1668232.49145579,267716.57212488627,178102871091.17276,422022.3585204613,1029173.6163654189,2758115176365.9736,1660757.4104504166,,,,,
197681.06133732112,70654813568.73885,265809.7318924551,573429.1961908587,1041997165509.0975,1020782.6240238895,278550.21846906317,132041541399.76651,363375.20746435976,729138.0911356866,1190569532779.0432,1091132.2251583643,,,,,
240483.90809350385,113594283572.70201,337037.5106315349,613049.986250135,1257315951922.8372,1121301.008615812,180850.04315090747,58021875258.84383,240877.3033285698,857199.9913085704,1921594984823.098,1386216.0671493812,,,,,
