target_rmse,target_mae
2321569.982798606,1194500.7371734618
1715861.101413283,1028369.6456329345
1194493.9169721329,722779.6847143555
1398982.4600284058,919268.9744645691
1141515.8614123745,815843.8802330017
1537866.5744487785,826952.8736505127
2382300.6491214586,1140242.342281549
1304499.3433478912,865762.8429537964
1615687.087261876,833492.5190922547
1775262.2998537943,943417.8864883423
2169209.2061071126,1118963.9830819701
1609223.0570802724,887077.3589097596
2021347.9499522005,1037085.9151145935
1136718.3597032023,762224.2180151367
1296250.7748094178,794472.5893171692
1283269.6342902079,863901.5272113037
1501232.397049169,819660.1305581665
1289031.5195871312,833129.1712644958
1315711.4969017801,838404.8975208985
1817237.003291977,985701.4025915527
1941820.3912437907,916448.7207397461
1582418.6232169305,854901.1016568878
1372836.5196575671,929940.2713957215
1025952.168946747,645732.3844912292
1621078.8747620047,1047769.7717044799
1272010.3754862105,880503.6652695129
1188164.0135566993,825366.6399421692
1394512.507924035,850803.5848127747
1239793.0024981997,777233.2078353881
1234551.4066995697,862835.6700630188
1341753.6476126763,908910.0690350342
1172574.4112528926,790930.5484257538
1762728.831977223,1005014.9501473999
1673033.9617180075,1009765.0153829956
1224321.1171764156,776364.2162345642
2154131.556938883,1174260.0726634217
1124608.454585225,773798.6236605835
1032023.3344919314,727565.334138031
1473531.8151318075,900481.9761567689
1473817.0063499948,833952.1658360291
1789828.2263544218,971238.9916264344
977925.1306455387,680010.8446911621
1551643.9083511916,973782.6852610778
1836537.526262684,907906.9460903931
1207298.3467658784,739350.9562322998
1293772.1384115487,858745.186415863
1351634.876527441,848761.8366416931
1506070.8908172816,815138.3663470459
1223374.9569478354,800747.7911138916
1417528.6277809355,859165.3245040893
1466827.1722334002,879068.4183018494
1547992.595461186,944106.3478086853
1887722.554467053,933535.8968965882
1715435.4594699647,917264.0210531616
1590243.5922028732,984051.9243721009
2316971.4629986095,1107414.872880249
1308779.0858210209,781145.477938623
1177483.2329862716,780800.5607246399
1285556.302450932,808181.2657777405
1272548.1101091222,811347.7831040955
1313891.6365269877,921481.0612341309
1342945.516714839,922640.5856596375
1802818.5232533664,992505.5757681275
1820649.0725057244,1036582.7521189881
2108675.1062440905,1158125.7065748596
1490596.686887743,934027.7840737915
1237954.1233104882,744135.1053642273
1340982.596842142,877497.171348114
1852542.145494008,975176.6849871826
1249334.9125989953,781514.4434970092
1188691.8289963137,763222.7612701416
1119314.5377724497,681459.5835348511
1203469.9986438379,824769.316087799
2084456.3158207608,1009763.3845204163
1516828.349696577,950400.1093057251
1614932.9760047677,943833.8044537354
1348203.9958876309,822226.1302301026
1737077.8267457914,931440.292550354
1374410.2538752845,783223.4186708069
970487.2695341789,701119.443135376
1376641.2845882324,851361.1426776123
1495702.3686140275,911852.946860962
1271547.842218265,791310.1642733765
1896976.957659948,1100379.691455841
1066628.341006975,728661.3496470642
1197271.5685641803,857709.2876416015
1562957.6424330221,934303.2131478882
909619.9541148044,654846.0833174133
1500314.2757612935,903048.2811451721
1490961.3244347654,856501.9643582153
967363.7637802307,634693.2594360352
1631721.0020528166,989848.7576182556
1100217.2271274317,745820.5008018494
1306004.6792878269,925116.7341062927
1159576.904093168,754973.1150486756
1181674.7321841284,731653.4817488098
1358417.2871053896,825555.0176965332
1674731.082644005,871434.922464447
1507728.685282183,868345.6714230346
1544031.8472936442,937097.5360209655
