target_rmse,target_mae
814183.06,505700.8
1204804.6,684836.4
882152.94,515529.03
1035118.4,575680.2
787748.75,500391.6
1193610.5,655141.2
1142222.1,667754.25
637998.5,357339.1
833569.75,454389.2
1360996.5,730338.9
949676.1,577723.5
1227738.0,592876.8
1278225.2,682994.25
786345.0,485598.84
1453271.8,839845.5
1486784.2,626507.4
1388536.2,722359.2
1435127.1,665820.06
1129067.0,618527.94
1684192.5,853032.3
694403.8,450492.84
1528803.5,715168.25
1428825.6,670372.2
1426301.4,609585.94
1210661.8,616663.7
1214501.1,696519.44
1375351.8,538708.2
1119656.5,577341.6
1368593.9,749173.7
873134.6,562695.56
1111795.2,557602.44
1043110.3,568477.25
917221.3,515177.2
1468255.6,751281.94
1101961.1,585419.2
855654.3,551834.6
1209535.9,511983.84
862685.1,483579.62
1613592.1,768192.6
977908.94,574952.44
1512330.1,802040.3
1440285.1,610917.06
1045508.25,560821.1
930238.06,502831.7
1296363.2,496979.47
900137.25,449047.0
966155.06,491446.44
1288744.9,622664.6
1243528.1,687233.25
964695.6,512248.7
929155.75,506911.28
1714605.6,724091.8
668052.7,402114.3
1349566.9,885451.5
1128774.4,642291.25
1046459.75,580959.2
1036233.2,571615.0
1259920.4,607724.06
1288797.0,652830.8
1608369.4,646776.3
1147325.5,641231.94
,
1291273.5,639229.56
836022.56,485475.12
1637018.1,670112.75
736245.2,473731.4
1323649.4,687308.3
2212636.2,881241.44
1205813.5,614643.06
1157838.5,637608.8
1135677.0,561216.8
854246.75,508012.44
1527794.4,747538.9
887137.25,531193.25
1955683.6,781588.94
1130012.1,630991.1
1243790.0,716817.4
1247451.6,647492.56
1238757.9,740305.06
893161.2,459250.53
1132861.6,584779.94
1271094.0,712298.0
968173.0,541535.7
1224842.8,601344.2
1439239.4,739006.56
1249813.2,600379.6
614113.9,382792.75
1790293.6,724640.4
1505785.2,729749.7
1119925.4,512486.53
1412529.6,651394.8
1170499.6,513911.38
1604593.5,709877.1
1165789.6,632530.75
1095191.6,508283.2
1148418.2,630221.5
967432.06,574786.6
904383.4,469021.8
1682215.1,792654.6
1535771.2,789872.75
