source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
292128.74158357666,186446305790.0968,431794.2864259517,553733.7593615245,756804061156.6655,869944.8609864108,212246.9162141492,97387025058.9007,312068.94279774255,742195.2490045971,1179648770731.237,1086116.370713211,,,,,
222622.67895600628,103875880264.85289,322297.81300041877,638277.0984749135,979897972917.2944,989897.9608612669,220574.07468360712,140198928985.13193,374431.4743516254,945526.2457511218,1755478806622.5142,1324944.8315392283,,,,,
219595.93012031206,90199001472.11827,300331.48598193674,458612.46525559714,307232830912.97705,554285.8747189731,209668.3343084747,93438582092.6508,305677.25151317817,796661.2762171662,979577051685.3235,989735.849449399,,,,,
309783.8496448142,259735741021.23083,509642.75823485496,615291.2397576767,986292146138.8003,993122.4225334963,243201.8297761552,171985630988.74747,414711.5033233916,955910.4681965269,1872220982660.9988,1368291.2638254324,,,,,
289268.16317210795,226580231499.38602,476004.4448315436,606637.537259091,534133493951.5807,730844.3705410754,300889.2628474787,170262261564.8926,412628.4788582734,981475.8936265564,1790343386837.5435,1338037.1395583695,,,,,
217085.42873869507,83573738772.18408,289091.22915125615,497666.5935831485,407280048554.8375,638184.964218711,164885.995680284,55199825654.29871,234946.43145682957,775255.4763400553,957849054994.2339,978697.6320571302,,,,,
244505.6252695286,115304750364.88057,339565.53176799405,588247.7192818332,499008772976.664,706405.5301147238,231606.02939551283,84975933515.58568,291506.31814008026,863265.5248964578,1481009057512.4385,1216967.155478092,,,,,
299176.1667346179,168543789566.145,410540.8500577561,661773.8980052561,537164968586.66705,732915.3897870252,169706.29454229836,67308445008.21252,259438.71146807008,1107834.0254798587,2212976798110.1343,1487607.7433618496,,,,,
393517.03576951276,312274999159.81134,558815.7112678663,645434.9613367722,479486459885.5921,692449.608192244,142028.32939336353,44197168943.806244,210231.22732792635,770223.1575638241,895209639985.1428,946155.1881087704,,,,,
248044.89877920647,106220577194.83272,325914.98461229535,532191.6416659425,429526476107.79517,655382.6943914487,192129.77467378226,70286106404.45897,265115.270032601,859660.7869582444,1355770485495.6218,1164375.5775073702,,,,,
