source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
282668.671826493,183297782506.1581,428132.9028539597,571569.9190551132,790292508924.2937,888983.9756285226,222134.41263530112,97582003885.24094,312381.18362865737,736809.5140845234,1185154811199.5276,1088648.1576705705,,,,,
230334.79742840247,109178693297.0607,330421.9927563247,633991.3852978522,935617946460.1127,967273.4600205428,218041.59483479185,136391051306.42543,369311.5910805203,947390.7681762087,1736054687198.6362,1317594.2801935032,,,,,
216523.25168162113,92398650837.00934,303971.46385312115,481557.92964441224,318410028010.632,564278.3249519975,210868.53236906367,92158985127.03047,303576.98385587544,799590.2811481991,993419062639.316,996704.0998407281,,,,,
340275.243453073,318432384516.09924,564298.1344254996,586966.8417172006,912414239608.1105,955203.768631652,233199.19088759215,161435198896.8063,401789.9935249835,946658.9430805166,1753877129969.8804,1324340.262156928,,,,,
296265.4170446572,228941052976.34805,478477.8500373325,581156.4498820887,434738260395.9136,659346.8437748933,295423.88651343505,174773449041.33655,418059.14538655477,960978.2710936922,1706933297637.1763,1306496.5739094673,,,,,
201718.43038637956,75733862996.50905,275197.86154058145,501668.0966664695,408748017810.34467,639334.0424303594,172254.5683622687,58728942860.35773,242340.55141547756,764285.0158068558,1000661193612.1168,1000330.542176993,,,,,
248207.1634513622,115023176661.15964,339150.66955729225,583172.9268806874,457482000800.7327,676374.1574016062,228983.90137196807,87219629648.61942,295329.69652342686,850218.7742110199,1492924807284.0872,1221853.0219646252,,,,,
303512.0301376361,179601329206.60236,423793.97023388895,663185.5208469433,557887691978.0344,746918.798784737,176019.6688558054,72070852898.58551,268460.1514165287,1099956.6215515805,2235773679133.3354,1495250.373393478,,,,,
389037.5307415647,303706621906.22754,551095.8373152781,668935.11241664,536260117465.40326,732297.8338527319,144743.62276927658,45879495863.87415,214194.99495523734,780083.1781779663,899776266636.5609,948565.3728850536,,,,,
241477.27360908003,108524464085.20384,329430.514805784,491687.72763839527,365096435287.3681,604232.1038205171,186862.58494430914,66861213127.30633,258575.35289989712,878680.9143070286,1320108124569.0032,1148959.5835228509,,,,,
198366.77181972863,65845479324.60982,256603.73988819768,616846.2494957302,500784659207.2262,707661.401524222,215523.83251989353,84128442780.00252,290049.0351302733,1038497.5149597095,2222458582561.88,1490791.260559935,,,,,
293822.42887131235,184743602373.8883,429818.103822871,647906.9683740016,720182567151.9025,848635.7093311019,348877.9609312152,317526547205.0782,563494.93982207,1057396.116387469,2014673565978.219,1419391.9705205532,,,,,
228647.7963721649,140805709447.26865,375240.868572799,418199.74228847073,309653779296.89136,556465.4340539863,195420.1423785236,74373277557.04472,272714.6449258725,736526.7275826506,839228533713.9393,916094.172950543,,,,,
237537.4104685295,117995976676.34152,343505.4245224397,662038.9828198331,623189855173.6982,789423.7488026936,197313.9090335135,69120054232.81146,262906.9307432032,962169.3557637245,1398999594949.8015,1182793.1327792706,,,,,
326154.01654082193,187257754997.9041,432732.8910516326,511188.54399346036,405330842927.8842,636655.9847577687,233535.07165467672,92088122284.25969,303460.2482768702,645301.6156365601,703634952271.7347,838829.5132336098,,,,,
366268.0358419417,254800040758.74982,504777.21893796854,671396.0791450941,564638353703.1927,751424.2168729943,155516.50399343434,42576984296.32642,206341.91114828424,964541.7130714735,1518070223818.2307,1232099.9244453474,,,,,
300149.4675222607,171538638047.374,414172.23234709253,638054.811162349,772375704348.5463,878849.0793922164,279969.7118506057,217443110914.0666,466307.9571635751,991742.4423865905,1810937155487.8928,1345710.6507299007,,,,,
311484.19562790665,188386589735.40298,434035.24019992084,525127.6743139413,442959312105.3284,665551.8853593073,186263.95295461995,84493931089.67146,290678.39804442204,667749.0638762071,883387649150.5659,939887.0406333763,,,,,
302063.69760574214,190135660085.56284,436045.4793775104,690897.001442551,733720406833.2052,856574.8109962172,228047.48051612175,125400854322.18619,354119.830456,857437.7465506025,1193713799283.7615,1092572.1025560563,,,,,
275853.75608312944,154953960620.71405,393641.9192879666,558289.9265808171,590046669630.057,768144.95352769,298240.2757999317,255976611659.1948,505941.3124653835,988612.3821509196,1805113536277.5098,1343545.1374172398,,,,,
269061.7519835194,131996369244.12712,363313.04579401924,616531.4583435333,632847579033.6312,795517.177082702,242477.332516938,133503283917.3137,365381.0119824424,826965.1538382121,1093198262100.6696,1045561.2187245038,,,,,
270837.21502579213,187134554508.67026,432590.51597171,660972.9108573326,776455981751.77,881167.3971225729,305099.73248613457,254273085049.59314,504254.98019314907,1020961.8690539349,2212017508226.1753,1487285.281385577,,,,,
301928.6539568479,175939705231.4904,419451.67210477346,572905.7620561249,495784680350.2954,704119.7911934414,162590.06099932943,45483227287.73442,213267.97060912458,877743.2852756552,1357023751436.993,1164913.6240241132,,,,,
