target_rmse,target_mae
882229.4790754063,566994.1830377197
721636.119839792,515087.2977256775
677485.5836120975,512806.71795913693
830237.2129953104,569043.2938623901
724805.2102996281,500149.95832366945
748138.1334493945,464811.9886618042
700696.3358019523,452856.2244215179
829850.4781876521,544365.168479004
763094.2254596178,524638.2760142608
997020.8085592829,636225.1228922973
835759.7035194669,562258.6720489258
884422.9217678116,564318.9834184814
746793.3984357973,528672.6689171448
1065315.9296807856,653286.1071467376
950237.5480053913,580407.5767544738
688817.5304749438,461912.6303975098
812658.1451048859,544505.4502606201
985099.9138878305,575921.7546504211
915357.8539295176,638071.6104301086
1019397.8238301197,583089.0746238282
940775.4748129848,578070.6437262726
1202879.192223802,665760.1327357391
1118328.584155222,627515.5528956451
834175.6493270543,591705.6622534485
848650.7130983257,533164.8997461915
1237965.5395097325,676469.24504776
833917.4148061926,556583.2886720276
899148.301313438,567115.8667365235
664823.068303899,462800.231690918
802300.2205522014,511923.18004508363
1056544.1074587568,667484.3565556641
873309.2157291853,612566.5676955108
753147.6902701722,485937.5364393311
744930.1944583884,500824.7133789185
1134191.5819091476,742365.317138977
1322038.3242688808,773129.2655410767
695514.3668092351,489742.20633513486
1156161.0171562051,660631.3109143067
663710.2132316773,465255.8836575043
1066884.9671428006,617603.3020269531
741022.3536357714,527427.8078918457
674474.6421803115,491892.48304951173
1119738.1978517422,586217.6702133728
954350.5021492239,632292.1613772582
821723.7109101695,564801.1965991211
699074.021858397,476775.79308680113
1020424.6716951045,579334.9723892059
1152266.957788909,636719.8058045959
704224.2334501018,513366.6887935699
935763.6071169857,572366.4595511749
839472.2964342417,592613.9624626465
1177791.9339553835,653688.8860554504
801498.5159364049,547899.6727671814
957674.6709659871,613565.6855757141
699888.4084058427,486302.8035245453
975906.6397254358,555716.0854042267
845238.1183337257,533450.202622223
988289.7425525339,637562.8221399169
996889.179022306,660118.6674578857
1154371.7023777794,606401.4781974793
990092.0553275128,571849.6470700073
679874.6674348501,447219.07290893554
1086308.2442854715,568145.6047069336
639762.3765459909,446403.5963574951
945158.5890562786,576379.2613540314
842742.2403781969,541054.6507150269
890980.5534529603,559488.0702269654
890738.9164781622,553436.276001416
679340.3611894054,496930.84273168945
952561.8334024637,658146.0899138672
832642.6335767832,536253.2076147461
837374.6913146704,530354.1507322693
688202.6673321986,485181.8787773132
775718.0657864166,523150.0829476227
951025.4756633304,589239.5398129273
758229.3371459843,525741.4558910156
838111.3106159644,575088.4629884308
1013975.6196175318,657274.6541367187
768068.2769826034,520244.5256293549
911060.6424296307,551639.0013760254
839793.1553294074,557527.0251689148
957505.7158608149,617989.4815777588
835543.6790334948,522243.3789667206
1130659.7733040992,638314.8875483245
1135870.936270349,632977.7797721191
698711.4113124779,472863.89449262695
856573.3932169785,576707.0180269043
638121.476586553,478428.9994359375
1120423.319966474,676534.8589577636
925106.1735918629,652587.8538082886
1051395.3707434293,694874.1080068969
1051037.5169593657,725237.0801007081
861159.7534486793,577014.5640823364
744747.6875245742,530031.5440390137
922538.3348877412,566701.6272305755
866075.1692504121,575762.2250111359
805503.4108869259,578657.0298226929
809942.7848215249,538459.2284197266
672747.6094708104,470402.5630027008
906375.338056001,596762.3075921326
