source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
441900.34838139324,435271367531.8132,659750.9890343577,680778.5264193512,925966174133.62,962271.3620043049,223856.93886099188,95095821632.77733,308376.10418574477,1058059.4369399017,2400949056184.2017,1549499.6147738153,,,,,
324866.5355062045,214996897223.0086,463677.5789522377,568283.227299362,479669587024.21155,692581.82695203,233013.84121217098,109703893849.0092,331215.7814009006,752437.3037286743,1015479578326.1509,1007710.0665995904,,,,,
307115.0716266117,205138660784.53076,452922.356242801,642109.3303116963,843950255029.341,918667.6521078452,174639.85433009022,60309121065.172195,245579.154378323,886024.8473378302,1587086581369.0605,1259796.2459735544,,,,,
634865.4431454329,1189122321132.6328,1090468.853811347,735504.04650983,776859523523.053,881396.3487121176,327339.7647212157,279368708381.63556,528553.4110963958,949243.2534881592,1550506800833.4417,1245193.4792767917,,,,,
437068.7633152291,602405755810.5356,776148.0244196565,680965.5616539763,734387835724.0563,856964.3141485276,289048.85281504487,264414635052.32004,514212.6360294154,916012.2124671084,1372786451089.0825,1171659.699353478,,,,,
438468.21579601604,409192500320.62775,639681.5616544123,718992.4248050357,647208439345.518,804492.6595970395,232720.70618385545,123536687875.72949,351477.86256851157,1020951.9460394562,1595977759527.0415,1263320.1334289901,,,,,
470095.2216955817,402014231267.58813,634045.9220494902,702794.9957231384,669011695520.7214,817931.3513496848,169124.59999571717,49971637790.689026,223543.36892578367,1192863.398495811,2699019673214.8823,1642869.3414921598,,,,,
327668.1099121979,185077012868.46698,430205.7796781291,728632.787260345,759127498669.2177,871279.2311705919,225643.17613035816,87453189062.898,295724.85364422447,1129312.813615629,2435449431886.803,1560592.6540538385,,,,,
278803.54285011126,135148530436.56529,367625.530175157,618829.0207284931,583284888630.4596,763730.9006649264,184834.40249680507,70947504599.26054,266359.72781045665,727617.7614384202,817931061820.5175,904395.412317266,,,,,
440168.1170903901,397711654110.0007,630643.8409355954,651131.2502921104,583120251540.4895,763623.1083070296,182343.92619437352,59279202752.06741,243473.20746247916,968536.0674498556,1745138455042.7166,1321036.8863293396,,,,,
312615.0808861565,193682364773.2926,440093.5863805477,545949.1357533854,551402831520.2168,742565.0352125508,240454.84304853634,134038391238.37918,366112.5390346241,727008.8089257613,914844722340.0217,956475.1551086006,,,,,
461767.3792813215,397174452340.8537,630217.7816761867,833633.3897054966,859140734485.675,926898.4488527721,241641.5722753907,121931575838.15987,349187.0212911125,1093983.1633507297,1822124640265.679,1349860.9707172362,,,,,
568519.6112940727,685629167627.7854,828027.2746883314,750960.144210161,1078995716699.1049,1038747.186132942,238255.31008649574,119949983248.49254,346337.96102722053,1008899.4553846569,2331091912858.177,1526791.3783022803,,,,,
363416.41273559444,369705010505.6034,608033.7248094084,714585.2765841552,1052314602341.1808,1025823.8651645714,262361.76573804097,192425440449.09476,438663.242646446,1002446.6588788799,1799025316516.0735,1341277.4942255884,,,,,
429429.53522182896,442281565608.60486,665042.5291728379,636599.6016361677,579906621650.4956,761516.002228775,200768.53089595563,94395269763.56139,307238.13201417786,937177.3225317067,1424799814091.9531,1193649.7870363623,,,,,
336166.62684170884,216748392053.14218,465562.44699625653,576511.8461844964,460573070274.1016,678655.3398258218,175898.60517658675,65725146509.918236,256369.1606061818,760817.0863620474,862260301269.7299,928579.7226246812,,,,,
641463.3736939279,956302673483.5951,977907.29288803,775792.1190034781,732634220017.0223,855940.5470107269,201008.92539139386,90588387730.94518,300979.04865778476,932153.5508906082,1323496916013.364,1150433.3600923454,,,,,
517147.1212479856,601296999514.5352,775433.4268746319,712079.0762225306,963352891407.717,981505.420977244,190884.1219575988,73455700674.60138,271027.12165870296,1032459.4707447699,1864665755421.4954,1365527.647256362,,,,,
468070.52784545236,597492182216.7052,772976.1847668433,738294.3497541066,1297362232727.0466,1139018.1002631374,381928.56446579064,356761390284.79193,597295.0613263029,1002914.6481694086,2082708568414.9695,1443159.231829589,,,,,
514449.22491720936,722725025680.1003,850132.3577420756,761511.0697162618,738764684029.7751,859514.2139777417,195829.1673746677,66306215804.50344,257499.933600969,996106.1828305844,1517005858613.7556,1231667.9173436952,,,,,
380343.5379634449,324923698959.11176,570020.7881815467,693618.2457516284,765054488758.2891,874673.9328219912,159280.23750151144,52878793231.77208,229953.89370865648,1228983.2812969526,2680673878367.97,1637276.3598024526,,,,,
364769.36735221016,270923388086.9726,520503.01448403986,613974.1367201706,464618266293.76526,681629.1266471564,201962.08001724014,95661076751.17041,309291.24906982156,744827.9096384251,953066434904.2407,976251.2150590343,,,,,
531840.55916918,569554775980.8208,754688.5291170264,699447.9396722141,631101135856.0052,794418.7408766269,236449.60546675074,111681478084.356,334187.78865236236,1392725.1147114614,3555086260485.5127,1885493.6384102474,,,,,
319156.5361252429,216333284703.41388,465116.42059103213,607337.721301738,447947648103.0725,669288.912281589,175183.41264741094,82125278468.53606,286575.0834747084,901744.1871867063,1321542359024.3608,1149583.5589570515,,,,,
373115.01110099,358217211493.9098,598512.4990289758,663042.5263445451,506314015243.9765,711557.4574438641,130504.42804967427,40372172552.347855,200928.27713477227,839703.8351956594,1101348132883.7842,1049451.348507297,,,,,
682584.4137019283,1216739844196.3552,1103059.3112776643,847000.8366114486,857544078749.1229,926036.7588541629,188025.96047708028,68031593103.837715,260828.6661849838,1188760.0115622943,2122273904840.8838,1456802.6307090758,,,,,
420586.56975009356,455157483020.8329,674653.6022440204,738749.8943785945,911377300931.2842,954660.8303116265,174766.28957660974,62466697891.16908,249933.38690773005,938393.6504626768,1411834077382.1606,1188206.2436219398,,,,,
528501.4714273368,679801460448.3899,824500.7340496368,602641.4678844336,481140776406.7734,693643.1189068146,220832.4731904176,91669499521.40959,302769.713679241,775743.7974224635,973367674448.5038,986593.9764910912,,,,,
410942.23313869647,455666173254.16724,675030.498017806,725271.1106795328,869484422178.0919,932461.4856272037,314608.8888543012,242590925737.318,492535.20253614156,909955.5643042106,1787439833348.3203,1336951.6944707914,,,,,
283809.81735856313,142650220684.60236,377690.64151048585,562322.1757276901,716094532373.2198,846223.689324058,191619.02020913918,76017023849.0789,275711.84930843813,774240.0501898112,1160069185078.1714,1077065.0793142314,,,,,
438133.2678909009,494104483716.0124,702925.6601633009,719335.0684238091,719430650757.2947,848192.578815268,222623.53585891688,94889760249.53871,308041.81574834726,966625.6004932517,1852565824990.1338,1361089.9400811594,,,,,
537924.3133568894,745023138120.0583,863147.2285306015,687754.7312535052,623020251633.4174,789316.319122706,210096.91049733854,89942725916.88197,299904.5280032997,1083181.7791585932,1724244585233.2322,1313104.9406780982,,,,,
432143.5937790623,401410105514.3664,633569.3375743229,646395.1570765087,527184668013.3237,726074.83637248,184500.13591958932,71192504614.40886,266819.23584031354,1342633.17553332,2688401834709.267,1639634.6650120774,,,,,
611326.029132066,1092923445514.7524,1045429.7898542745,754465.4123608768,934668415266.3433,966782.5067026933,220800.78566827203,100639258618.74158,317236.9124467416,966034.7744787806,1608424806935.875,1268236.889124376,,,,,
221606.52982369493,88741478339.06783,297895.0794139907,505795.9488837578,799628278802.8732,894219.3683894759,247831.0724551573,120265516768.30844,346793.1901988683,649532.6337223477,1017298169892.5721,1008612.0016599903,,,,,
550207.3302504458,720241251449.8651,848670.2842976565,654165.9572248663,577312788181.2026,759811.0213607083,156490.29730365748,62754854740.76105,250509.19093071425,994589.8289875588,1519724877559.9702,1232771.218661423,,,,,
534391.8896514743,688117818275.0337,829528.6723646348,782634.2794477115,738623180940.8434,859431.8943004404,142187.0684677388,36466362933.87084,190961.6792287679,853141.7651516541,1115010014857.4268,1055940.346258929,,,,,
258165.09189479653,128589461415.58066,358593.727518456,650018.4840780068,580237533102.5065,761733.2427447988,238039.1598591109,100294090719.00354,316692.42289483896,862237.1775270323,1274022589220.131,1128726.0913171677,,,,,
517569.8594940485,822870289741.6619,907121.9817321494,606321.139859424,667877085958.2357,817237.4721941204,256575.09645500753,226235206596.85184,475641.8890266624,898990.0599343083,1649403977111.262,1284291.235316687,,,,,
621685.5757250783,753025397182.0671,867770.3597047246,959488.9708932805,1074580604052.8171,1036619.7972510544,201363.08801527007,83326636055.34927,288663.5343359969,1546716.1184538803,3240567396551.9736,1800157.6032536633,,,,,
680973.2331375276,1040640862319.2539,1020118.0629315677,816724.8899917102,937657846594.7788,968327.3447521653,284411.7097263087,127891493904.90062,357619.2023716017,1116948.1459047222,2416622879282.539,1554549.0919499903,,,,,
652162.1250164504,1139745209184.7358,1067588.5018042934,911147.9772909862,1027882881324.5333,1013845.5904744732,257691.51549670042,121673868577.92668,348817.815740433,1327149.8641951203,2936405834100.625,1713594.4193713474,,,,,
620280.5408285357,1094487272858.1115,1046177.4576323614,830353.5351873455,865765526542.0107,930465.2204902722,156549.0751230828,42007755085.55533,204957.9349172784,1344041.557019253,2708875970917.227,1645866.3283867335,,,,,
347998.3792721516,258465564992.78806,508395.0874986776,638138.1459408106,664542509687.2162,815194.7679464192,227707.23741398344,101777031188.02217,319025.1262644091,871454.23535648,1263898913682.4263,1124232.5887833114,,,,,
453335.1479719979,457546345265.1023,676421.7214616206,633132.6542933811,861352645107.1965,928090.8603726235,172345.78636408673,66879034657.59836,258609.81160350115,819536.9966443776,1396030993045.6816,1181537.5546488913,,,,,
440330.18318887864,475064161418.2483,689248.9836178565,900622.1653152094,1039536013976.9979,1019576.3894760401,299513.14355418057,259090752985.39618,509009.5804455906,1214920.5233867497,2735767665429.227,1654015.618254322,,,,,
392090.24262464314,357209162377.5665,597669.7770320718,520466.13135648257,348693267672.38934,590502.5551785439,186385.55663397777,62014990550.2515,249028.09188975347,682758.7332074665,723825597352.6355,850779.405811304,,,,,
422047.90909240517,525229310471.7707,724727.0592932008,642119.1999822804,536631791226.8564,732551.5621625937,158879.03915340113,44931301891.3743,211970.0495149593,808031.7434232032,1100650218120.2944,1049118.7817021934,,,,,
326211.0427284681,206640547079.09726,454577.3279422295,591346.0483776361,436989121082.27435,661051.5267982326,192105.87068021018,83041901696.05498,288169.9180970404,808519.4501404368,929475961628.1064,964093.3365748912,,,,,
337501.149991874,223236886753.53354,472479.50934779545,728951.5399743166,1071671203565.7728,1035215.5348359939,283303.344130947,229243799208.73105,478794.1094131496,976913.0426259247,1881825016273.7275,1371796.2736039662,,,,,
416041.49075987627,394016078701.82166,627707.0006793151,719719.1763609557,688095194430.8113,829515.0356870039,168216.92715430327,59782944212.23003,244505.5095743857,1194112.3456512997,2316830849715.3066,1522113.941107993,,,,,
411061.5585325045,335854164178.4756,579529.2608475223,693766.7701921026,1019209198776.6023,1009558.9129796252,254942.44300915304,175809716024.80038,419296.69212241634,997292.8566336699,1697709801956.9597,1302961.9341933823,,,,,
547282.2802421536,736031880235.2148,857923.0036752803,677885.3666164861,587413303815.8467,766428.9293964879,168856.9599211571,58171699692.766464,241188.10023043523,957982.2023836115,1517934822351.759,1232044.9757828482,,,,,
459047.045916491,389744731458.894,624295.3879846415,722821.7065049955,807913564063.7931,898840.1215253985,278098.04546778055,222647918303.51538,471855.82364056434,974774.55379305,1649821162077.0747,1284453.6434130562,,,,,
469632.2736587587,539920955374.36444,734793.137811156,763863.6512655005,1067609951979.1675,1033252.1241106488,230667.43297793326,86347864344.77606,293850.0712009035,1302487.5563024897,3061078481259.303,1749593.8046470396,,,,,
342077.4975068371,248011969587.26672,498008.00152935967,747844.065534188,1142405656979.95,1068833.7836071379,234500.433870052,99342135079.18217,315185.87385728786,1049136.8968578689,2211969193458.8613,1487269.0386943652,,,,,
280784.22258659673,155591541479.38046,394450.93672012043,504838.90281463787,342570677982.7704,585295.3766969037,186921.53513064224,76869141733.84296,277252.8480175505,662598.6623772786,712326090097.8231,843994.1291844529,,,,,
365556.0556740875,350728215337.8242,592223.1128027884,514723.41274677805,441073959921.4345,664133.9924453758,215213.33621892877,91781238686.77948,302954.1857885107,785219.3593027332,949762050405.4504,974557.3612699513,,,,,
409564.3854252014,536932168883.75116,732756.554992005,683285.6528182067,564913498664.1111,751607.2768834208,165988.92108311038,64392306603.579254,253756.39224180984,841439.1032358672,1263077808475.7463,1123867.3446967602,,,,,
397332.5771165591,326779662069.40234,571646.4484884012,791145.1300400817,1019410710776.1005,1009658.7100481531,321614.37125937897,294100710464.3728,542310.5295532928,1125210.973637768,2529469320250.481,1590430.5455600633,,,,,
516485.3842334654,608882786544.7015,780309.4171831463,638670.8650719072,577954786330.4061,760233.3762275937,194598.6152993608,65277477734.43161,255494.57476516327,867348.8640409914,1096042389155.8419,1046920.4311483476,,,,,
454466.00604350754,507607406556.6847,712465.7230749313,732308.2798778653,671246514028.1133,819296.3529932947,189836.90940510496,82113153310.72885,286553.92740412557,988282.6249777466,1772756548336.7532,1331449.040833615,,,,,
355300.03908330697,314678556321.04675,560962.1701336434,611458.7078122576,554128440720.8325,744398.0391704646,193018.4243417451,71058797013.81935,266568.55968740827,898013.1918083127,1350722146441.7139,1162205.7246639745,,,,,
433689.8607698833,416003497517.7488,644983.3311937207,647963.5469052667,611562119630.0227,782024.3727851599,191179.81621446114,70718860384.80289,265930.1795298963,969273.9570163254,1744437225850.0435,1320771.4510277861,,,,,
317288.91325164767,238540651203.6527,488406.23583616613,673082.4393696198,823472249033.5292,907453.7172955595,300993.39491464937,268817485451.88913,518476.1184971678,954807.3401022203,1697151406005.1887,1302747.6371136464,,,,,
783095.9701155109,1484548330125.263,1218420.424207204,987059.88213981,1373277431200.087,1171869.2039643703,227070.01356003623,135850984750.85419,368579.6857544569,1430744.4675245916,3277978097973.576,1810518.7372611132,,,,,
