source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
422249.8816632872,413987995895.01355,643418.9893801811,1069111.1147957041,2469598141224.2207,1571495.5110417022,221200.36399539813,96007313875.40498,309850.4701874841,801813.3665386044,1863365328803.8528,1365051.4015244455,105477133.59430678,0.34592881233847356,0.980931837923928,1.0,0.43207771372353754
333352.55218357535,221317501096.2165,470443.9404394709,752581.8108700656,989962722123.8224,994968.7040926575,234409.59525011864,110990415730.48293,333152.24107077974,599178.5785501999,814409736226.5911,902446.5281813605,69200088.60494433,0.3352013293539764,0.9966801277179982,1.0,0.2706045730677581
308422.677409319,210147659047.60886,458418.6504142353,877681.3408590615,1549118331455.2688,1244635.8228233948,182422.70345602668,68503861745.91986,261732.42394842842,656628.9522778541,1291064567199.4695,1136250.222089954,84228951.42578363,0.3444672955645001,0.9860699531452922,1.0,0.2785937158541051
660920.723832721,1258367242418.879,1121769.6922358344,922673.5377902095,1492670851703.4255,1221749.0952333156,323077.0763637179,252708960226.4266,502701.6612529012,838942.3717742768,1247526102737.215,1116927.08031331,83918092.59580767,0.3369993168578449,1.0241121767210384,1.0,0.39148422411790657
434709.16586799454,575201213366.3469,758420.2089648896,970508.4213723609,1494455758139.615,1222479.348757931,312885.67421167245,281662709295.9122,530719.0493056681,754831.5730452592,1180439371001.3445,1086480.2671937232,88153186.96419673,0.33150672010273585,0.9936563569302094,1.0,0.26630706042682895
428830.3131832521,384680018453.9074,620225.7802235468,1005445.5553545671,1568165689210.0823,1252264.224998096,220985.845592102,117595108557.14906,342921.4320469764,619793.0943023675,669948201641.2495,818503.6356921388,95602644.14471635,0.34597521497463146,0.9651152723218983,1.0,0.2986419408307293
511239.4451652912,451500198407.52954,671937.6447316592,1156216.5238727566,2529267269853.052,1590367.0236310395,173278.07249668826,50961709516.532936,225747.00333898774,786533.19925511,2212168692038.274,1487336.1059418526,111038432.33924817,0.35008261637341553,0.9904476873498242,1.0,0.45367506364504306
306670.498540836,164971217789.9521,406166.49023516465,1164063.5514919893,2478098122005.2666,1574197.6121203038,217190.70313079155,82224922618.51357,286748.8842498146,719628.1076328851,1533374626373.8325,1238295.0481907907,111752561.67755513,0.35677086157679094,0.9987946231920658,1.0,0.5027468191123531
268983.0446780102,128062819913.53307,357858.65912889835,709093.5229817317,806760279305.2749,898198.3518718318,188305.58561427315,73832490695.00381,271721.347514331,582606.1988761179,683229997386.3551,826577.2785325974,63933422.28802562,0.334712540649175,0.9941387656674361,1.0,0.3034712778779928
449476.6537873082,466205774967.531,682792.6295498004,892701.440798356,1709521156956.8613,1307486.5800293558,165067.53640622302,51970917023.54754,227971.30745676646,577355.0605435726,727148515427.5853,852730.0366631782,85611222.67350975,0.3394743940423123,0.9976889329777107,1.0,0.3238489481413317
304984.07958252786,196251572545.33914,443002.9035405289,726709.8916910934,978410786098.4938,989146.4937502906,254684.97865020297,126793218143.77353,356080.35349310347,538805.6409384813,733578293528.9167,856491.8525759114,70761444.81965339,0.3634153361704047,1.0067220636378782,1.0,0.2981908817027293
499467.8883776693,449263318940.51,670271.0786991409,1148682.4859025541,1999543432794.3127,1414052.1322760037,225576.7944554186,113723838400.5517,337229.6523150829,872860.9187230786,1641400210418.38,1281171.4211682915,110512804.65862876,0.3635413648652596,1.0183844970544627,1.0,0.2573445623418294
561414.7949831223,637356441539.2164,798346.0662765342,1021960.8591175191,2393099530762.264,1546964.6184584391,234364.64409529595,120015344357.1,346432.3084775726,880984.4853352393,1615119184025.061,1270873.3941762496,100641045.50991824,0.3368951202126217,1.003221737337248,1.0,0.33344451657882423
363527.10181483027,379034650805.54626,615657.9007903222,1032282.4822794624,1800810106552.5076,1341942.6614250354,250647.9995504235,187668468277.88193,433207.18862673774,567562.3144019311,1045074347490.4628,1022288.7789125256,100150429.88413253,0.34005889227967,1.0008503056017304,1.0,0.2935969016727953
433319.2383722064,441842127143.97235,664712.0633356764,913019.390151797,1364444192037.3613,1168094.256486762,208570.52019070994,97314319693.99028,311952.4317808571,648427.8674646894,969042309705.7717,984399.4665306213,84580356.90696658,0.31249667125411545,0.9958275849277476,1.0,0.30401471460872725
349712.27972508094,229290834566.3438,478843.22545729287,731204.1411761839,780130865199.5665,883250.1713555263,164023.49280995704,63167795052.31425,251332.04143585483,631594.4844029022,681976546805.4116,825818.713039013,69563518.26676732,0.3274727654265436,1.0112909852456544,1.0,0.205665688595481
630538.0296048609,989748519971.2318,994861.0556108988,890098.9384406572,1245441775261.374,1115993.6268910205,208144.78539600066,94550443654.83978,307490.55864341557,671660.0799853295,878504110778.958,937285.5012102545,84124356.47186726,0.3334584666115647,1.0538201088082941,1.0,0.24916910516587926
549210.7136081025,630726819904.4148,794183.1148446904,1007730.4704745353,1847977225292.5232,1359403.2607333716,221909.625723852,85531824995.4016,292458.2448750618,770784.5202840391,1552283551002.8174,1245906.718419488,95989121.34718421,0.29511492885247825,1.0058176287675853,1.0,0.28486702288849014
464522.82965017506,530247356314.88635,728180.8541254613,952527.7857354255,2133904019641.17,1460788.8347195052,388458.2902914958,378446091317.2241,615179.7227780059,767656.4752057898,1817770162018.804,1348247.0700946485,86985519.78587444,0.3153121851998868,0.9843792691864016,1.0,0.2640884130492004
496676.7211645017,682148929620.1815,825923.0773021065,955021.3642945661,1477804401344.914,1215649.7856475418,192601.79669460602,68084339396.609375,260929.7595074379,885927.1466633278,1463435178954.1985,1209725.2493662345,91291400.22728238,0.292078310710811,1.0435025417882455,1.0,0.3318839482652042
393849.57753853523,345664342585.66223,587932.2602015153,1215373.4604888316,2552098887758.52,1597528.9943404845,159982.29918225098,53214787727.14957,230683.30613017833,647760.4655929221,864974741769.2646,930040.1828788177,119676775.75242904,0.32036974163604176,1.0269426469548408,1.0,0.2719545510447208
360109.12222565076,269625194990.71536,519254.46073261165,757828.9076233497,989908697299.7924,994941.5547155483,198176.33463503237,86774171166.59418,294574.5596051943,510222.3063425062,548555737824.83405,740645.4872777084,68081454.36596121,0.330985097350094,1.010153877441199,1.0,0.3625797104193839
576207.5407314264,657287531120.4596,810732.7125017588,1398380.3081070154,3509017882443.4517,1873237.2733969,238981.6150545088,110214821459.1771,331986.1766085707,787585.4286927896,2753720504703.563,1659433.7903946524,137551368.10032615,0.3624262143865672,1.0174458527729668,1.0,0.3450632854255214
327941.2730790221,227605726699.10306,477080.419530191,899866.4838541377,1385600242514.7063,1177115.2205772833,171638.8109034346,81493460138.20041,285470.5941742519,606939.6465581303,791499947063.1279,889662.8277404468,83130000.38283955,0.3604109884779605,0.9973234921221797,1.0,0.3060902382286838
369364.3331397629,377646781532.6624,614529.7238805153,848654.6597507565,1096069402260.5386,1046933.332290332,129664.3880280618,41867697201.439285,204615.97494193673,605849.6418125886,730915351312.0739,854935.8755556312,82693340.48203692,0.3095004848998377,0.9989317952936057,1.0,0.2588128923210536
629265.7922680639,1049719612287.7395,1024558.252266673,1162556.9478788793,2195751107321.1897,1481806.7037644247,195386.26394353012,69965391371.558,264509.7188603058,858257.4352363229,1305638675754.3298,1142645.4724691862,111638420.1137919,0.35270964154143075,1.00558798388748,1.0,0.26856456931784534
417882.12630893773,426470914266.8953,653047.4058342896,934618.9945043186,1487259004154.5984,1219532.289098816,172769.93471596314,58801213672.67139,242489.61559759913,682250.2103720307,824614638324.7269,908082.9468306995,91909631.10074915,0.3463592685598945,0.9920211795144191,1.0,0.26269158415073374
557435.0999002344,695913846826.9083,834214.5088806046,770588.3240790808,976348423860.6815,988103.4479550618,207583.6610970741,84227088216.14856,290219.0348963151,668986.4153027015,824861719977.769,908218.9823923353,73179544.94758229,0.3554597387701378,0.9834579301602591,1.0,0.29906446503469614
397316.07716752036,462113737098.6488,679789.4799852737,921288.529831003,1767604424583.8608,1329512.8523575321,310860.7008569215,243631718856.02985,493590.6389469211,781704.460773895,1759830066167.3882,1326585.8683731665,85244546.53376746,0.3327312918770136,1.0100199946629722,1.0,0.3751286679840534
272976.20869422576,133499162407.5335,365375.37192253873,770064.254322647,1159964344419.6545,1077016.4086120762,182946.15846962505,74285121021.12022,272552.96920253907,523799.99331725104,831245648471.2728,911726.7400220709,74746428.35082962,0.35775928263662166,0.992886488368653,1.0,0.38145016482461463
453874.92861531896,531962579188.3905,729357.6483374878,958916.7310023359,1783294497886.6685,1335400.5009309635,221063.6881693035,94761181772.15791,307833.0420409055,703455.5993929054,1050548763404.6003,1024962.8107422241,91288318.96805261,0.32352654922817087,1.0199904769894261,1.0,0.30185767196253316
553720.0326530157,778570433606.7046,882366.3828629832,1102325.2279090448,1710701519602.4885,1307937.8882815838,203317.1685350616,93792423294.78662,306255.48696274264,725712.8138720137,885462708682.5298,940990.2808650734,105954661.83570242,0.3481692169965835,0.9996554052853308,1.0,0.241195728848194
436340.5574908743,424579982016.757,651598.0218023662,1292210.2774103058,2629729332623.887,1621644.0215484677,180677.3761446387,73519092541.00975,271144.0438973531,528744.6571261339,543656512962.77844,737330.6673147255,127337649.89830874,0.2938077674766457,0.9927172461338011,1.0,0.26480013158088206
576979.0987532026,1078180636401.7797,1038354.7738618915,984348.48240072,1733916749978.4326,1316782.726944135,218403.41468123026,98043281668.71227,313118.6383285292,682932.69157985,1181532463830.282,1086983.193904249,94483402.19414847,0.3235311798659352,1.0101274278144228,1.0,0.2924794153707279
228082.39058374887,89692462053.36928,299486.99813743046,641917.5237357981,1005437897405.138,1002715.2623776791,257635.4667115895,124768661027.1368,353226.07636913896,501880.34012331895,759587739370.6433,871543.3089472051,62329560.43452153,0.2986582462818616,0.9919444442752855,1.0,0.2639688767307131
557720.1043956449,753426745065.766,868001.5812576414,960276.8939898765,1472746187483.4443,1213567.5454969304,157606.303476714,61753767899.15037,248503.05410427126,659018.3378886641,927496593587.3884,963066.2456899777,91837592.14472646,0.3106690580244762,1.0097606008240079,1.0,0.2691418817975684
534733.7395054545,728540218224.5599,853545.6743634519,835711.131844122,1105981927909.8306,1051656.753845964,146407.1986630928,36687246881.545876,191539.15234631763,799660.8049729664,1150474109469.3323,1072601.5613774448,82177465.38924186,0.34199686377340666,1.024900320171533,1.0,0.25325761678961217
249777.72318091884,122861298116.79576,350515.7601546552,875828.4020970656,1269210540816.2998,1126592.4466355613,224421.32216564516,92381416145.2958,303943.11333750567,488755.8810614466,510689355163.9059,714625.3250227744,81695462.8040691,0.33312079571271797,1.0110394645106702,1.0,0.35139433549103205
504480.00517404074,800417018363.8599,894660.2809803617,917391.1016459748,1671645507802.5889,1292921.3076605198,262369.1548887011,231683757663.51743,481335.3899969515,842754.0832727931,1843937209221.5256,1357916.4956732523,83229315.64832197,0.33580678574018497,0.9859303501297715,1.0,0.4273646976626795
594522.1549638135,661125441188.4135,813096.2066006786,1483076.6644631,3405163752552.487,1845308.579222588,202272.4067824567,83121628824.25005,288308.2184472896,827850.6041711061,1267420913306.4756,1125797.9007381722,143958066.67794237,0.339468053438357,1.0189868862567102,1.0,0.3051894900197786
672754.4153833892,1092111674558.4889,1045041.4702577543,1131181.1968101396,2393843074980.93,1547204.9233960349,279416.92120517115,126482821284.92877,355644.2341511089,1026350.7428616838,2494961839851.746,1579544.820463081,104826960.9835943,0.34496044120589386,1.01864893258076,1.0,0.29803279912407593
643761.9800837443,1139236057237.2456,1067350.0162726592,1401057.7529868134,3042741126505.6455,1744345.4722346847,247470.29481090768,110758650570.5565,332804.22258522577,887886.862234314,1798611948498.4602,1341123.390482196,136979137.81473643,0.3360320241896553,1.0587042823473056,1.0,0.25859120770530747
635234.5267077208,1079226354353.5946,1038858.1974233032,1361871.7608707624,2728708136593.693,1651880.1822752438,167369.81850534823,43834168466.835396,209366.11107539682,818410.8146613808,1704551944238.52,1305584.905028593,135108109.1534183,0.2948607640133994,1.0356445329521917,1.0,0.41676270346281924
360043.6077709956,269407990262.973,519045.2680286884,857007.8056803552,1253521663352.2622,1119607.8167609684,231896.8919939364,102157121829.80295,319620.2775635534,591750.7469687985,769631854381.8422,877286.6432254866,80868945.4665918,0.34450893506528746,0.9769669753966216,1.0,0.26101810293122973
