source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
465286.11199065234,439794498312.68384,663170.0372549138,687678.4625011061,895713524155.1764,946421.4305240433,198955.56313126124,80164737154.6548,283133.7796071935,1091413.2733438432,2480940783561.0825,1575100.2455593366,,,,,
343307.8250530495,235895773783.51712,485691.02707741794,582683.3144308501,519686925853.30475,720893.1445459201,236364.08419546712,110074354228.50935,331774.5533167204,757600.8139712778,982767421888.1277,991346.2674001086,,,,,
308799.1427912196,208255384428.10486,456350.06785153964,665732.4524435734,853787775257.232,924006.3718704715,179339.63061098274,61198070265.192604,247382.437261,947704.955647871,1697768928743.508,1302984.62337186,,,,,
633211.0349493877,1240944659176.466,1113976.9563040638,754985.6141979843,824173038250.3147,907839.7646337787,332321.8682741254,269462550294.40027,519097.8234344662,949128.5091591295,1544865271508.4294,1242926.0925366518,,,,,
440317.3316356084,601822369220.8208,775772.1116544605,668823.9237436219,745824339873.1708,863611.2203261204,315325.09191109444,280645607444.15106,529759.952661723,911204.0194932178,1364066556326.8225,1167932.5992225846,,,,,
455368.0841139463,421653007185.8632,649348.1402035916,728209.3678486322,693962096298.677,833043.8741739099,232537.69641826433,122588308610.60408,350126.1324303059,965133.1319948523,1565120901084.41,1251047.9211782457,,,,,
493636.1813975188,464548461201.99445,681577.920125054,742039.0327436127,685092742100.8425,827703.29351818,172203.1490208302,50147544715.50977,223936.47473225475,1106804.1795714628,2541568726493.448,1594229.8223573188,,,,,
322803.96298139036,192266975655.746,438482.58307000744,767401.4338560428,790408191719.7692,889049.0378599874,223882.98521474004,86466480222.99413,294051.83254486637,1094475.2703230926,2333236380308.064,1527493.4959953395,,,,,
274922.2992503394,132171378496.0181,363553.8178812294,666324.9531931746,705778545634.5144,840106.2704411355,180440.33642719197,72664810657.72906,269564.1123327233,708202.46938665,814782733065.0854,902653.1632166839,,,,,
428846.22315540846,375519501435.8288,612796.4600385913,594912.1742586588,479089019559.9417,692162.5672917756,170189.27577539053,56269536945.21132,237212.00843382976,937055.2276890092,1750985809734.3972,1323248.2041304258,,,,,
299770.17986883357,192317697850.90344,438540.4175796154,565797.1606037082,592476516995.2516,769724.9619151321,250139.1411321275,129559714956.52402,359944.0442020454,715342.4248452975,965283428683.7316,982488.3860299477,,,,,
444591.3349262146,389296570912.2948,623936.3516515886,835515.9315081547,872453661103.7953,934052.2796416673,229703.1045410097,114292357305.61327,338071.52690756624,1163257.7261111783,1974418572037.1643,1405140.0542426952,,,,,
563473.263954627,657504049469.2987,810866.2340172384,759419.689822479,1000769988140.9775,1000384.9199887898,218147.7768246086,111677711033.85965,334182.1524765493,1017135.5147120771,2365884606706.995,1538143.2334821732,,,,,
362059.4155268082,372061018811.45215,609968.0473692472,742263.1741881232,1165480755876.0767,1079574.340134146,278942.53285017924,205218666154.814,453010.668919413,972122.4831873989,1674029292983.6082,1293842.8393679073,,,,,
434585.7060541416,442686151994.9783,665346.6404777124,643993.6529615078,622643766350.1975,789077.7948657519,209661.11167323732,97988306115.75085,313030.83892126486,946420.7832359651,1494125543210.8738,1222344.2817843398,,,,,
357904.48290981917,267918101170.3033,517608.0574820134,596429.8396454487,492864572378.0737,702043.1413937991,181932.29150890364,70505333402.4351,265528.4041349157,714946.2617739119,771790370436.0146,878516.0046555866,,,,,
620841.9317546621,1000834507764.9945,1000417.1668683992,790562.2877572215,757270854612.1646,870213.1087338115,208756.63550917915,98484654980.81206,313822.6489289963,869229.893858829,1236085399017.2031,1111793.7753995582,,,,,
536432.1049279113,595292853183.8635,771552.2361991205,733260.6720088391,996634489693.6289,998315.826626839,207184.41065935406,77315119638.592,278055.9649397797,965627.1404226517,1930892871282.415,1389565.713193304,,,,,
445524.46594640176,506748082426.99567,711862.4041393081,742638.5457308951,1263737446763.4026,1124160.7744283744,387990.3335049828,370395878766.0623,608601.5763749403,945364.8404218686,2113715576075.344,1453862.2961186331,,,,,
522612.10733500187,719163893149.4844,848035.3136217173,753447.7887605045,772299655979.5585,878805.8124406998,195414.70805465055,64725979454.337006,254413.00960119357,1011707.4728117979,1499067290379.557,1224364.0350727218,,,,,
385111.2627500802,337618698466.57306,581049.6523246297,637441.4650362385,660389675256.2312,812643.6336157635,167760.77107498905,54131929807.25538,232662.69534941646,1232887.816500052,2622023956298.092,1619266.4871163398,,,,,
362648.00592304463,270983638373.47952,520560.88824793545,620946.9213173705,479942298614.0817,692778.6793876394,193774.7790562629,88364601401.13068,297261.8397997474,721596.1611670813,962596219871.6255,981119.880479254,,,,,
503563.8533772861,548123377010.1356,740353.5486577583,689642.292916356,640085769201.5704,800053.6039551165,237164.7744417773,114471288182.69424,338336.05805869144,1397101.6258626496,3562606498737.7964,1887486.8208116835,,,,,
321361.719274395,218818844229.39856,467780.7651340514,621384.1939953425,482102386819.1244,694335.932254067,171191.82620957517,80521470058.43811,283763.0526661956,920480.8401506621,1350579732677.531,1162144.4543074372,,,,,
385690.28372537805,357396294569.11224,597826.3080269321,667228.0850213082,534890051964.1281,731361.7791244823,136342.88075048506,43750343292.133095,209165.82725706676,825340.4918205717,1107756578695.6938,1052500.1561499618,,,,,
667246.1992776662,1100225419332.515,1048916.3071153555,839022.7229491222,907056695473.7401,952395.2412070002,187466.98859435323,67162128539.17762,259156.57147596628,1191113.585766533,2205021609751.252,1484931.5168556601,,,,,
415817.91818465164,427088426235.9428,653520.0274176323,739763.9821792175,935779028910.8491,967356.722678273,164561.38123435742,57453745459.4565,239695.1093774266,955612.6026908471,1471285301072.6008,1212965.498714865,,,,,
545904.5049874126,713258076208.6827,844546.077019296,602403.28453461,486907870675.12085,697787.8407332137,211107.9375646716,86533985662.15572,294166.5950820312,740422.9951744977,927635885596.0922,963138.5599154943,,,,,
423761.00937460904,479498829291.0555,692458.5397632521,727077.5719049994,820029577381.1451,905554.845043162,302195.7996273491,239282162334.33667,489164.75990645186,903965.2291301336,1820944203601.4744,1349423.6560848763,,,,,
263415.0097867582,133112692446.78795,364846.1216003097,575955.6708700134,718808775842.7855,847825.9112829623,190303.9679155347,79970726290.99507,282790.95864435815,760471.2871062203,1173385393172.1812,1083229.1508135207,,,,,
