target_rmse,target_mae
832750.0357934227,559028.9204387782
1062675.5324747053,591601.2405133419
671693.0758019171,502047.65112385445
761328.5190770779,414288.1134017926
1169249.6445691604,663808.6998980757
910035.467487517,563424.1136455047
1005352.5843882052,620560.8731209912
877986.1419951989,572204.3970742177
1156855.1668301043,649130.3613481029
959618.5624115077,601771.3198953981
987227.2578672259,535371.0488607396
802354.3156832479,536512.1015003966
714113.6900447226,502130.5237858904
978463.3011188072,599133.1145850881
940723.2975124833,602037.6618379437
943444.3124627059,593663.9652641139
970507.7043070189,609980.4806508626
789201.2615907706,458636.30280803406
1042674.6983373213,559895.9250653844
602758.6589716473,416089.33676711476
880355.5864224773,538478.3696716076
875202.578751986,524443.1175560721
711736.5914810536,501078.6155794188
758670.0655899373,537392.4714719392
1082738.1046453908,596792.9169285542
1098830.7126546202,561392.4695822058
1114403.0749987604,585828.7350572437
986832.8582269828,631483.1188662525
960783.0628659101,612287.374977435
1123870.9527908557,676439.9864045775
657994.2142574971,496211.37568056886
1017120.8719662438,520221.5839817518
803398.28901307,565709.4728652573
608702.4274264366,451459.2246822004
801088.3110028472,529191.4927040688
768301.9491510082,508316.8452316303
1005761.4222572686,568430.975477585
949324.3429898471,567053.3478400989
766976.1900500556,531058.7669282231
650104.531201605,465364.7811352228
962180.4944771726,594116.4728676117
807053.3766091933,537556.88568931
740720.8055932947,546549.7184364273
833760.7828551346,558024.6696771545
870198.8615661501,552651.4836600831
770904.3314520384,493379.3090756629
656227.5778418964,447561.70364869287
662451.4683676781,459814.67260055774
661353.3986369191,479396.95665423747
735201.9654517823,511964.29099647456
1001861.9773356823,643744.7435302371
679240.4628738773,502309.7270092985
589950.8540736149,424011.5190870816
1029890.3719954599,653074.7368706125
1043279.2300797295,652220.2875500825
579214.8266914055,413746.07557452534
1108552.247310412,567151.3068429773
970795.3102778011,610122.5009685608
800268.0613396581,550565.9220824835
1070767.0063937448,606671.4205330606
568790.550529761,402068.52193736256
1028264.7601150372,594066.478280022
664344.9720451402,472897.2525355849
826741.0692530435,554813.3013918892
867877.9946788062,563805.662093611
762430.7736355168,505132.22717098513
630673.560959665,443401.90578420326
747691.2442897386,528909.0236131051
1032799.6576906557,646452.6524312288
812820.7891106722,538066.8388724246
836268.1833934044,507023.39656569145
949782.4636647564,494137.15356696997
959849.2629777482,567394.8016581413
884593.8608055108,553363.315298627
818041.1681475295,513678.014519824
835272.4701716481,542559.5017692122
1175587.3048389272,638345.396786554
1160553.8423341657,639493.7122678569
927995.6108898425,619065.4945476578
735512.9089218176,494455.89488037786
807398.2873488376,522919.7505936877
811195.0472121952,586235.5238169244
734917.8703509032,495061.33195036714
876006.750781148,564186.0913322584
656010.0905166995,477806.9972986897
867019.7054770562,585221.3515506145
914879.089665527,586732.2334361512
804086.5841303916,555411.4821220755
1038082.7906636022,665362.2288966053
871773.3173193659,512653.9008435165
939189.4241009403,622246.2434386365
610822.7317671295,434244.02411452704
896436.412055149,558712.2179607599
1074765.3813031057,694138.2248045771
617138.272977447,452392.21814222983
755023.2583115527,495809.852172623
811035.3175241635,576146.8672244255
916510.4202723969,530641.7187982729
814942.6898927459,542548.7028756788
1110901.0976481657,575787.4868713785
