source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
291633.29620038724,174256938314.22714,417440.93991153664,611512.4020405146,834569214032.495,913547.5981209162,189320.72095042968,75268314512.38637,274350.7144375359,707128.029854099,1097430088961.6105,1047582.9747383309,,,,,
252320.7082383969,101246867725.19597,318193.12960086984,566307.9655451278,976775465390.2996,988319.5158400442,294844.6754175024,192549264552.60608,438804.35794623336,744300.3849104899,1357606822621.9324,1165163.8608461611,,,,,
298301.8889643094,162057675197.79688,402563.8771646021,593817.2582040192,590822638140.6115,768649.8800758454,255131.99029177031,132916167831.92511,364576.6967757609,695954.5952812429,958990202356.9642,979280.4513299365,,,,,
327869.0834686557,224236160403.8546,473535.8068867175,631636.4570463878,566266484906.3113,752506.8005714708,207039.32533241864,89203518971.69073,298669.58159760886,756211.7768024332,944582533491.5797,971896.3594394105,,,,,
466971.9565768106,573732707285.3883,757451.4553985544,519923.62119796174,369248020076.1573,607657.814955224,218925.48367852674,92331344271.11441,303860.7317030524,630754.4264898842,599351904944.651,774178.2126517453,,,,,
330409.10503132833,172111764236.24088,414863.54893656407,617138.0175761093,499882843384.78955,707023.9340961447,194311.0940309027,65928669929.138695,256765.78808154856,858944.6354017215,1041228180936.3547,1020405.8902889354,,,,,
364637.55809205846,235259990934.28177,485036.07178670925,525397.2920339977,341983806996.2441,584793.8157985634,155442.09789342474,46799803458.15687,216332.62226986678,644361.7679101009,556460393393.5929,745962.7292255244,,,,,
375586.2883174618,308458014875.32214,555389.9664878023,685119.7399168774,1026199509509.9343,1013015.0588761918,257018.24766977635,137039148619.58502,370187.99091756745,790795.8974750516,1237183959230.945,1112287.7142317742,,,,,
354992.05779439735,287157256704.4556,535870.5596545266,561578.848840678,787425926527.7875,887370.2308099971,199805.2564091917,101179888543.68987,318087.86293049576,636711.5631601628,926672905506.3523,962638.5123743763,,,,,
309311.9246900889,168212158251.28693,410136.7555478135,634811.4926871322,698495534379.864,835760.4527493892,254832.55015555068,137628037278.86682,370982.52961408684,858207.3331251245,1308077461956.7725,1143712.1412124522,,,,,
