source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
410075.51943469216,427315671755.4403,653693.8670015502,1122506.4420250605,2032454945278.1682,1425641.941469936,214893.34683548415,92632850909.30453,304356.45370076277,1159870.3578898397,2459401162149.2544,1568247.799982278,,,,,
389467.53396579926,408378013576.5955,639044.6100051197,638539.0972456489,634128657526.9707,796321.9559493326,154850.44590757464,43557297834.124245,208703.85198679072,729655.382365746,731607695974.9092,855340.6900030591,,,,,
599083.2098083372,933393738538.6443,966123.0452373261,967050.7337153435,1762971963162.8635,1327769.544447704,171429.43743700057,57448416482.8945,239683.99296343196,1092226.0409793342,1971884268469.3457,1404237.9671798316,,,,,
363641.80838640785,310049171896.3027,556820.592198513,920454.1744478341,1532469142880.741,1237929.3771781737,194915.966443217,72195138656.37936,268691.53067482304,1040822.774268375,1873058744404.8691,1368597.3638747332,,,,,
396016.1995284781,487844861794.5001,698458.9191888812,1281490.9291931198,2861212024470.448,1691511.7571185983,180926.29262287862,61257548156.98065,247502.62252546064,1231859.1122055023,2276595051419.9414,1508838.9746490316,,,,,
335607.2700664365,308303635940.2924,555250.9666270672,1081894.298586805,2105117702277.5186,1450902.3751712306,211495.99302398757,94193166830.4686,306909.05302787764,1033421.4796463451,1830516509982.7598,1352965.819961007,,,,,
354950.2364255289,275056148233.8228,524457.9565931122,1436647.185723859,3251717669794.2236,1803251.970689128,173177.68593695812,72294738874.95601,268876.80984970793,1151595.529089326,2262936810752.314,1504306.089448658,,,,,
353630.9979449221,270519875261.1808,520115.25190209603,883810.041309072,1376190937527.2893,1173111.6475115612,200458.6377996311,66813360001.405945,258482.80407293237,982797.6347582468,1669698076281.4014,1292167.9752576293,,,,,
415009.63104391185,403378704579.7881,635121.0156968419,967679.5959649369,2096956900965.3516,1448087.3250482345,245407.4960647859,131042607720.21577,361998.07695651613,1095009.5128181516,2692225661353.319,1640800.3112363548,,,,,
312365.9270258564,165881460885.50345,407285.47836315434,862233.0018849272,1311513443332.1814,1145213.2741686944,194578.88224681336,85308068565.17401,292075.450124063,831855.2308982763,1119891973345.7207,1058249.4853982783,,,,,
368920.70904607646,425589553492.1793,652372.2507067414,1021347.823774847,1945436339632.8523,1394788.994662939,353713.6043181007,281926064525.84564,530967.1030542718,1053844.8483834532,2043983826555.965,1429679.6237465108,,,,,
310187.41360983613,301265801526.0595,548876.8546095376,962283.356838847,1996161178425.2688,1412855.6820939882,228110.09408112298,95588201001.94098,309173.41574259097,1250210.3723390875,2915640067714.5273,1707524.5438102866,,,,,
255388.75877790348,115874937271.65826,340404.0793992608,1048677.3958283933,2184372428378.2642,1477962.2553970262,309545.4889360969,248111416723.35364,498107.83644041745,963657.6108243872,1769319283759.9631,1330157.6161342547,,,,,
540579.6023759608,795228139994.1306,891755.6503853119,1226443.5552765792,2717942204111.087,1648618.2711929062,242773.3344968338,105894450487.38608,325414.2751745628,1159510.693430145,2473878038485.764,1572856.6490579376,,,,,
310720.8697977547,148103228014.62317,384841.82207060495,964845.6408843865,1608783447028.4565,1268378.2744230747,280669.0252303675,214636174531.17395,463288.4355681393,1110058.4429651066,2055700239092.768,1433771.334311287,,,,,
385563.6846789148,432783358828.41925,657862.7203516089,788647.1028148339,1028151887238.2438,1013978.2479117803,223120.92650646938,130181537028.00787,360806.786283196,823157.506592222,1048498815124.0928,1023962.3113787405,,,,,
184238.06392191953,60902691242.49948,246784.7062572952,647946.8870298197,726525391551.5168,852364.5883960201,143312.6793124972,36415116008.83395,190827.45087862478,653342.9301058934,654054415272.8596,808736.3076262,,,,,
345987.8104602389,291154962228.38885,539587.7706438396,899557.5696120512,1492779060130.696,1221793.378657249,182076.05887285405,55724858105.40827,236061.1321361657,871951.0576126806,1274628199419.8457,1128994.330995442,,,,,
344235.4165037349,270539920509.752,520134.5215516386,909740.51704935,1521836805387.9653,1233627.4986348047,197120.56386109206,76350510293.6257,276315.9609823973,885475.0035212635,1355811631260.4507,1164393.245969956,,,,,
278761.21261420054,154695348130.63718,393313.2951358715,851923.2825393995,1145131480245.442,1070108.1628720725,184243.46253728884,83069129340.56363,288217.15656872967,732773.1194378629,993896755836.3651,996943.7074561256,,,,,
263009.84744689456,122232674835.76057,349617.8983343967,949077.8010996577,2018332913291.31,1420680.4402437974,242801.30540465013,127484308089.81807,357049.4476817155,1040567.7707943175,1616636860785.7913,1271470.3538760906,,,,,
350568.7634261592,236178121922.36133,485981.60656794545,1052356.4882595288,1874718777153.2754,1369203.701847638,215380.30781631477,114018778405.23856,337666.66759577935,961445.0004650712,1537794567408.5193,1240078.4521184615,,,,,
337947.5608434377,275904322866.7613,525265.954414296,972526.3212131936,1648025041301.824,1283754.276059801,178374.80098273337,59145797851.33455,243199.09097555146,996044.186389721,1793468551687.3594,1339204.447307191,,,,,
421884.82557617006,428658146729.0079,654719.8994447992,1005594.7298801232,1779086527129.5488,1333824.0240487307,213691.83016316788,106039018126.10893,325636.3280196313,943219.0846139281,1552624214130.1045,1246043.4238541226,,,,,
406349.6359866829,443741190738.516,666139.017577049,1026633.9662059925,1736700994782.136,1317839.5178405207,314720.91716914275,275822677845.36163,525188.2308709532,1094296.1157004866,1891592341657.328,1375351.7156194367,,,,,
356011.826798298,238978130559.3818,488853.89490049257,806609.1473551897,1267332190231.7212,1125758.4955183421,200463.77254149874,66715561026.32828,258293.55591328305,796522.1697465398,1036278189513.534,1017977.4995124077,,,,,
417861.54431237804,422346879085.5461,649882.2040074233,1322110.884873852,2985417527759.728,1727836.082433669,323022.3566293446,288748204814.9041,537352.9611111342,1095251.8074795927,2012334655549.8962,1418567.818452786,,,,,
339506.4999120577,320106199890.6409,565779.2854909421,798925.7073765425,1164561026607.53,1079148.2875895833,176334.73341436556,69444572750.66731,263523.38179119385,954085.8682306327,1426141964142.0837,1194211.8589857009,,,,,
347267.7211600469,217464655868.59653,466331.05822858994,804043.6037879981,1232287350763.709,1110084.3890280183,306605.11615060386,250515348318.57626,500515.08300807106,776761.2135834894,1157276850042.9695,1075768.0279888269,,,,,
324654.9965639531,296622526531.1892,544630.6331186204,866030.4853578153,1283469716389.4036,1132903.224635451,226906.6042232184,98440581083.78691,313752.42004451045,767438.4669165141,993685815438.0558,996837.9083070908,,,,,
479373.55228934786,399403689600.14844,631983.931441416,1030518.1539619747,2108942469481.8394,1452219.841994262,309642.7453601986,254955516719.37372,504931.1999860711,1054619.315980058,2309219359939.451,1519611.5819312022,,,,,
360731.73749522056,361281339735.9942,601066.8346664904,1083016.4799277585,2096356356964.6863,1447879.9525391206,170426.49329856253,70378720690.6751,265289.8804905213,1025139.2562731865,1798994103371.5762,1341265.858572258,,,,,
339806.79843215266,307565669502.6049,554586.0343559013,1247591.5648592939,3307431466389.25,1818634.5059932328,237586.4858912834,106054573553.23293,325660.2118055458,1133172.561788754,2283763388513.0903,1511212.555702569,,,,,
