source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
392638.06603191333,391846466794.11383,625976.4107329556,1127583.1826611767,2111291543924.5774,1453028.404376383,198626.47236767475,84988951405.6146,291528.6459434383,771608.7697569865,996419131730.9352,998207.9601620772,,1.2494797231621166,,,
365330.6643496376,324491895785.85956,569641.901360723,648438.5375077425,659796436124.9563,812278.5458972533,147857.5924509857,42010917025.37463,204965.64840327424,464522.0288258696,304368196749.49744,551695.7465392473,,1.3192368257101768,,,
579529.9619624367,819294765572.6207,905149.0294822288,1122649.6402772556,1917561895327.5164,1384760.5913397146,170640.68292439997,53977754841.984375,232331.13188288902,587053.1824902787,510687704394.5047,714624.1700324058,,1.2681498102794362,,,
395114.1130182769,388980946190.6052,623683.370141136,926403.5559050468,1451626905366.1287,1204834.804181108,200493.18751033727,73465065423.16725,271044.39751296694,502023.04930380994,363152740031.8347,602621.5562289775,,1.3123356718366255,,,
421781.77236671373,496307234003.22943,704490.7621844516,1255866.6506323502,2697685168560.9614,1642463.1407008686,173650.8554018586,61337372618.21454,247663.8298545319,669608.0968651365,519675286339.0547,720885.07151907,,1.2172593191050722,,,
318105.5727433388,290187284492.53876,538690.3419335999,1104872.5801138685,2089404329480.3506,1445477.19784172,214099.14192056088,94296851133.1201,307077.9235521826,543087.7245082654,446886970020.0982,668496.0508635023,,1.2718379907288853,,,
386233.4710133178,304520356880.4846,551833.631523564,1405254.7920707408,3185315975532.2686,1784745.3531336812,171548.69902937562,71210363198.22867,266852.6994396509,617596.4308057859,526568329279.3591,725650.2802861438,,1.272356072677873,,,
358269.7948377339,283816308233.28906,532744.1301725332,897706.5025838492,1395631435853.136,1181368.458971686,197406.19868734494,64365981182.64519,253704.51549518228,525731.9021384051,429663315468.6321,655487.0826100481,,1.2840136978787626,,,
413882.7032441568,399384892391.5189,631969.0596789679,1007460.4660044633,2190259705837.8472,1479952.6025646387,255308.88148976513,133557530999.3302,365455.23802420753,655347.6834775351,995004176146.0006,997498.9604736441,,1.2527558189088936,,,
315048.0485370687,161717728261.6511,402141.4281837313,872950.6927964384,1327168510309.4766,1152027.9989260142,192703.6434023358,88636115522.15666,297718.1813765438,477791.30599453853,329838096155.8588,574315.3281568051,,1.2904894650806098,,,
382531.3147185115,440210832956.63904,663483.8603588176,1017886.6980330109,1955089336581.554,1398245.0917423433,347799.31671383424,279253563227.6459,528444.4750658728,697861.0631992322,799352539729.7734,894065.1764439623,,1.3012842789339407,,,
327093.7989888787,317493191165.894,563465.3415835742,894129.5138788581,1967070642102.9756,1402522.9559985732,222017.18387207983,93044601092.3952,305032.13124586595,501258.7680716534,666171246161.1179,816193.142681999,,1.2329692075278982,,,
267185.042140339,143354855678.65033,378622.3127057495,1057418.8361271212,2125014703539.9888,1457743.0169752105,310314.1479935235,250433114063.91562,500432.92663844133,579630.8678500982,754842119269.8439,868816.5049478767,,1.3561412921583416,,,
553131.4980856805,829220152367.9987,910615.2603421484,1142806.7416309298,2538064799721.273,1593130.5030415033,244150.19501349048,101958617597.63898,319309.5952169915,568078.5997330697,529355989260.63904,727568.5460907714,,1.244451615706829,,,
303895.60669544985,150608399034.71127,388082.97957358457,1016526.4818040424,1677888608953.995,1295333.3968341877,304346.3280580053,231036181130.85538,480662.2318539864,574534.5145080485,616979075319.2094,785480.155904151,,1.269126798063934,,,
366435.196159653,418167694417.1804,646658.8702068351,803348.0302423439,1032196161437.9471,1015970.5514619738,231216.48349530008,133541078798.00446,365432.7281429572,578042.5995795429,421064999583.07245,648895.2146402934,,1.245927249421296,,,
175833.72967980077,58736354468.131516,242355.84265317707,660714.5591511496,730711269652.93,854816.5122720373,138185.0877992839,36006810875.70544,189754.60699467993,418400.5696747176,286147682704.63617,534927.7359649957,,1.3219035293122556,,,
344657.82644339564,290855588177.2884,539310.2893300742,902475.4474009338,1546991445382.204,1243781.1083073276,163234.64739260793,45048652527.07554,212246.67848302252,529860.7962012346,365348313755.81366,604440.4964558659,,1.2293968053093367,,,
338578.44687491824,272390244149.9081,521910.1878196172,912150.6599011698,1460830026587.449,1208648.016002777,195238.98573318974,73553997314.7962,271208.40199889865,517343.6870040952,659993444083.434,812399.8055658519,,1.408393167906951,,,
274936.9291052791,152970585205.10352,391114.5423083927,834531.5398805172,1128064231187.0615,1062103.681938379,189187.18420001,82232036222.27858,286761.2878724717,470321.30381680804,317519887696.6355,563489.0306799551,,1.239817582883616,,,
269415.77159836446,130723269211.10173,361556.73028046614,956972.1006000458,1953445284119.1538,1397657.069570055,244377.69602616836,127275637429.45294,356757.1126543281,566871.869958191,569804814582.1842,754854.1677583719,,1.3023332706603803,,,
346279.35945967835,220929000828.03793,470030.85093218926,1020307.7278827901,1906854497935.65,1380889.0244822898,213743.68748455698,108896027542.32524,329993.98106984503,541189.3496892507,426716682656.89,653235.5491374378,,1.2796287633622483,,,
325077.32556174655,258458900785.80927,508388.5332949685,1021892.9856223373,1660317481991.6812,1288533.0736894887,187694.31596474562,63921995656.55086,252827.99618822054,581545.2228851364,524775410445.96875,724413.8392148294,,1.2698027010894912,,,
428952.03249539266,476118239331.4128,690013.2167802388,999432.4616641098,1752627729271.8325,1323868.471288531,235827.71561798218,111909220518.4276,334528.3553279566,556096.5322230834,440901439803.78217,664004.096225153,,1.3780177055444238,,,
406167.9674161298,440116857458.93823,663413.0368472858,982799.7997564811,1592445010897.0166,1261921.1587484444,319090.3959742317,279955437437.1356,529108.1528734325,666293.4974860745,747556077800.99,864613.253310976,,1.2358416913770585,,,
353054.10941599903,234885647476.36697,484650.0257674263,809089.0252749799,1331946778529.3235,1154099.9863657062,187434.27623064374,67970093137.13865,260710.74610981927,545285.2439501215,571278569002.9834,755829.72222782,,1.2689451934027187,,,
413965.8639212528,421164813626.86536,648972.120839459,1327420.19754844,2979536505821.1675,1726133.3974583677,332672.8679788934,307605366479.564,554621.8229384451,817958.6086302407,946918775524.8369,973097.5159380672,,1.309394312283096,,,
357500.55141256785,302138961607.8256,549671.6852884325,847582.4198194179,1249721900843.2942,1117909.6121079263,187417.28643037874,72798566757.89896,269812.09527724836,486484.84170907416,305419278524.05646,552647.5174322748,,1.308918036646738,,,
347764.74859910307,225946121791.87415,475337.90275116306,808093.713476526,1229084787142.696,1108640.964037815,310017.92773719114,263408996786.74527,513233.86169147614,545506.5556351142,620419641453.9219,787667.21491625,,1.2346105385970192,,,
313912.8739054891,249755043332.33157,499754.98329914786,891768.4322306531,1349282779395.267,1161586.320251434,240288.4242765761,104664135532.09444,323518.3696980659,458192.51644278894,364994356584.062,604147.6281374132,,1.286620773790451,,,
497183.1104286425,435878396247.18036,660210.8725605633,1013261.478335131,2137839059457.4097,1462135.1030111443,320371.74317022634,270424940770.74445,520023.98095736356,612767.2084838869,932972901075.0012,965905.2236503337,,1.2246861305451238,,,
346817.2610258696,320379202557.9437,566020.4965881922,1113720.8522972346,2089074786583.4138,1445363.2023070927,163424.90799076116,70590947103.07997,265689.56905208,460534.8646829112,304555531524.3888,551865.5012993554,,1.2776247272316938,,,
360028.21718241804,320987919858.6174,566557.9580754447,1185937.5825841948,3281645271425.8145,1811531.1952670908,219509.81085492866,88295867501.38185,297146.20559815643,580449.7125860513,795552432695.7317,891937.4600809923,,1.2552037789514943,,,
328893.71019438165,236089233683.7904,485890.1456952903,711083.293908086,986116684323.0953,993034.0801418123,190715.03913932625,71013158004.69421,266482.9413014916,458297.1272048687,309577029747.6621,556396.4681301115,,1.1826624271132653,,,
294138.99168313824,166276298562.30164,407769.90884848486,835487.577517417,1348092082775.32,1161073.676721387,287914.3856353887,154365991477.92325,392894.3769996247,588112.0514812164,648753273932.0708,805452.2170383981,,1.3024972649784017,,,
434266.7063755712,393040062792.8759,626929.0731756472,937536.1091903746,1515707240003.027,1231140.6256001086,260625.0917360902,272548265360.62,522061.55322971253,622727.5089058109,632180181829.5132,795097.5926447728,,1.3250209408864762,,,
344799.5616655756,230505696850.17682,480110.08826119953,907951.5513107687,1475574826126.6553,1214732.4092682533,246037.94267925498,101227434292.99524,318162.5909703956,556164.15786334,490038792504.48444,700027.7083833786,,1.2882122249649979,,,
265695.0389615543,175561778259.1284,419000.92870914785,578006.7542360699,611602452131.6744,782050.1596008241,196557.063394371,86225327947.74643,293641.49561624706,471740.5410512533,328618636300.67834,573252.6810235416,,1.279725897447329,,,
330719.74713224045,211757786253.19797,460171.47483649827,918830.0976987609,1589277304681.5918,1260665.4213872894,305275.22747445956,223850505551.63403,473128.42395234935,604389.1133487314,711038971861.5547,843231.2683134768,,1.2515737858988003,,,
259328.60278564395,127084256735.7697,356488.7890744528,1080487.9434506278,1929652112413.202,1389119.1858199935,233979.1052426957,104746640427.47246,323645.8564966844,546444.9242127535,724899846662.6324,851410.5042003137,,1.2965455853979615,,,
393247.7157503804,349323344373.03656,591035.8232569635,1036080.4750231893,2326550408745.2563,1525303.3825259998,290874.688346917,256316893950.42987,506277.48710606305,678582.8652560395,780125589844.4725,883247.1850192745,,1.3214540171201308,,,
289975.01163153857,207880760856.66595,455939.4267407305,935553.5453731613,1388526018610.8684,1178357.3391000153,236044.38377492916,129673397266.03632,360101.92621817,557704.7568536844,435865385587.1041,660201.0190745726,,1.2402758547906325,,,
377678.6428647977,342896743329.9527,585573.8581340126,767540.275004334,1268509549180.0103,1126281.2922090157,172188.23015650085,52085048949.71646,228221.49099003902,495902.9345223282,318945090875.7995,564752.238486754,,1.2321620168727856,,,
298193.76479081175,174499244277.78708,417731.0669291752,878928.1467430507,1575330800131.9736,1255121.8268088456,186467.30722962506,82861055348.21837,287855.9628498572,512343.9401688225,399938379207.08344,632406.8146431405,,1.2547899180061652,,,
271728.8342992553,126286211306.23616,355367.71280778473,649101.9712579716,624944019811.3464,790534.0092692701,227141.2456866939,109800912176.23837,331362.2069220302,438344.46515958535,301970573230.94104,549518.4921646778,,1.2481819856291276,,,
261756.04801926378,143027121689.25906,378189.26702017745,712614.1782382678,843856872177.6333,918616.8255467745,214690.94876003274,90598338477.68903,300995.57883412344,472628.5384393236,351592798846.6693,592952.6109620138,,1.2109860355318665,,,
283458.27354507183,205256768519.74017,453052.7215675237,824536.4384834174,1219679163923.097,1104390.8565010382,262551.5412323996,127703029177.63823,357355.6060531837,533213.5358349324,583681913527.5518,763990.7810487975,,1.2503696364897392,,,
386853.1564482332,324624995109.43634,569758.7165717048,954222.3690737599,1750308192711.83,1322992.1363000728,202159.2552739782,83169743770.06342,288391.649965916,585008.1463723702,529392698192.3119,727593.7727828021,,1.3041926351466575,,,
424083.94315407326,407793496932.7108,638587.1099017821,1066933.5073974617,2206986800259.0386,1485593.080308009,246018.90202942534,112973966054.10918,336116.0008897362,592278.3100372753,438897675128.5212,662493.5283672748,,1.1618693434583465,,,
273710.14157778776,139203233319.63147,373099.49520152324,1274038.0910021197,3057553672883.187,1748586.192580505,287126.5753592349,216085385478.7681,464849.852617776,551930.588140982,679362607599.5869,824234.55860549,,1.32527493214954,,,
457873.5732672385,600937788859.0028,775201.7729978453,844526.8483391475,1270651856044.7913,1127231.9442088178,150146.47693935258,50075778915.112404,223776.18040156196,491360.7571772944,307097390459.32074,554163.6856194392,,1.229366119588636,,,
354241.13825864356,251500245604.6685,501498.0015958872,664597.0378527421,830968186970.4332,911574.5646793976,139780.1691720887,32566087616.459957,180460.76475638675,446366.6489399781,254915981526.00797,504892.0493788825,,1.2602913347037463,,,
541190.5190000732,623037183555.6672,789327.0447385338,1035908.4665777427,1608214826139.0444,1268154.1018894527,192345.01332340128,64515718664.81853,253999.4461899839,617526.001957774,530994974537.93115,728694.019831322,,1.2465865021839475,,,
248041.13683558823,147183243397.72363,383644.6837866043,616892.1602695433,689410914104.1672,830307.7225367515,160620.2305667421,51252578820.64248,226390.32404376843,413412.99789214967,269608221548.1967,519238.1164246291,,1.2788435186020723,,,
370000.60374433786,273305135239.91653,522785.9363448069,1044932.2571983709,1675318087042.728,1294340.7924664693,250911.2212799938,131538696841.95523,362682.63928944163,691867.5348344957,617802366254.6658,786004.0497698887,,1.2965159910098425,,,
313456.34930259397,216612278838.31412,465416.242559619,937598.1835461442,2012589367432.4268,1418657.5934426272,312671.35644581425,209833929188.17,458076.3355470025,570613.9243550164,850704764030.6814,922336.5784954434,,1.300271500850876,,,
279017.6612387955,186923996019.02734,432347.07818953437,1291008.2013073836,3087321916148.4443,1757077.6636644278,280066.64174409834,226527197123.0953,475948.7337130915,621201.2505048229,840609302612.5269,916847.4805618036,,1.2445248732765228,,,
536187.4135256116,690283362434.8679,830832.9329262701,1287833.9932955245,3087343264306.767,1757083.7385585147,240826.25370266396,122339715805.65697,349770.9476295265,757206.3123175612,878440268043.1741,937251.4433401391,,1.3294453486139182,,,
