target_rmse,target_mae
1123628.8315063482,665164.9251745605
788300.0447386111,554047.9833785156
675249.4013076758,455959.71087993775
742649.4372073375,511600.74918395997
964224.0376327363,591639.7847232056
886123.228500455,498117.3465404297
731500.7800599177,465854.1389010559
1088974.8325842333,677993.3963493347
921248.9450805106,634975.614355011
621459.156558731,420839.6012709961
744678.3050921087,523989.40089225466
860776.4818006451,554061.551697995
1022964.5062420191,566926.0745332702
633021.459169205,456733.7820905762
895014.9392452075,580412.5930872711
726794.8995980192,502800.5617077637
1111705.3456506329,654460.4599979401
1181095.9574877867,638063.8398907074
722548.4809703425,510822.21185725095
833165.8913125294,548774.3091842651
1013718.8222192671,573114.7248871583
751768.6275656602,475160.60823046876
797293.5975496818,541856.3686828827
685689.5080292159,508528.6637532074
1035915.6617730423,623723.1499477021
811683.9112470595,579932.9311572266
1093849.0999622953,591870.6059380372
974155.6736172027,506500.0652676056
885689.2131663,539408.4312388183
997523.0287225584,522953.3336609131
974072.0233090257,586148.3833782502
1083777.6697253343,667507.0023428345
638072.6279919647,440141.17230971984
1054320.1781256893,590433.839970581
778771.8356476979,562933.4945759582
827252.9004174405,572395.2053529571
737349.4192898337,497964.3522947815
1065816.1448247319,656213.8350744232
965044.9226327547,601024.1392237671
837275.1901688931,554475.6480192565
1121879.016939082,628187.5895668457
979108.0604884228,541609.0124434937
891206.3268337764,564880.2999456085
856831.5694743172,557781.8546555359
758932.9471613289,550136.6900945343
688699.4761930944,465549.5873478088
656970.5295906521,444415.78533969726
617094.0659334575,420625.2583974762
817852.9479992231,521803.15699145506
771905.4465811378,522910.22061796876
739150.4706235648,533695.9843486816
743739.3070616884,536100.734496402
724302.2663462671,489450.788403656
857757.9072426633,530708.0905453857
826429.3843952109,501310.6207797363
847811.1702834314,512715.59214239195
1259822.2971102744,726799.7021873475
590555.5703192209,415279.1432063293
865896.5776727345,546169.2573848144
1098244.5866503872,668889.2977736573
620343.9876907183,465182.0504552399
796193.5959896396,539025.0503085206
889501.6781511144,594529.6382371337
811629.4406870153,441753.96297407226
764691.0080091443,518545.447756958
787781.1530913768,483066.980309906
1164406.6742503222,650771.8804973145
1190333.782759575,639429.2442689575
842275.3520716734,563684.6340212403
756701.454976793,506402.651852359
1189032.358027862,604996.1014174988
1192949.955926977,695690.6917028168
802378.3895950747,549836.2028764343
889965.5718324896,491928.13742607425
1089590.716166163,710406.7146803284
1088574.32725932,674021.5612213226
753942.4992981063,521761.0402561462
932685.3487357022,574488.9116560547
1050341.9235279588,592947.7680507812
881373.354292283,611751.9835351562
1023838.3389543424,553157.6603916504
1008517.0074940064,672230.8964105194
957084.2233269329,572676.2699952789
893228.1622618152,567671.9718199066
800757.3878283678,605473.3103097442
1157916.9194294447,633774.9433818054
1102751.480656393,666290.409683722
795551.829902378,484591.2551195801
1046807.1688305308,604079.6191700745
1259325.055992284,722819.626578656
682852.188892829,532339.3136672638
960675.1908925022,586948.4384375702
833337.8986715117,525944.3127398437
984088.9870831117,605124.8098438476
1023418.496557932,585153.4165737304
1051731.4345855094,573288.847674463
1042237.146840225,579165.2493093659
828556.1225897011,520964.96339667967
812598.5867373769,540047.6006781738
964374.1470563866,575904.5644722473
