target_rmse,target_mae
619502.4,471146.3
745440.8,598127.25
748921.25,678135.75
594984.56,534002.5
845185.1,579205.6
1025676.1,921587.2
871520.7,579861.25
546711.0,445078.28
939435.06,610045.0
766262.4,625735.44
720003.94,641355.7
651194.9,580604.6
1075857.0,945728.94
709940.7,585628.5
799274.1,666754.75
665590.0,593488.5
691984.75,630756.94
787335.5,606161.3
723830.7,652738.5
982964.7,576766.44
1013671.2,714596.5
702823.3,520800.56
818699.94,610733.1
900562.6,617107.94
749794.56,590398.9
1012424.56,653564.2
941000.0,646600.25
806936.3,663504.4
911991.8,819881.6
682231.0,556915.56
679455.8,583068.06
905877.1,636266.5
966307.1,602838.75
645349.2,573984.56
632931.5,528113.44
812819.44,660638.0
674148.44,537811.25
816113.06,734007.2
635214.0,525056.44
752965.9,601227.3
575951.2,519850.0
529321.44,434274.28
862213.6,733191.94
678324.9,597488.94
644299.4,572696.7
670559.3,570745.25
3085454600.0,3085454600.0
753663.25,618351.5
819512.75,682123.2
879317.9,669661.94
675273.3,548490.0
657168.94,574616.7
907182.44,587276.2
606179.0,553276.75
671287.4,615963.4
641228.06,555601.2
704579.25,544486.4
829982.8,670100.25
632873.44,550111.06
674237.06,557177.8
862410.2,726406.2
904220.9,634053.75
821250.75,577639.75
,
779064.3,571097.6
621373.25,518684.84
854660.5,535790.8
854155.75,497784.2
803751.8,646584.94
1063717.8,704435.1
770413.0,619696.9
1055592.9,685798.56
966612.2,684775.94
642572.2,534447.2
814809.1,733022.9
770233.6,645826.8
,
698162.7,596607.44
993786.75,644446.6
588287.75,490718.03
692703.0,615217.06
945129.25,806238.9
901309.8,581853.06
584717.9,521524.88
654159.5,542708.06
789994.25,729537.1
662252.9,562584.0
712816.3,587606.5
928906.6,654243.8
661701.25,574379.4
899296.25,520170.56
685848.56,589928.2
941982.56,710562.94
749983.25,700938.94
720532.2,656835.6
569672.94,515253.44
973906.6,703864.0
621734.25,526666.94
686088.94,521462.8
775069.5,639765.06
