source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
391062.18886757584,303677031347.6902,551068.9896443912,909400.3163074281,2038453926089.0115,1427744.3489956497,291755.127330384,145934952529.7734,382014.33550296695,912875.7476792437,1838987721723.1013,1356092.814568052,,,,,
351332.80662725546,227220057131.7723,476676.05051205616,654955.1441387557,882727363371.8534,939535.7169218493,286502.665484557,152776882058.8456,390866.8341760984,808380.5859807127,1216387348520.2776,1102899.5187777886,,,,,
279502.19936714455,135225481489.5093,367730.17484224663,636982.6788478509,878305904149.7582,937179.7608515446,237929.35468077046,103939900050.02266,322397.11544928973,850725.6141826005,1505913247065.5232,1227156.5699068408,,,,,
266047.93602007994,122962309544.32571,350659.8202593587,885600.8000331727,1642745640542.0889,1281696.3917176677,255978.6107940384,126528608763.63998,355708.6009132194,908211.1666251329,1689126598388.6821,1299664.0328903012,,,,,
318306.4104569952,169985673020.70602,412293.1881813063,958963.6178767568,1689378422751.811,1299760.9098414257,294448.14333214663,160474876352.14185,400593.1556481486,908159.8062744243,1546917569406.8594,1243751.4098110038,,,,,
294837.7833964027,174031098798.39835,417170.3474582036,819631.540839614,1316283757622.8162,1147294.102496311,304115.5297595741,153904470404.2328,392306.6025498842,869153.5931246643,1917722681645.9573,1384818.6457605043,,,,,
301744.5341329771,148804452060.6971,385751.8011114104,794114.7749435743,1075686956928.0916,1037153.2948065544,252418.53885846288,117408395947.71654,342649.085724326,902943.3396712897,1421778012783.8643,1192383.3329864454,,,,,
323002.97830463987,194078526865.39462,440543.4449238742,714433.735410457,854119897732.6101,924186.0731111512,244910.08469126874,130656810968.3273,361464.8129048349,692489.9417643325,714587578599.2269,845332.8212007546,,,,,
273307.72325505404,138405631775.84628,372029.073831396,734327.4564633018,1044862606067.448,1022185.2112349542,263798.9138412243,119318553910.90198,345425.1784553378,844803.7947266304,1346191914628.512,1160255.10756407,,,,,
391629.5537586443,336579970735.6784,580155.1264409188,670235.1911141372,708487945640.9751,841717.2599162827,282579.73733041866,144648431490.46,380326.74306503875,696601.2629326502,849419524331.4379,921639.5848331591,,,,,
241446.8504082715,103116664527.24643,321117.83589088666,702445.463562999,830723585250.9448,911440.3903991444,310451.9694752132,163454064893.0669,404294.52740924765,758938.6081246306,991520589460.1785,995751.2688719901,,,,,
285896.10768951307,173480127071.26773,416509.4561606828,691151.381604178,987909662973.6569,993936.4481563481,317695.1267287273,186595373847.60446,431966.86660854495,741984.4534091334,1078683323590.1641,1038596.8051126308,,,,,
301701.83388166566,188921723697.11044,434651.2667611938,776862.4089764995,1098346845706.6825,1048020.4414545941,367121.1784662977,219371867967.87537,468371.50635780074,744301.2682132907,1115794483202.6594,1056311.735806556,,,,,
280454.4666976689,128092641557.9369,357900.32349515543,662295.0641278422,952361321252.82,975890.0149365296,291336.5529365734,203922352993.79214,451577.6267639841,694517.7244961879,1092862548084.7365,1045400.6639010406,,,,,
559890.7401618724,832412153965.8607,912366.2389445703,852622.1922400445,1300672831556.6274,1140470.443087688,227067.82555727297,91127270858.81572,301872.9382684306,938394.2064225073,1456714129535.6206,1206944.1285890662,,,,,
253943.5109150832,127394144639.05435,356923.163494686,806772.6279825626,1498910691588.6052,1224300.082328105,417515.9688525215,411950553927.4355,641833.7432134863,712316.5930065365,1197018180430.4763,1094083.2602825419,,,,,
308977.4668893789,168880718574.3403,410950.992910761,762416.4692721488,1095564895586.2245,1046692.3595719157,252743.82537990902,105642156593.71733,325026.39368783165,654336.3883142689,932379814816.359,965598.164256933,,,,,
403173.58042559616,311091491359.8439,557755.763179408,855381.1686370153,1336359856497.5857,1156010.3185082674,363283.89047010004,253301974800.68958,503291.14317727624,927723.0150149247,1408126629246.9072,1186645.1151236866,,,,,
254723.9873866336,119920303877.99551,346295.1109646157,794561.8972962919,2469559413043.1895,1571483.188915233,390014.2349840591,292790623000.16974,541101.3056722094,936444.7212915979,3046101781485.5566,1745308.5061058851,,,,,
292561.33475470694,160317759507.02286,400397.00237017614,646120.4976988442,745095389336.1151,863189.0808716912,270697.2571805031,131736879474.76532,362955.7541557446,641954.7609675308,680468915766.2719,824905.3980707556,,,,,
305947.7863876153,207687358050.15247,455727.28473304346,779617.2402799694,1104027152564.8926,1050726.9638516433,263196.218858586,114730699242.94118,338719.2041248048,737423.9324721027,1080257407742.8314,1039354.3225208771,,,,,
279530.91133998294,141977046386.55963,376798.41611471726,882012.9541407796,1768344594328.2961,1329791.184482848,439282.49182372424,454652450150.3954,674279.207858581,864002.736141342,1842152797315.1128,1357259.2962713914,,,,,
292715.1971838007,147641506985.8903,384241.4696332116,858902.4117583727,1553429986836.8281,1246366.7144291154,314342.42717708333,226299123936.69293,475709.0748941972,733954.4832764424,1163689025188.1692,1078744.1889475787,,,,,
