source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
364455.0792354539,294620808411.20544,542789.8381613324,894313.2506376792,2028144086134.084,1424129.2378622398,310397.3418181599,157784149168.99173,397220.5296419002,621566.4460309925,1348703785845.4512,1161337.0681440644,,1.4016437501951655,,,
361469.1786681102,225659928697.76666,475036.7656274266,680081.2973034116,901016580200.5752,949218.9316488453,266761.00913724233,143070491966.1726,378246.6020550252,534795.7556512014,621456752503.8811,788325.2834356393,,1.28683913333166,,,
271545.5774780048,131800727327.90778,363043.6989232946,681230.5726982029,941554762879.9478,970337.4479426978,240131.93449105308,104505692624.11967,323273.402283763,499792.68521411443,702191588944.7036,837968.7279037945,,1.3855078516539896,,,
239301.8643988374,101674891668.22346,318865.00539918686,904581.7521527107,1618393868500.3564,1272161.1016299613,250995.07729196092,121703163338.40648,348859.8047044206,594963.0991560104,805584656806.562,897543.6796092779,,1.4581203212109748,,,
328485.1979816423,189927391049.62976,435806.59821717907,916539.650876751,1621529247200.19,1273392.8094661874,293686.72674676595,160841595400.00867,401050.61451144627,611504.7203138988,732778834072.5281,856025.0195365368,,1.4073266772121404,,,
302821.44580041245,186141750034.84903,431441.4792701891,822798.6088848949,1369275280194.9824,1170160.3651615374,310375.70483356656,158753663250.76154,398439.03329212306,576540.4299689386,873583666473.8755,934656.9779731361,,1.3513724313031181,,,
301754.0507309126,149349686807.06717,386457.8719693353,805640.6545946081,1101725669665.116,1049631.2065030823,251623.40061987453,114171600714.10156,337892.8834913538,481983.5435894952,420845039225.1715,648725.704150199,,1.4311927557008173,,,
314287.31528896664,175412506819.86722,418822.76301541587,772648.8428817067,945950647069.3871,972599.9419439563,247557.21464858542,132652799661.6068,364215.3204652528,528804.5736062,450435015798.4526,671144.5565587585,,1.3751807229781927,,,
278522.42362652323,146630966574.64145,382924.2308533654,776039.5016324765,1065107230968.7656,1032040.324293952,260689.73249043644,117505280452.93555,342790.4322657439,491125.6141957923,486128396526.87427,697229.0846822688,,1.387609373695317,,,
372077.9596702917,328109866141.6888,572808.7518026315,652824.6109279321,736606752297.9343,858257.9753768294,269855.20118638175,141946443803.8768,376757.8052328535,457238.67819148506,396010625501.1956,629293.7513603608,,1.382914729252386,,,
246278.65796522915,104721569023.59036,323607.1214043201,698203.4528000968,839221931537.221,916090.569505669,311241.9548907765,171758285555.52863,414437.31197314826,535305.3751173292,518872643768.2676,720328.1500595874,,1.3824907583528663,,,
273368.4619370816,171023793507.1323,413550.23093589523,717640.0121203117,1047846629786.1478,1023643.8002479905,317723.13958779245,184061679856.81125,429024.10172018455,576488.068000511,700928774154.3513,837214.8912640956,,1.3208707274082339,,,
310563.73789900437,201144018115.81644,448490.82277769793,737334.288341873,1110571609313.3916,1053836.6141453767,368656.42685935815,221822466057.45615,470980.3244907967,554252.8232152443,696512309907.4985,834573.1303531756,,1.3553517036418887,,,
273383.0486139561,122007065252.00775,349295.0976638632,684527.2489081144,1012551280924.2449,1006256.07124839,283212.6295942478,187300531060.17316,432782.3137099911,545015.364569109,676735171474.2522,822639.1502197377,,1.4298533281889492,,,
534113.5237466006,843333400893.3406,918331.8577144869,786816.139884315,1340663335645.5452,1157870.1721892422,240940.0237638189,101477185677.23705,318554.8393561728,501345.4803994856,493833993553.5422,702733.2307167081,,1.410276080961419,,,
256844.24673065948,130530130640.06549,361289.5385145624,795367.6451986667,1398113331685.357,1182418.4249601986,430715.3707236517,437738350440.5566,661617.9792301268,560728.9958652442,970414416102.7205,985096.1456135743,,1.3296781870097134,,,
297720.0147098519,166670776975.1453,408253.324512055,765118.4336280166,1026650508035.5647,1013237.6365076283,250136.5441843895,104442349366.44362,323175.4157828897,463321.12170136045,471719087421.48096,686818.0890319365,,1.3668074322761412,,,
392627.83924006496,315357923934.0596,561567.3814726595,803203.6832960731,1251464740243.6973,1118688.848716969,397239.343458554,314039099096.5986,560391.9156238771,621573.5004077436,792884507358.3363,890440.6253975255,,1.392940594884404,,,
238127.18714183389,103773232705.48416,322138.5303025457,831592.908329559,2358223461934.1255,1535650.8268268947,418471.71882174996,335055382443.98206,578839.6863069965,630940.7907486417,2104413662477.9016,1450659.7335274394,,1.4192456227148875,,,
284540.9910316063,162652860153.24152,403302.44253319554,643408.9966818561,751851384352.6489,867093.6422051825,270481.54338208726,129793122203.62674,360268.12543385895,410181.1886991147,326636337051.4965,571521.0731473482,,1.4113379347559616,,,
304335.9385450589,212015337697.09473,460451.2327023294,735488.6829797768,1083555229030.0511,1040939.5895199928,268014.2114896594,114651067157.31592,338601.63490053604,505749.6606854687,506392510337.2435,711612.6125478972,,1.3653569039754725,,,
276454.01971162687,142029719563.7806,376868.30533195625,889147.4788584065,1795779851561.2056,1340067.1071111348,447017.6446188167,529229807684.3675,727481.8263601968,526801.2803163611,1056812163390.437,1028013.6980558367,,1.370217747475281,,,
319104.18349611724,169840703132.58502,412117.34146063915,878546.8478520187,1544067045972.5684,1242604.9436456338,334089.74659836397,236853518605.29117,486675.98934536637,559673.3476011773,692233242542.9393,832005.5543942837,,1.3467814569191643,,,
333064.20506614976,189961710339.8268,435845.9708886005,779918.6680077406,1098508903841.1533,1048097.7549070284,286204.885149389,165476282297.3181,406787.7607516211,512886.56054469326,590746896734.437,768600.6093768317,,1.3153288223332782,,,
380512.79591274174,330646040899.5646,575018.2961433181,882389.6695262508,1293911182278.2688,1137502.1680323377,319171.0169528305,185520071282.73462,430720.4096426528,514630.2721857511,543769520318.2556,737407.2960842303,,1.2528786018103752,,,
254706.16336612435,143017504193.1718,378176.5516173257,756058.6635859156,1214597883522.3342,1102087.965419428,343687.01690278715,290548309709.9886,539025.3330874057,585916.6528101675,992317964808.7261,996151.5772254372,,1.400845898855017,,,
292288.5411882751,137828020368.85703,371251.963454548,834659.079902101,1700840276494.1313,1304162.672558194,307212.01692244696,182411601012.64688,427096.71154511,560550.2608633325,816168579665.2794,903420.4888451885,,1.3592261795677982,,,
357617.92575780017,248293142441.45032,498290.21909069247,773341.0019643259,1056594563877.9547,1027907.8576788654,292040.83088841924,176753004705.95483,420420.03366390005,544082.242436602,585945613967.802,765470.8446229693,,1.451957826623367,,,
448889.5076046273,415480786250.6072,644577.9908208216,848546.555424413,1600658081817.525,1265171.1670037082,270862.0086696802,128591257406.50497,358596.231723794,564821.2923160293,789594133771.1661,888591.0948074857,,1.3682353110055567,,,
330208.74775091367,178277756772.25565,422229.5072259347,808783.37673379,1275850847724.0886,1129535.677933233,288642.23709649034,167960854275.51218,409830.27496210206,585846.5265650713,725054170822.1547,851501.1279042176,,1.3471188808552657,,,
412224.10738086177,377799134326.56805,614653.6702294782,794118.0676683609,1141056829487.83,1068202.6163082686,285147.68838058034,154454853197.57117,393007.4467456961,519726.7251064956,474838567066.1853,689085.311892646,,1.301630150903693,,,
343346.389882684,238724077518.58875,488593.98023163236,965053.1509758789,1439244484541.0752,1199685.160590509,225971.24166502635,90527457045.41269,300877.81082262064,526579.6821104018,440274057357.1735,663531.5044194764,,1.275457595652385,,,
228115.53090762036,94234581893.14479,306976.51684313704,790714.3345227549,2269301868589.576,1506420.216470018,517892.4387513963,623230872353.2522,789449.7275655064,628537.7151626433,1853130069376.7507,1361297.200972936,,1.4096517127661181,,,
287901.6006140433,145840409934.6935,381890.5732467005,1008379.0926392833,7347692537556.754,2710662.74876768,623546.5857164833,761861086608.5845,872846.5424165834,861279.3397337863,7286531893136.067,2699357.6815857636,,1.3307815340175746,,,
301914.34146365005,182711943776.146,427448.17671402695,612537.4696698242,892601733458.4933,944776.0229062195,300902.3192977789,150489472710.84033,387929.72651092405,434234.8174701961,547273614771.5838,739779.4365698359,,1.3626600740420802,,,
387977.78788069164,279268180899.84235,528458.3057345606,755453.5596810506,947605519132.6273,973450.3167253208,241663.48341025357,115881230204.82672,340413.3226018434,494158.2900095,357741717900.8823,598115.1376623755,,1.4027455358387595,,,
388438.9129358802,314323959957.6889,560646.0201924999,901621.0955945039,1317368082363.6135,1147766.562661421,290385.02298679255,143235983253.48788,378465.29993314826,616440.4801195967,638985440061.437,799365.6485372867,,1.377090190744224,,,
380953.3390113057,296242936528.11774,544282.0376680804,1042923.1285296178,1790712387353.0278,1338175.0211960422,344663.17871849856,200014992265.2377,447230.35704795097,574420.4095823937,634173715700.854,796350.2468768713,,1.3004696873238095,,,
317149.0612106603,157452909202.34967,396803.36339596426,960029.2398759618,2078898778260.855,1441838.679693694,382015.21079089923,258214826216.91684,508148.4293165894,630197.6905803707,1174042635566.4749,1083532.4801622122,,1.410123241923239,,,
290478.332426466,151616052398.49213,389379.060041102,781582.9188581682,1281919246034.11,1132218.7271168544,312183.1402963407,175378603320.9657,418782.2863027586,551987.8194938008,795456361687.8392,891883.6032172804,,1.3288075545117586,,,
328102.01552581566,184577107417.4155,429624.3794495553,1035490.7039657313,1847501504493.2915,1359228.2753435096,286190.8969776276,205871663267.68878,453730.8268871411,532693.9244268426,638997007061.2261,799372.8836164172,,1.4324061176922327,,,
364567.65995775507,227138708146.22006,476590.71344941255,899388.2473027919,1826041208687.4885,1351310.9222852779,295643.6571731143,158192928580.92075,397734.74650943023,700867.4172285371,1311384279110.657,1145156.8796940693,,1.3288071510434718,,,
411196.2875794674,286135003883.18567,534915.8848671309,787796.9509030395,1004771550769.5889,1002382.936192346,238605.93190809328,107503398695.22075,327877.10913575644,489924.26593858807,390594022038.8157,624975.2171397004,,1.319726945300968,,,
247128.54389738647,106153563254.8999,325812.15946446796,854223.4830240086,1568997738330.839,1252596.3988176077,384869.4511397472,291727012316.02826,540117.5911929071,587935.9377757055,938366541972.1438,968693.2135470671,,1.3740205772054295,,,
344775.9127278223,257477668089.19113,507422.5734919478,827285.2167558185,1405296472207.09,1185452.0117689667,371226.33738064545,271404196816.6387,520964.6790490107,621339.2015641575,1042602851577.1396,1021079.2582249135,,1.3922054067932499,,,
