source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
385318.5593996754,338823864944.7143,582085.7883033345,943772.2897013895,2143612488272.4375,1464108.086267007,326814.8994416505,169554389363.8583,411769.8257083177,847173.883115359,1985958477629.9297,1409240.3902918515,89345109.6527934,0.34552584616026255,1.0797317747967308,1.0,0.3219414724626428
351597.40001540905,204035884694.7437,451703.3149034261,695604.4838885808,911507231857.0596,954728.8787174396,284181.1447731408,151334962629.84366,389017.9464110154,551344.5683985357,671943246792.461,819721.4446337615,65922715.59365267,0.36252724518650054,1.0773445184970387,1.0,0.2577709387256512
263892.91475461615,121762141091.08427,348944.3237696872,625656.449353006,916263862786.1478,957216.7271763212,277063.908163458,142081802090.78265,376937.39810581633,538744.0758681631,994320200746.8936,997156.0563657493,58219414.83545483,0.35843412654743295,1.0489660229812618,1.0,0.2540696413135109
266270.2793090247,120830366686.88948,347606.6263564167,888256.7421587716,1581795680329.2314,1257694.5894489773,253365.7438830071,121782088245.62645,348972.9047442315,661273.9839327297,1110201835298.54,1053661.1577250725,85688461.93258259,0.34469530735285164,1.0569954241686936,1.0,0.263406562922143
294903.38044189126,148366685882.4183,385183.9636880257,971630.561305987,1730745691957.7927,1315578.0828053472,296696.7149907593,173974930465.10458,417103.0214049097,743059.0330866226,1371407412075.4832,1171071.053384671,90490216.69115202,0.3862909873696522,1.0794933581145083,1.0,0.3590785927445324
292492.7347418544,181015723594.31995,425459.4264960173,860276.5860043709,1511993801579.981,1229631.57147984,310094.45533305744,162212839317.0775,402756.5509300594,705986.2925142216,1250611857987.0498,1118307.586483723,83502290.30895355,0.35400245873179004,1.0863644441514286,1.0,0.22432093379492934
316163.7280574424,169381344138.90924,411559.6483365555,769999.913972537,1096726688218.3927,1047247.195373849,253408.21820315375,117402668869.66837,342640.72856224835,581295.391514649,707361269522.5559,841047.7213110775,72362681.8453444,0.37000503541003293,1.057956130652948,1.0,0.25360242178071757
329967.02010371175,199839867984.73257,447034.52661369747,742118.58206722,870501773579.3079,933006.8454086003,269281.8438197125,147490801025.09647,384045.311161452,579906.067186207,636603291925.5747,797874.2331505478,65035867.24298754,0.3586766358245861,1.065750138634248,1.0,0.22686995712099298
283838.7622676257,144624605826.17636,380295.4191496084,777969.2918737468,1014720260868.7047,1007333.2422136702,254964.59662036342,115637133371.2562,340054.60351428296,559149.4891098819,697622909496.3313,835238.2351738522,68135979.78242007,0.397626920953148,1.066880729456094,1.0,0.3027046961204018
393349.085142267,352910931528.2297,594063.0703285887,615697.0219181323,610561712190.3281,781384.4842267653,267469.228586491,141090357013.89053,375619.9635454571,512916.8107268217,498600875574.63837,706116.7577494804,50882187.261912264,0.40229781191533154,1.0827343192838565,1.0,0.2100872747843928
245008.58176411677,103762856261.68184,322122.42433845217,698564.7194152233,835427367204.8632,914017.1591413715,290909.2803723888,156956326550.1471,396177.14036797616,620792.1728488028,760745225911.532,872207.1003560633,62023167.59763076,0.4010327808490345,1.0669894040125665,1.0,0.2684714114136069
277991.1477811697,170257659693.0294,412622.9025309058,751006.369893066,1050330549347.7742,1024856.3554702553,316844.1562725304,178166216994.79605,422097.4022601846,698778.9917635322,936551544628.3772,967755.9323653755,67232382.08740412,0.37797747088870093,1.0722890449908338,1.0,0.21308799391559521
305006.15993592463,196374308404.9383,443141.40903885104,761974.7218445461,1085325414214.9639,1041789.5249113248,370413.25151326746,216963418030.03653,465793.32115224295,592083.6789309924,815047021535.0022,902799.5467073531,70314167.1898842,0.3482987003545416,1.0871077753858982,1.0,0.26083017209329534
271655.981262345,121928916788.3622,349183.2137837703,681949.6651538163,970968372553.6935,985377.2742222613,280121.26260913623,171868287253.99878,414570.0028390848,585678.8905735626,819492768691.9838,905258.3988519431,62404916.708797164,0.37576333794782407,1.0595325286242114,1.0,0.22925650663628472
537649.8693495324,925753014966.4545,962160.5972842863,767641.3922450296,1149174544345.3262,1071995.589704233,230538.69845457285,99422077968.404,315312.66699643387,621109.3955434122,804765287547.7655,897087.1125747852,74131369.1670643,0.3611637423750937,1.0771677905507997,1.0,0.2575824661539
255278.9201497165,130680792799.19597,361497.98450225964,822092.9299199694,1461327011158.8804,1208853.5937651342,427187.9214969075,432176057252.9247,657400.9866534463,628301.0078351258,1147551001599.821,1071238.0695250805,77873603.7665898,0.36884510703771645,1.0847229412144905,1.0,0.26493015887226995
302619.8864393527,168400926361.89816,410366.8192750215,784105.8210892798,1161833541701.9458,1077883.8256982735,253208.6452634564,106947691397.59889,327028.57886979677,613672.6606549509,835720166834.2717,914177.3169545784,75816619.65791214,0.39059539125444026,1.0509567800269384,1.0,0.2390644197507304
389179.9254189086,309129479407.06146,555994.1361265077,794547.2894979247,1110736663895.3599,1053914.9225128943,385573.46247699193,295759094324.5603,543837.3785651004,727614.3858062119,1140606998792.941,1067992.0406037401,70575175.40517314,0.38959808471049484,1.0684203242440993,1.0,0.34513582364831763
245853.6957108565,114295702547.70573,338076.4744073532,851939.535399197,2502833286962.7197,1582034.5403823268,373170.91286863736,261438352765.8977,511310.4270068211,638497.5900782944,1878927546336.594,1370739.7806792485,85209411.09912601,0.3626755663982745,1.0599090978955277,1.0,0.24028501494367582
291437.66467511706,168646829321.55267,410666.3235785869,619677.692933883,694200099016.8805,833186.7131783131,266333.8339277212,125823961273.45528,354716.73385034327,526739.8244973233,552469988878.9111,743283.2494271017,55680285.32560276,0.3626010101931146,1.0582887678172819,1.0,0.30693869857681083
305714.14350694674,213639225525.91412,462211.23474653246,733957.1632996828,1039431464690.1622,1019525.1172433969,268589.5384885173,115121965745.78029,339296.28018264554,572987.9648318604,703824257627.1064,838942.3446382394,67482485.43455985,0.3618542847516147,1.0545008856854625,1.0,0.3303630715487857
278198.365098019,144029129161.01218,379511.6983190534,897977.256011222,1767331612470.2273,1329410.2498740663,450908.2570760196,490744975240.3329,700531.9230701288,544888.4301642466,1150620809308.871,1072669.9442553944,85442015.85574551,0.3488516780804801,1.0503239731480543,1.0,0.3109938974411827
305223.65760779753,149739973828.62488,386962.49666941224,855945.2912203728,1474999956100.329,1214495.7620759034,314918.6891683574,220380629057.94052,469447.15257198067,676284.0712997083,1268907411109.3484,1126457.9047214095,77436193.06916359,0.3688206313983798,1.0884735770280227,1.0,0.34723844663178605
314620.3442049641,175923152229.25522,419431.93992500764,801957.4967636919,1111373606887.7334,1054217.0587159616,267246.0122192675,133277705574.04318,365072.19227714837,619691.9122659079,820278569530.4834,905692.3150443992,73307294.24364358,0.4087235123527728,1.0907246625789027,1.0,0.20919724667184791
409449.8906878218,379208542514.83514,615799.1088941548,855630.1888074045,1248860155350.6174,1117524.1184648399,318509.55955192295,181987261355.26062,426599.6499708604,669647.2721163199,973150724183.1388,986484.0212507949,82822029.61211957,0.3967592550042545,1.0908229128176703,1.0,0.2601447809248119
251364.43859668262,141188064448.15222,375750.0025923516,760006.2586966299,1207169057509.9795,1098712.4544256243,332383.7311622947,290811188450.1881,539269.1243249405,653724.9000002409,1141604844520.6416,1068459.0981973254,69804570.55595419,0.36996256790000664,1.0880757461687067,1.0,0.3060448633065994
