target_rmse,target_mae
1279098.005275084,930296.2931537762
1633269.7114720328,1031040.5093963549
1481444.7956446148,1049858.5249761383
1318820.6028751344,908414.9955372442
987423.6177144476,701162.3605728948
1626728.0351072082,902115.0641335928
1281860.469521522,873604.8483891189
1396344.3590251687,960343.1462678575
1213399.3664853373,881708.3765064138
1276284.1830812476,944729.3565483536
1725459.937234744,1030232.4157683476
1322070.5369334833,1023569.9897982485
1002025.9048896588,818027.323832583
1134366.9071702298,882141.5191393681
1048932.020691978,791262.5806366144
2934723.327453013,1253974.7277437148
1052593.2810276449,753633.6388149755
1099640.6025697752,786811.0744222247
1357322.099913242,947108.9177496948
1209844.9148238376,827557.1314495075
1032019.0202371974,801222.528214293
1302039.4001694208,932350.2967949243
1124236.99615901,772290.0838771954
1322062.4249124667,986381.2944877796
1119552.62408011,827505.7002365715
895943.8118829085,686478.0427539364
1129118.0925283497,832537.7288818193
1161189.9307716682,828870.5139561127
1265523.3651032767,930680.349433939
1160055.1642728543,870121.7165129011
1082556.8482210701,823698.6820071378
1314459.4789026433,899754.0688660465
1096014.2680499754,830570.3138430136
1540899.8278904706,1130350.1395394793
1225441.2563113514,921490.2021237018
1247081.8780150341,989821.3191802658
993252.1880156866,730758.0364265225
1227374.231730588,887780.8603215376
1198825.9618978712,885022.8130800892
1142801.6505381933,880865.2898792059
1009395.1542803337,805820.2371576284
1218998.718247878,880436.2823503632
1081585.6828598157,809865.5354506036
872786.4713013918,705607.0972620487
1144294.8469702746,803243.8438897136
1318695.5604208473,937568.9919396072
1181309.1320016875,818321.3980805704
1125208.5955785548,856465.9113738865
1305218.6139964233,908221.8938089872
1126475.5882280117,828547.7904018675
949870.3767244061,759590.4805872202
1482444.8679461174,984664.2029125565
1235149.6302266216,865830.5472812321
1111559.1167488133,843763.8996104539
1796477.9903068065,1051772.302066631
1563013.4132913495,1094830.84247993
1229563.2031961551,818585.3078471099
1235490.6405317588,922673.9139292787
1149023.5631659161,798399.5823306359
1170023.6419170236,797793.1106707895
960198.4179804038,756494.3024897336
1018513.9540416665,790567.7136757034
976386.604029338,788227.7834387609
1616981.5197699266,928831.8589479477
1353805.0702287117,928892.9378814144
1489856.5056053896,936722.4337296832
1336513.4164664503,993481.8681355296
1042268.0021125892,860319.6420702755
1506382.4313841867,900368.9291640022
2907641.0800601044,1245593.522239358
1090711.9249869024,798157.8427738922
1218240.2590194943,864429.4774451196
957500.2511435878,741034.9046239804
1003619.4976604758,755389.1100041784
1663363.8894356412,947032.1469513599
1354428.2548833173,952177.8383364669
1209082.2735147527,900776.5170943134
1239796.851118663,890556.4883438397
1012219.9935190374,786909.5175913417
1235300.6647520855,899972.2630140904
1111848.1692933836,849182.4802754746
1598439.583479646,1047031.2078137989
1460781.5251448015,1011273.0305636412
1293134.193308799,939278.4413723958
1345087.250615327,958284.6733831535
1156843.160980471,898099.163324366
1187723.4959408718,933821.5225705417
1062071.3814734763,807546.1387419156
1405633.109179556,1034946.6283772049
1297205.2767466733,938888.9547419398
1600451.9683664918,1151810.9149913352
1550599.9795666186,990762.6336205637
1338392.9429746382,980682.4845703482
1304454.083813474,965459.2676638451
1235362.243738915,909397.1957156482
1111161.7080522804,878737.758625689
1624101.3563585929,990085.1317825449
1212714.46271813,919043.3359299665
1058590.2554228387,833251.6956474972
1207520.9931311903,921418.9419764173
