target_rmse,target_mae
625221.3,478523.84
726235.8,452441.9
632676.3,547175.06
820100.9,535291.4
2529555.0,754062.06
870651.0,553345.8
962706.3,571579.94
660135.6,531752.56
1278419.4,821137.8
611487.56,512156.12
717071.1,531225.75
732103.25,542866.56
736711.25,526118.94
970602.75,661827.6
848743.06,590533.7
879558.4,562044.2
844034.06,612822.5
1150369.2,707197.8
748654.0,524362.3
1307067.9,681149.7
700196.1,518959.0
657499.25,514627.84
3933563600.0,3933563400.0
1316696.4,747897.1
789720.75,631682.6
939348.56,632830.5
912741.4,688829.6
1337821.9,703298.4
1383268.4,676169.44
734689.3,496656.4
768450.1,542684.5
679932.44,464354.8
658740.44,465211.53
2574577.0,784883.7
829029.75,595759.75
999309.6,535611.2
1134055.1,645150.06
942611.7,553893.4
754309.25,594410.44
690526.2,521645.75
2615870.8,815554.2
1070885.6,652227.25
726313.56,535505.2
2640793.2,908368.56
1182325.6,612779.1
1041201.56,628549.2
877812.5,633889.44
956517.3,638845.4
1051902.2,637334.56
848915.4,689552.8
,
648717.25,450211.2
1067348.2,684221.25
664837.56,474867.2
955321.7,575258.75
990150.3,630429.2
703436.1,482801.2
997188.7,568716.25
1023947.1,634376.9
714977.7,552950.4
1002873.7,628092.5
1157459.1,727838.8
966336.06,615306.75
779669.5,556523.9
697239.94,445809.4
879191.06,490645.4
659254.5,495086.0
708035.0,458197.1
2574120.2,709897.94
2638936.2,827253.5
1068050.1,668487.25
945083.25,595783.6
711734.6,528057.0
695600.4,520440.1
989123.2,606797.75
554352.7,478536.0
925318.44,635984.0
818940.44,503120.97
643851.5,464729.9
734162.4,596244.1
981130.75,538001.8
855999.25,602220.25
648903.2,467886.62
726144.4,498304.2
996033.8,661765.25
1308477.4,643566.06
767545.3,587420.3
845420.8,606276.4
780995.06,541468.8
739139.9,541737.8
777234.3,567173.1
901401.7,616745.75
779004.9,543135.25
650259.8,514602.4
824664.7,520278.38
1072176.9,631535.5
910895.06,585200.06
803952.06,498612.9
632113.25,437798.25
774810.75,498161.9
