source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
403303.9919529186,471877154134.46344,686933.1511395148,1066232.4665849647,2082846309003.5132,1443206.9529362423,306331.4921029619,154610171329.01575,393204.9991149855,1184037.4567543631,3566371855230.263,1888484.0097894033,,,,,
372249.5881862614,247132349851.01523,497124.0789290087,1020494.8165591658,1862699527579.9753,1364807.5056871483,303920.4751290588,227882272400.83682,477370.16287241585,906361.0505668293,1586465205898.4119,1259549.604381825,,,,,
367028.5968225485,230911362621.3912,480532.3741657696,1085784.3859947594,2058927134866.9858,1434896.2104859662,384833.85746539326,246782729089.74948,496772.311114206,1002643.527920548,1554978008846.4673,1246987.57365359,,,,,
353767.75770983304,235019403798.483,484787.9988185382,711765.4940835151,831921130484.0676,912097.1058412957,296391.32810370927,152255898294.3124,390199.81841911766,839406.5609661132,1294318710476.3435,1137681.2868621615,,,,,
374766.4734411371,247598729458.82944,497592.935499319,858655.0946808871,1323110346446.2402,1150265.3374096954,275965.29453348916,140152679996.0984,374369.7103080034,915381.9391135421,1632436650611.9856,1277668.4431463373,,,,,
322777.0555733071,181209373002.6984,425686.94248555286,558048.206331315,526074768619.75586,725310.1189282801,249956.27403184708,121776148709.13535,348964.3946151747,666299.0949655131,799524057225.4893,894161.091317157,,,,,
323731.60834184877,199192450613.7894,446309.81460616505,916785.0770994022,1442056333593.1885,1200856.5000003907,296791.6793943325,160175694119.22415,400219.5573922196,740042.902924224,949752698085.5793,974552.5630183214,,,,,
381245.0943587584,239718010343.7386,489610.0594797237,1019251.6927930261,1786201323607.2898,1336488.4300312104,245935.71058539316,152533034801.1707,390554.778233695,1084311.8172832204,1879408556766.7444,1370915.2259591927,,,,,
475927.12622131646,604799368988.7424,777688.4781123752,1034726.8744938507,1813431491283.7466,1346637.1045251004,323848.3244423629,171176478613.2429,413734.79260662006,1276744.29936407,2599742449415.201,1612371.684635773,,,,,
513047.2677449723,649661637218.9097,806015.9038250484,1122863.4219267492,2276621560039.111,1508847.7590662057,386832.1563803144,285501076073.2382,534323.007246776,957889.568842551,1680540764749.882,1296356.72742879,,,,,
327297.4104801249,201304026430.17825,448669.17258730653,656515.4216594232,785922196014.4308,886522.5298966918,214812.37857401583,125266901870.4079,353930.6455654948,626486.4206923493,742032119818.5319,861412.862580152,,,,,
345624.7476321635,205246166676.00052,453041.02096388635,1035591.9351984842,2474656463557.3506,1573104.0854175386,301499.86404145154,198682760659.8831,445738.44422473037,1168766.5800504335,2341415371200.601,1530168.4126920805,,,,,
302408.18392851827,183683398330.60208,428583.01218154,745631.6100163101,1784022129861.7068,1335672.912752859,361903.01741431653,222346821794.20328,471536.660074488,715264.915371178,1909970889485.9666,1382016.9642540452,,,,,
335324.81950822036,216139326868.55692,464907.86922631983,788293.9628695275,975977203578.4703,987915.5852493017,323055.40201615205,183653081288.0342,428547.64179497503,893240.7656008943,1266240290975.2024,1125273.4294273558,,,,,
471617.95647879184,516183613700.82434,718459.1941793384,1348556.5704076642,3336824639654.016,1826697.741733431,426312.05943229265,609007559808.1262,780389.3642330898,1203889.063873302,2355041388409.7104,1534614.4103356095,,,,,
355770.5245461389,265309332736.3017,515081.86993554886,817073.0655031368,1251228655571.1357,1118583.3252695731,262392.0871983675,129615075524.18451,360020.9376191675,859565.0639806086,1059080706667.1016,1029116.4689514504,,,,,
400246.1472120776,279809870600.29474,528970.57630864,846497.2695128135,1249672429299.6824,1117887.4850805346,321137.03002436867,186272037225.13095,431592.44342913484,869639.858165942,1328358342947.429,1152544.2911000988,,,,,
424092.9396622871,478666053601.4962,691856.9603621085,854350.2820724185,1431166260634.6812,1196313.612993968,264170.317828002,111906884957.2167,334524.8644827716,1083900.0359170819,1838897004055.5522,1356059.3659775932,,,,,
509994.43035321595,761823880457.4578,872825.2290450006,1035162.6059931797,1863781634614.7034,1365203.8802371987,240256.87038640247,144137732803.26892,379654.7547486649,1218609.1346370485,2340329457261.215,1529813.5367623123,,,,,
352869.01117466687,225362496525.65298,474723.6001355452,755524.3005250288,1002084926509.0267,1001041.9204553957,291721.81067349744,149988829458.57632,387283.9132452784,802585.7215787157,1113632133830.5615,1055287.701923301,,,,,
412182.5530179307,314243594299.36273,560574.3432403615,1143052.7704753112,2601302340827.4893,1612855.337848838,385532.63460153295,270731850129.75052,520318.98882296286,1261211.6108916756,2816032191226.884,1678103.7486481233,,,,,
272410.22039792343,124382846123.81642,352679.5232556271,839031.9856814417,1511296584218.5137,1229348.0321774276,347665.44028067053,226863181704.59433,476301.5659270861,931789.6764971832,1523338150449.1743,1234235.8568965553,,,,,
597021.1964690028,857953916599.2429,926258.0183724419,1013294.726404967,1911629667442.0706,1382616.9633857638,363534.1684379561,239959542885.83566,489856.65544711717,1060993.0602454108,1862953455709.167,1364900.5296024934,,,,,
482396.9030406728,713149890809.4059,844482.0251547133,1089062.0467598175,2576203450741.214,1605055.5911684847,347288.6456809391,244642282709.76163,494613.2658044683,1068615.3018827473,2026031774725.1985,1423387.4295936432,,,,,
319595.1704133598,199722127250.35022,446902.81633745634,741283.1807518172,1234175389179.9392,1110934.4666450578,315202.4582475897,251975594556.0099,501971.7069278007,819473.4535101571,1501153838130.2131,1225215.833284166,,,,,
392037.21048914245,318298459911.90717,564179.457187079,1149875.3572358412,2737562681712.807,1654558.1530163293,340007.3418105565,226503830466.47644,475924.185628842,1248286.444767751,2891699526119.2944,1700499.7871564978,,,,,
341272.8873907083,194743536639.38504,441297.5602010338,786763.8573830053,1099633186803.275,1048633.9622591264,401509.86679401493,323251717550.149,568552.2997492395,768345.99891442,1158837866303.838,1076493.3192100348,,,,,
358756.1194696795,203492256190.63748,451101.15959797474,1070131.7614377972,2275353730938.5664,1508427.569006403,280403.9098888817,138554416629.0697,372228.98413351655,897626.5655242698,1388727073669.703,1178442.6475945713,,,,,
335880.7093104143,216183833297.48596,464955.7326213819,1156950.395294124,2187046816856.2322,1478866.7339744417,263338.1784395748,127104524792.88252,356517.2152826319,904116.9194885796,1720338211713.9097,1311616.6405295068,,,,,
330120.7926978069,187909464316.23322,433485.2527090549,936440.7612911218,1601588943268.6382,1265538.9931837888,259221.45834550128,118583634690.248,344359.7460363914,1110078.0314603553,2127597088041.5654,1458628.495553808,,,,,
362224.5315440627,236588659948.14084,486403.80338576797,739190.7591713405,1143486754828.9517,1069339.4011392975,312307.94924286334,154380090990.40173,392912.3197233725,794537.9502705213,1425533391433.3423,1193957.030815323,,,,,
381371.24764358415,252030965706.5978,502026.85755504936,927796.0884275185,2080572133343.275,1442418.8480962368,507410.77986450965,593957565551.3553,770686.4249170056,1005145.5450241215,2247271359954.0454,1499090.1773922893,,,,,
312504.52889641805,201599251723.07227,448998.05313951225,897196.772967157,1246568916389.3884,1116498.5071147154,275826.08123209036,145340369219.5583,381235.32000531943,932595.3660937154,1355757739357.3154,1164370.1041152317,,,,,
