source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
415812.2172701161,498008188745.14417,705696.9524839569,721161.0197701674,1339645415215.815,1157430.522846108,308896.9006871388,155536907891.99133,394381.67793647735,1033716.4064776651,1962192249237.858,1400782.7273484843,,,,,
346694.1012013854,224280806094.7149,473582.94531656743,577971.4977039134,599565783625.7914,774316.3330485747,314629.88905616483,231716100052.2097,481368.9853451401,1012220.1668660344,1870168690743.0781,1367541.1111710968,,,,,
375878.11989131063,245830900916.542,495813.3730715036,639232.9876929669,753548673522.9589,868071.813574752,373650.25269169913,248910087903.47647,498908.89739858964,1051763.9900699565,1961093922774.4187,1400390.6322074633,,,,,
348817.96547579,233112103714.64218,482816.8428241109,575690.1114571462,536844215102.4975,732696.5368435268,289692.99192311,149156770390.0486,386208.1956536508,779171.4857871324,943157929682.2015,971163.1838585117,,,,,
375691.44082024496,249089403946.43646,499088.5732477117,631718.1213471862,865195046120.0554,930158.6134203431,264344.6482288551,141981388640.07452,376804.17810856947,864458.7046402299,1346095828859.8306,1160213.6996518488,,,,,
335467.17038495414,193492006749.59924,439877.26327874605,468285.8449076815,475152776394.09625,689313.264339296,248476.87335158105,119788179062.78539,346104.2892868931,565306.7042793198,552566545466.3092,743348.1993428848,,,,,
348910.4814074089,216745351296.58878,465559.1813041482,578163.4336744259,631920837566.6372,794934.4863362246,284538.01228181104,136092530513.62988,368907.21125186735,932509.0206182759,1464309634939.3406,1210086.6229073606,,,,,
365738.01190792583,224348672596.55817,473654.5920779806,576378.2989135988,522331768625.3304,722725.2372965333,244840.6260457445,151323225973.14297,389002.8611374767,1012334.6010394455,1775562848871.894,1332502.4761222375,,,,,
456532.29692790954,563698589433.7025,750798.6344111866,646816.1588601597,677688600591.6572,823218.4403860602,334434.7924346317,178744743848.34546,422782.1470312405,1135183.9133894732,2129454824090.3638,1459265.1657907702,,,,,
510713.18245758634,643039450741.9695,801897.4066188077,759516.9462379056,1257743349494.9287,1121491.573528276,395838.9328476511,290252578991.0595,538750.9433783476,1127077.6431174863,2283931673441.245,1511268.2334520386,,,,,
318812.1996885256,200594202156.2242,447877.44099945936,509236.7508431989,448631528241.0305,669799.6179761754,219240.04015512695,133034791571.9251,364739.34744132706,681707.7486358668,811615605272.5452,900897.1113687429,,,,,
342389.56203525857,206468273842.85428,454387.80115981796,614685.9758571476,757601541102.1991,870403.0911607558,311412.5280666932,201282217835.20587,448644.8682813678,1042842.7522941482,2477637137596.537,1574051.186460128,,,,,
315234.39582035394,186446454337.28552,431794.45843744394,584833.1033997954,1571038301051.0718,1253410.6673596932,370142.22277962044,235857996077.03458,485652.1348424555,757805.7199019087,1867316134237.8694,1366497.7622513215,,,,,
