target_rmse,target_mae
2751266.2051336295,1032897.7272567516
1144381.7453881889,838684.8616403872
1495609.5478842114,969252.0371185266
1278239.3504607335,885799.0923832085
1139143.691974463,879853.9193068634
1191297.0061197605,910548.692560625
1198332.218423007,879737.3217235722
2858289.846885377,1189025.4926994587
1144940.079296466,841290.6695213945
994253.2056321098,784321.7206867118
1171443.0385859055,870258.0114881897
982676.5121887898,776756.9556949738
1259767.0138739545,903654.4895689167
1205959.137171305,888117.6238115745
2808438.5016329233,1161231.1197738273
1065011.0495528483,814371.6404174558
,
1161500.0153423122,876584.5246931696
1084395.993080268,847184.2817733926
1005055.5383752603,811048.8688508373
1272678.1399351575,895235.9408674404
1049877.9011096484,855611.4846099013
1172708.6071589703,895084.05733002
1237296.6688041545,892747.9016938076
1192722.095148574,841186.1431474801
971023.4521256728,800125.9150906795
1377251.7443338262,962137.0945589851
1074082.7474610354,819144.7217449461
3051619.451344924,1204267.0633835886
1212728.867915312,895927.1782053455
1245459.6905093524,853863.4801375511
1133845.7114305545,830005.6647271141
952149.5667630465,764325.5269572092
1167581.422084552,891763.0906015473
1117924.1793705332,815027.9213163677
1328387.9695411779,974633.8941047209
1221257.4301590254,849625.7700354109
1370250.7343355275,901096.8183837353
1097264.8402859904,864958.7498934723
1272289.786424323,920232.6802425614
1346958.1109756576,837565.7680736184
1130988.0461905885,840854.9342229036
1468286.9922770716,1012808.815439048
1127772.2989355214,854567.4527110598
1085475.0157013535,822444.6470571819
1234162.1543342785,929724.5671962129
1071078.0511293223,807316.2659611321
1223546.5817675432,870226.0829677986
1142139.7737774828,837477.7091017038
1333160.0859048315,914800.0478081623
1014651.3991590521,778750.9289978972
1014176.1320695615,787519.1011297539
1149694.1576686401,811569.6051168762
1319618.627500268,946087.7721176443
1249514.2779356395,883350.6254989473
1293086.1399874405,952063.875200639
1221602.9770945841,930411.5063975239
1278802.6423979653,943373.3294913399
971284.2490242028,753965.3068170099
1314112.9012270381,955089.5598128494
1397601.1065286698,986410.2263613249
1408415.9608865615,913784.9016376969
1144611.9428420581,847633.8303696411
1249064.8342475593,873137.9928727648
1184082.4003786477,863823.7337949326
1258001.4929308544,916286.5410957522
1018625.4002974791,769926.7271492511
1048763.9977192564,785260.7962662565
1125743.4759017695,890749.9139149191
971075.0153400182,746992.0920936548
1354441.811955579,992286.0016998684
1336832.1773919489,884179.2690620709
1339802.2891561443,932413.1272533024
1179603.098076624,940486.7002771534
1135975.770369392,932633.4348852673
1369976.3388373642,893038.6978757794
1382471.4775547178,931717.0839327587
798158.571879723,625008.0276037082
1201096.2363966054,859849.1778089508
1346433.67657023,917600.3284974266
1204714.4358517695,924037.3050291237
1060775.550414027,807871.2797875787
927283.5735813687,763521.110476215
1554564.0106067474,1084861.1390750306
1178016.652129497,822070.8292714366
2872865.967052317,1163357.4617881663
1563659.5204265902,1084649.3622701638
1306640.722207922,845911.7718268726
1199099.9092219057,915326.479184854
892288.5262628701,679410.6058845714
1162082.024359655,874379.9527092514
1279724.872087119,960687.0193956986
1133983.5772810376,861224.3373444912
990903.7677132479,774815.2976893714
1087099.9895468557,841097.9041834583
1171678.8425352573,932038.7228426719
1194773.8705072845,894630.524447675
,
1301290.3171596136,912658.2425183079
1467294.4581164864,1093055.3417373304
