target_rmse,target_mae
1207772.552725424,925581.7712451934
1284264.3607497448,986084.2270695496
1387289.073613997,921921.6023868561
1222393.5156101342,886769.2965315246
972794.0433834087,771551.6154801941
1042772.8132699924,825857.6447483826
1223800.4779346536,947120.693447113
1087274.4381645701,804349.4731808471
1413193.6497181517,1037504.1231950378
1230416.1597850558,883402.2380075837
1058943.0138864943,747366.0536569214
1003076.3291610163,734472.2402005005
1682292.68378953,921826.0437304687
1293794.708261389,935153.5564587403
1370832.8842600612,1002980.3583428955
1282444.8410600082,954893.0918024444
2795526.6283732755,1134938.4287353517
1132667.7453465844,859036.9419262696
1004347.0180164628,754034.7346930695
1122373.7165398956,874345.3142074585
1491297.6850958634,1027765.3398106385
1152574.8070429666,851569.0418084717
1205601.9209295858,896385.8362161255
1074566.851872051,831381.4229626465
1135675.2688546763,839231.6453102463
1181622.2785444206,842047.8106044006
1292949.8033753398,946118.0530751038
1294567.6668350818,953251.9496354675
1201232.8913319143,865400.2444301605
1369424.4622506422,972155.412658844
1171283.4237404424,868206.573900299
1179410.969257322,918054.1281517029
1336832.5017869417,918176.1471305084
896296.8572460981,731556.7883674621
1093303.799717134,818750.9643508911
1452050.481135683,1018682.2572200012
1266088.133048108,879216.6027249908
1217630.2470516504,866391.118433609
1174123.666262592,890457.7843997192
1110261.6947403639,872242.6516834259
1357456.7543380344,949626.6467474365
1176045.35329074,876873.9088838196
1090652.6148554264,851056.5021390533
1377339.1665086497,974035.8822954559
991086.9589915408,799663.2127283477
1252541.2586795925,933164.8420950318
999861.6391342817,770915.7663363648
1401936.15719157,982779.3812161254
1104931.042171247,837872.6425858306
1357749.3660873077,914683.9117147065
1163429.422856747,879942.2917274475
1426881.081927451,1020496.3744392395
1113178.5754269245,863431.6859688568
1399965.7639833463,944553.599675293
1199702.4578565492,887928.3417272186
1295018.2313440994,953611.7936828614
1557047.7120257665,853713.6659394073
1253691.6348703145,948064.4171720886
1291440.1126203865,942623.1027625274
1125666.765521874,782855.8301693726
1214716.1987924068,848498.9741845704
1196567.2305255667,832781.6759400177
952511.4780108688,724236.9304702759
1016663.6203087643,744192.645014267
1024102.1009346968,765929.7231278992
1392321.2154691298,1001806.3491544342
1092902.0791838611,827718.4239712524
1321684.499532329,977737.3819666291
1540665.5197791497,1082991.4730148315
1060594.8097448898,790409.8783096314
1346903.217373348,961985.037175293
1150964.8672058492,831916.6856361389
1650393.1409941218,1038404.2445812988
1248935.57046949,795001.0009401703
2786775.1506951293,1118366.6029528808
1289898.4613868445,948691.3652149964
1386249.4166812187,1017439.4458976745
1248884.054377752,931039.3812614441
1573119.0056288443,1064657.7957885743
1068143.523822051,824173.2391526795
1693588.2242847832,966330.5727519989
1315072.410112753,915659.8341749207
939149.1030545458,724259.9273916626
1316004.8089538259,933080.5252540589
1252905.3880909595,915860.9140216827
1325390.8083313263,897605.3419241332
1218718.979905986,898994.893179779
1083552.2368978676,779812.875907135
1310197.5955046765,877413.4891105652
1451220.194009753,893993.7185153199
2880761.36635744,1146409.9529154205
1186173.031882861,903834.9568746185
1007225.3663833168,799984.7524730682
1217609.2221464578,903343.4993024338
1477760.52910279,1085407.062027359
1440613.4976278637,962723.0824029541
1047603.1045731831,865552.2243920899
1805017.8671311778,963330.1690722656
1018137.8428746996,788307.123515625
1081688.3854110523,838775.192237854
