source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
346955.9453158787,231258517428.7866,480893.45746099163,905776.9607736196,2113770762054.875,1453881.2750891577,310222.8863313194,157802189188.79245,397243.23680686177,918837.3501673202,2080426765729.3027,1442368.4569933242,,,,,
350863.2129782342,253789490779.18582,503775.23835455213,1021349.2390729645,1918490321500.6895,1385095.7806233796,339726.40900409967,197847375365.21216,444800.3769841165,1104366.7980532525,2173721650445.094,1474354.6555849763,,,,,
431362.7866362787,422435103396.6413,649950.077618767,1455914.6184171704,3945306204206.221,1986279.4879387496,319686.5371071144,236194314254.5526,485998.2656908897,1857848.4454725548,5617451818303.561,2370116.4145044778,,,,,
348071.8382787697,241377902843.75256,491302.2520238967,1087880.7371413435,7383062335383.957,2717179.113599977,401439.967831213,379986790434.85876,616430.6858316341,1043254.634245502,6953824414256.991,2637010.5070433435,,,,,
471372.9992638953,599107922509.1322,774020.6215012183,767474.3488595296,1139033868325.2295,1067255.2966957951,343792.48534603877,214245828207.89087,462866.965993352,879739.3135376163,1297107172918.3547,1138906.129985415,,,,,
542200.160292512,476122974647.95215,690016.6480947776,918919.8151502637,1354128796196.2307,1163670.3984360136,245072.69433940545,101722211886.92654,318939.1977899966,1041543.0702116083,1809157393236.3147,1345049.2159160255,,,,,
317104.11247614626,208521105445.8828,456641.1123036151,725678.6725394275,961440626490.812,980530.7881401848,262332.6605745614,117519235662.2132,342810.78696886596,726330.5762501233,995863089992.7837,997929.401306918,,,,,
337329.4970072009,178204112216.52573,422142.2890643932,843719.8974721894,1248520406689.3462,1117372.098581912,209706.36763598493,80979109914.07518,284568.2869085647,885662.7746147733,1672665536318.1782,1293315.7140923396,,,,,
376553.2369825876,452292118932.81213,672526.6678227802,816516.8178705968,1383733197412.1504,1176321.8936210235,391779.372487814,357653744691.306,598041.5911049214,835463.9053985738,1484984683883.2139,1218599.4764003528,,,,,
408525.5158709895,524131549024.60034,723969.3011617276,771878.2690332495,1078827488855.473,1038666.2066590368,268192.8802919199,134734141091.96971,367061.4949732125,970934.6279090956,1574120357619.001,1254639.5329412352,,,,,
370008.7116302799,305452621809.9125,552677.6834737516,1146630.1523083276,3647674555908.2754,1909888.6239538356,412987.97127039934,423422135494.4532,650708.9483743506,1069954.5166127232,2855882995108.2544,1689935.7961497398,,,,,
371724.9438437812,276349456386.72894,525689.5056844192,808014.2736384788,1205609399470.8374,1098002.458772674,227742.53864958123,94450358056.4668,307327.7697450505,825621.8957912349,1323431170052.8147,1150404.7853050746,,,,,
383927.9711591836,445930353895.2049,667780.1688394204,904671.937602743,1573099435171.56,1254232.6080801599,391365.7157889507,332495937044.0573,576624.6066931738,928782.9044947042,1521352223940.316,1233431.0779043618,,,,,
310830.9474477296,180515212651.48,424870.8187808148,594792.7116179517,897817294328.674,947532.212818474,405979.184254531,374321156943.9573,611817.9115913142,753853.9650757787,1221415273075.6064,1105176.5800430293,,,,,
280703.7806403711,155071251015.02213,393790.87218347524,769167.5523418658,1204174737957.218,1097348.959063259,259281.30356126043,119934361614.13934,346315.4077053739,684058.2838405881,1025324742403.5902,1012583.2027066172,,,,,
270716.05500688235,142492651863.90338,377481.9887940395,738615.7751172476,1211798290273.2952,1100817.101190427,235777.79127022906,93593700620.3243,305930.8755590457,744504.1460982204,992474653670.6078,996230.2212192761,,,,,
