target_rmse,target_mae
1513191.3727376845,972807.9456056213
1187267.307374554,867236.3368037414
1337153.776651654,978879.5082720948
1146088.6392967775,894901.1388365173
1521493.9871691451,1037076.8096963501
1077450.6338361304,847930.6264266205
1340416.0130200195,978045.1746888733
2965868.4496047553,1332478.1772695922
880876.9813420642,669633.7598170472
1640997.9100032449,981729.2202786072
1547188.7156821098,1048572.9631446075
1117022.3692749722,878431.7534822082
1051428.7019806588,790928.6093254852
1272577.431096,873849.1969637222
1891356.9563692813,1141697.321367035
1123051.129545317,796471.0984190368
1404731.20312616,956933.6375649262
1629255.6812213608,975554.1644868469
1287679.867611462,891947.0317102051
1128085.2593461643,861818.7120188904
1074490.520069784,783328.6409049988
1115136.1190853335,880283.7241951523
1219014.3279022644,900727.9178964234
1260395.4595231218,960588.1609500122
1054845.7891562758,826199.4603921509
996432.5734229825,738285.8903996277
1229271.511202193,897402.3294069672
1305511.761408348,922310.7640748597
1019921.5874554472,786205.4153549194
1200252.0099138913,869987.5942802429
1041139.313411273,775019.4201219177
1115272.3154313776,825964.9565786743
1374000.3555997654,983239.4712000275
1118557.2244772199,768850.8905145264
1339455.913578136,1034933.0107722473
1187865.8407347815,862375.046430664
1120062.9255159697,859954.5760933686
1454431.331231396,951936.2360310364
1068094.7333113048,855136.80502594
1495338.4666538413,937381.2766738891
1389286.5306093928,961926.5007826233
1271595.9578631672,890529.1390641785
1099434.027817252,793105.6396617889
1281208.6667633178,894880.8225471496
1138145.2241283432,855604.0879544067
1295422.7728930241,919840.9706825257
1063690.7194838629,787545.01084404
1447180.1429497914,1036424.4825479126
1243402.0123995673,921194.6577451325
1289447.9038695665,873823.7309265899
1023351.2598445402,813766.8102627563
1243883.3102738683,948395.9058365631
1672591.7981470025,1037880.4564659118
1021118.9239177043,774080.0134390258
1275071.1506956157,904629.4557004548
1445938.855776343,1027776.5438713836
1116033.0599962363,864651.3101618957
1215583.0365854853,912838.5825095368
2856183.99590436,1129132.528282547
1320239.4196647392,876993.8314360046
1214015.0931193423,840226.0262308503
1315919.092621019,949858.5705415345
1396021.6735400134,928205.5750447082
1275757.124878317,926934.1321082306
2758179.2648544637,1008546.7122514343
1331000.250019053,853491.3356565094
1365471.4045444548,893855.9770230103
1235197.0522780626,874433.0989469909
1818912.5995126616,1072865.2255194855
1252546.2795821712,867831.2475369934
1019965.9197965069,820130.6297062683
1174901.695642344,892560.1623648071
1015732.9672053276,785843.6986231995
1018014.3397753151,781717.7493684387
1051385.4749362501,796524.3647760772
1287148.7466125453,970248.9302117157
1138414.4262512282,856760.2456967164
1073814.0822284652,817395.8063800049
1433984.4879049372,1011093.1015941619
1250557.912512564,921543.9134477234
1147790.8348429557,842858.9399604035
1239590.6562390863,894408.9094109344
1322311.4462523526,874402.5323880005
1145666.8487232367,856758.4951568603
1271949.5335586544,902476.3042770386
1313772.326858353,982697.452555542
1317533.993001916,994978.4457899475
1073336.1120338913,831598.3345327759
1236908.6512417279,903060.8393455505
1120407.682289537,834814.0652536011
1286655.332301811,970328.5526577759
1229173.5564589147,849525.4278517914
2891961.2456149613,1217793.1215956116
1230036.988949545,908760.7636790466
1269623.548100969,903151.755832367
1162731.106203536,851065.0345347595
1287005.3865714436,955210.582481842
1275135.9288213332,963854.5315420532
1233277.6341822469,893422.7481478119
1247085.7234966706,854377.4893284607
