source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
275425.62043057574,132032749339.68942,363363.1094919921,708800.3189305766,1514549934186.714,1230670.5221897184,295397.3844656549,149311865012.48184,386408.93495425524,902208.8131482736,1829058921645.2727,1352427.0485483764,,,,,
368793.4587621401,237213865250.75064,487046.06070755835,1466530.0351131242,3770100970473.324,1941674.7849403936,325790.88748208917,189123710044.39554,434883.5591792308,1409481.5499664051,3695685805116.7812,1922416.6575216677,,,,,
341548.8288510759,249989319962.00385,499989.3198479382,936692.3339166077,1623789163654.8088,1274279.8608056272,452561.5070503846,468373339122.4918,684378.0673885538,996205.2494473163,1631750796080.1135,1277400.0141224805,,,,,
404439.2602116248,335825987393.63153,579504.9502753463,975284.4823299621,3533481508335.04,1879755.7044294453,629358.6289995667,911003926383.4581,954465.2567712761,973663.0178718598,2915615444465.477,1707517.3335768739,,,,,
517819.68285262835,407385883257.65247,638267.8773506093,1313675.0983885343,2655665593455.1104,1629621.3036945455,253897.9004535739,135838778144.9783,368563.1264043899,1165057.4868121846,2530184172868.0273,1590655.2652501508,,,,,
333117.2323160802,189098302290.4658,434854.34606367425,589811.9548058979,628501915294.2117,792781.1269790747,252204.8885550725,122066497154.45392,349380.1613635982,697084.5439744375,805620696177.1075,897563.7560514058,,,,,
349986.5215554776,214947866411.48624,463624.70427220146,863820.0120861679,1606289099148.5222,1267394.610667302,309759.4037911078,174445077493.70288,417666.22737983364,903517.4109865604,1711503751912.107,1308244.5306257186,,,,,
288230.9870940502,130504885606.41733,361254.599425969,705242.9667028747,1043530286905.5657,1021533.301907268,385146.6258237721,315591110623.70496,561774.9643974043,797627.3943590943,1339347255066.7236,1157301.7130665295,,,,,
308875.64509561256,197361439551.16953,444253.8008291764,638349.9393035563,984657681013.5537,992299.1892637793,262755.6999683683,120256358338.27693,346779.9854926419,768239.3741203158,1179370686926.6426,1085988.3456679645,,,,,
284883.46567864844,137837438295.6749,371264.64724731725,591009.217790755,779286369892.1266,882771.9806904423,235867.82621404232,101858453814.65814,319152.71237239725,754573.8098117864,1070241625967.6307,1034524.831005825,,,,,
214499.98043510833,73470086383.66852,271053.65960205835,620818.0185094038,813653931516.4805,902027.6777995676,332123.066698458,283780817477.1841,532710.8197485612,678338.8444526367,914105972296.854,956088.8935119234,,,,,
348878.38392584317,220865158808.08182,469962.93344058725,669601.412080219,897391573939.9755,947307.5392606012,287009.8754105529,170736215343.50986,413202.39029258996,741668.4626528594,1128110813344.5017,1062125.6109069688,,,,,
338695.32285868115,210180616757.34842,458454.5961786711,718176.0905748658,906302057141.0902,951998.9795903618,259645.10344635806,130355513075.29387,361047.79887889343,769638.1226137638,1038576786787.0217,1019105.8761419354,,,,,
273726.6943060525,122342065370.30302,349774.3063323877,995849.9506288609,2480844899341.79,1575069.8077678303,358510.37776145665,207196176295.9623,455188.0669525095,1191165.2903743929,3037944724758.7017,1742970.0871669317,,,,,
360349.29508081515,239677687253.36154,489568.878967364,844242.9420917323,1946076851568.3135,1395018.5846677145,243716.64985773963,111997591404.41547,334660.41206634446,857402.7426335937,2086347227066.162,1444419.339065412,,,,,
461283.9833427197,477576430017.78345,691069.048661408,763000.2669239809,1308021491761.656,1143687.6722959185,281046.72556907195,126751212630.17032,356021.3654124852,653727.7554764186,840947116641.1101,917031.6879154777,,,,,
207974.77873967713,70461253372.31763,265445.38679795817,628212.7711016127,812502183952.3423,901389.030303976,288366.25686085643,155293813851.48242,394073.3610020886,584481.9036156653,714420427538.5203,845233.9484063097,,,,,
297773.1218595842,159600993581.0009,399500.93063846655,878768.8515506191,1541417998110.4072,1241538.560863257,304140.7925594585,160328431499.88336,400410.3289125836,935179.7618844835,1581478696227.4778,1257568.5652192002,,,,,
