target_rmse,target_mae
1235008.252944394,891091.2270818306
1359908.600310595,896647.6852630358
1092133.0476740864,804120.0080273382
1172291.2123604815,872109.0557714704
1166612.4831396462,890731.2991731513
1328941.139991284,936651.5421862564
1189001.7545022278,907316.8740139105
1312323.4778008068,880433.3441497787
1067823.0680522374,829752.0629829683
2807095.0118792504,1129069.2686996697
1318788.894972688,973172.5407763215
1550736.1745069216,1060131.092418933
1323904.730122149,930385.9008376251
1218905.406569778,900877.7683647623
1215413.563670362,882496.7752123108
1206036.7478820484,827750.5091548212
1053318.9083162516,808414.8618893505
985065.7246882288,775340.4179092587
1880116.7351075571,1134419.3110608875
1153008.1628404686,863137.7368934755
2778799.0780306943,1085702.3714655854
2782467.320787472,1144536.421076137
1188902.2667635153,904931.8984738148
1288370.3142138184,878506.6876021215
1592727.2065697333,941297.9493738553
983453.6824123694,758702.3996958281
1295447.2061831236,820384.0865773171
1061269.4298171322,799651.2948365805
1292482.6693581482,951070.7848923773
2837341.9935097476,1116278.9615588335
1480109.9411986463,982654.0932233979
1157386.2715417799,849720.6440694144
1066233.609702434,775506.5082039224
1470895.268086704,998522.9640808742
1263391.5565761067,923160.5657662838
1211052.5326280782,904852.2057008651
1495603.6351255425,1032346.2604858777
1139107.1986029362,805858.8876710781
1078944.0005993817,842128.2207102652
1361007.7343207696,901547.8984019392
962344.7826556902,763163.4235471367
1170648.7079985673,926864.4665613594
1109470.0374919649,853896.0313874839
1432747.7842143015,976818.0886935852
1423341.1799042055,1013652.1168463537
1169747.0937454782,792899.896167222
1146224.9865446507,882988.3382619069
1272577.4627887164,863845.1116773225
1172640.6039649795,836197.1513579743
1180963.9376414865,855742.1399431743
1040706.0388164221,786215.3706819551
1120019.1675417845,854512.318313686
798601.6162795215,652597.2019033647
1248772.388339852,862647.6981953739
981918.4096467916,751268.9934985227
1277261.303052668,827447.8884544921
1335170.46155234,1034039.4477882588
1305416.5469196422,924458.3893578778
1187897.1094275787,872746.7827738258
1172868.1862062875,883045.7072136555
1435686.6579736364,1026562.0873285492
1302343.8460399734,892078.8935108982
1164798.720038009,801406.0883752848
1092615.4306990681,807353.8526753366
1206134.7672288571,889340.4266929328
1314918.6194590519,933734.4332557609
2780523.345386063,1087154.4371083
1046878.9851111365,745719.0450674578
1146882.6709252517,866969.986119841
1384702.1085734663,926022.5422194443
1368032.637542796,943794.0472000748
1686007.0644889707,978043.2156738468
1380486.0845021717,921295.7018187892
1209156.8899530931,912844.2184549759
1274804.2927971836,904172.5138207038
1476022.2868441828,957865.1983603695
1105016.1753031963,851199.0803840796
1127279.154471472,769478.3958685751
1148472.072076161,858423.6235005822
1120972.557813913,800209.7153771034
1124479.1953299623,807733.7683001485
1408207.5381495063,900673.8473873505
1205269.393988857,910995.5706114193
2830755.3962526387,1125771.1203270543
1441518.8067455224,989009.9469050014
1229931.1845858332,763065.1148386444
1198724.2034043386,870313.2516706871
1264185.6616897804,861717.5359639528
1660513.1197759095,1105999.1500704524
1527262.8206399607,1035049.3108068655
1000246.0440821772,762196.8601511576
1394613.5314380028,965838.1003263308
1286670.9829285082,952901.8579949418
1143860.0200554128,894097.1512990117
1248907.7934916234,930078.6610615654
1228235.1378211826,845309.9635226228
1182513.8241518484,922344.5444601424
1368336.1679054901,1011401.9931650715
1180919.426118883,860624.3644356754
1218046.2158300446,863080.8029961601
