source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
508531.81623478903,524049441858.6019,723912.5926923788,816927.8444437676,1262561057713.6777,1123637.4227096913,306683.54253796407,184253581527.89468,429247.692513186,1777608.460943187,5616508496425.31,2369917.4028698364,,,,,
388664.04949329916,347388365991.01447,589396.6117912576,592248.2538158898,627472388810.8054,792131.5476679397,227004.1460785506,107505843339.11377,327880.83710261836,745012.4481216171,940139816588.9786,969608.0737024515,,,,,
332557.32327480335,209015790551.1724,457182.44777241,513391.24981592415,562159029766.3057,749772.652052811,264862.3984017603,111568733068.82323,334019.06093638315,707561.5132633827,1026532338480.3296,1013179.3219762875,,,,,
345522.9571046572,235958984626.308,485756.09582001955,586431.6670606377,1321769682688.409,1149682.426885098,433885.4086653305,933690583840.3918,966276.6600929528,683576.2064121781,1453762912309.1316,1205720.9097917858,,,,,
398520.0701879023,298766943479.23114,546595.7770411615,667593.755005008,962115414338.7919,980874.8209322084,275313.4004768105,140233781747.8371,374478.01236900024,882679.1838921377,1730415051160.3413,1315452.4131112997,,,,,
348113.34601795423,219194971264.1282,468182.6259742326,505098.3178419032,568610880275.727,754062.915329833,161966.89528975266,51297090645.39522,226488.61040987296,647849.5946683116,790883650866.2983,889316.3952532858,,,,,
314861.0638318617,199003173167.88965,446097.71706195676,577397.1963973645,733657000688.2911,856537.7987504645,313748.7591568104,195421690273.94534,442065.2556738036,801993.8922430809,1269984934538.3987,1126936.0827209316,,,,,
424163.1002404967,293617631040.8044,541864.956461298,698779.3390739262,1505176025192.7085,1226856.1550535208,351870.21313307894,227302238488.3655,476762.24524218094,904295.0460067209,1911749890353.287,1382660.4392812022,,,,,
415548.2222220342,414027031683.3405,643449.3233218453,545150.8514986519,554031973531.2708,744333.2409151634,261757.0648484443,152341104681.21762,390308.9861650864,707639.5688128881,952782457165.8728,976105.7612604655,,,,,
251042.29274269857,108141107771.7111,328848.153061122,454943.9070601963,378662516840.615,615355.6019413612,274682.3730961729,126592514779.22267,355798.4187418807,599973.8415234176,650778960998.5518,806708.7212857883,,,,,
394753.7677748016,400750818774.0031,633048.828112021,656600.1516236152,778202890707.1283,882158.087140354,310738.12372089626,180805768009.7824,425212.61506425514,762906.7289072529,1123790532723.1907,1060089.8701162986,,,,,
249564.44774311146,106158533365.88504,325819.78663961624,556751.0280010981,993513803496.1183,996751.6257805242,263454.99398407637,144892413522.62354,380647.3611134373,652672.2486392178,1128909695891.8518,1062501.6215949282,,,,,
288047.85251574375,153272535379.48434,391500.364469159,644350.9722121214,884838443936.397,940658.5161132583,335454.20565866685,207124253686.65253,455109.0569156502,726533.4681106783,1068093064788.6038,1033485.8803044208,,,,,
