source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
514995.916138152,527127217376.9651,726035.2728187282,811317.5836513757,1289671236911.8894,1135636.9300581457,303676.565057038,182292689743.31128,426957.48001798877,1871407.4823149676,5576926990316.874,2361551.8182578324,,,,,
393584.02976791584,337267925796.9969,580747.7299111868,590689.181786876,657474760420.7606,810848.173470694,225740.24800474796,105410395290.42618,324669.67103569466,767606.7322910628,948850047259.7987,974089.3425450248,,,,,
331329.21356412664,216227316910.43915,465002.49129487376,516214.1321799503,549530535607.62854,741303.2683103647,252955.69206719202,107958061228.18387,328569.7204980761,699235.0068519136,994507313122.4686,997249.8749673868,,,,,
345233.8925859574,232107728060.83624,481775.5992792041,598714.9615271221,1374942549612.5188,1172579.442772437,438148.3744802123,945569646809.0986,972404.0553232481,690603.6829068976,1542654621640.8528,1242036.481606258,,,,,
388360.6828739248,290482232409.4137,538964.0362857374,659685.228470959,930077206508.0006,964405.1049781936,263221.54547082906,132285824822.19182,363711.1832514802,896382.7746216585,1786363661281.3813,1336549.1615654777,,,,,
354478.17131052254,217878779502.8565,466774.87025637587,479737.91772671684,557680404025.6288,746780.0238528269,159155.7603809662,48639741067.22785,220544.19300273553,676409.6588954467,892753274380.0504,944856.2188926156,,,,,
329797.9417070352,208718621466.16153,456857.3316322739,627655.4286984329,779238834988.3942,882745.056620763,329887.59240709,210896148687.49905,459234.3069583315,925376.6441775218,1464357508486.664,1210106.403787148,,,,,
426871.24665290397,301541218549.9749,549127.6887482317,714696.3187901548,1522977247898.7324,1234089.6433803877,368849.13304982777,228887667185.43643,478422.0596768469,916401.2810338076,1830320114045.0537,1352893.2382287427,,,,,
417376.1331567178,447344348674.9024,668838.0586322091,606564.098644323,671452114502.8041,819421.8171996668,264200.57202216034,159894974027.93823,399868.695983992,716149.0082483281,929647532126.7712,964182.3127016857,,,,,
258552.1338690946,114734425316.19778,338724.7043193008,455578.9313876596,365234354880.3041,604346.221035843,272275.8008307537,122644870531.95865,350206.8967509901,586627.7714878947,602364571827.6372,776121.492955605,,,,,
397158.2155053672,417322349112.53357,646004.9141550965,616472.9785860853,699186213668.0565,836173.5547528734,293022.41586370143,146532884395.62488,382796.1394732513,781832.679491994,1134193464660.9175,1064985.1945735759,,,,,
240686.52505648453,104004124890.86737,322496.70524032856,566321.2581193222,1019342069278.1562,1009624.7170499325,278322.8802007291,157069210493.53757,396319.5812643347,676746.274968421,1141014032998.3186,1068182.584111124,,,,,
295301.7512778506,167814275670.19873,409651.4075042325,646760.5251398043,919324298862.907,958814.0063969169,330339.5437300975,204849769096.18277,452603.32422131277,728985.0230687935,1094493539920.2043,1046180.452847502,,,,,
285073.43511146406,145296892609.5286,381178.29503990465,517455.4991408634,555676468870.2677,745437.0992043981,317357.554222671,172741887273.1908,415622.28919199074,755528.1401958012,1133276773031.5742,1064554.7299371574,,,,,
372234.0884313667,224439130647.86008,473750.07192385744,553312.9998900377,521339630228.92896,722038.5240615136,287281.30241589533,142845473430.40546,377949.0354934187,733094.612344433,909074046154.6327,953453.7462061978,,,,,
