target_rmse,target_mae
1126201.3000050692,813571.5725244492
1562729.9535011323,986380.2468856812
1398350.8823492269,1056479.2435125732
1190730.950085023,854871.5518792069
1150026.446236676,808772.8906844329
1066221.3156293319,825906.1296026611
1068709.5872504427,828129.2537106323
1515253.2725064987,969779.6147133637
931110.7863595284,746670.381760559
1147732.7629181752,865094.5522544098
1263556.332033102,914988.6466563415
1059460.8153090845,776893.8402063751
893934.6213628283,712276.0113988327
1688223.2476133695,987032.3937104248
1062302.5225857254,822027.8603743133
1357505.515767154,900200.7396833801
1069555.4193378324,758598.8232559204
1803263.1561604084,1115307.7218858337
1243884.8856930702,964663.2299034118
1021138.0156847046,758981.9079418945
1555995.447021152,920391.1052332977
909516.4979359749,697277.6948661042
1193212.9870131179,752166.0459164429
1007955.5892490399,733067.0736531067
979724.4707665237,795382.2262376404
859216.3964129665,702638.4892573548
1163413.4415467244,867258.7954763031
981921.1786951147,734629.6401705933
1307415.671485825,896788.4253630829
1338366.3773737585,862540.6150391388
1360662.375081329,823746.5083740235
1152419.5780613236,850866.2161898804
1290889.56932376,855417.5503422547
982220.746315043,762392.8933975219
1441995.546565968,963673.5486027527
1032550.4259207105,791001.374690625
1632923.9518633147,859123.9823876953
1368707.2400742052,986129.0177600861
1296963.9709084183,864930.0716463563
998622.5078435948,786362.3010665893
1101770.8211712171,805160.089369812
1179800.3154123782,879435.6016065979
1587915.2241704746,959732.5305560302
1022610.1227018238,766622.652120044
974183.8448150113,741262.7917260742
1245343.2369219044,886937.8581307221
863493.140253995,687964.5274739075
1035455.2815430989,782743.099793396
1223912.8160810354,809238.1195605468
1267240.28211033,901512.5684472657
1131897.8660110803,769529.4832093811
1041043.6272555484,817639.4793302917
1228891.216275452,792622.6980001068
1010804.2645899486,786752.3283320236
1527718.0840868063,898869.2498513794
1360797.1951471425,933676.7776150513
1187420.2242806354,892293.1342362976
1406592.8358416483,958062.4548114914
1483012.2076881411,902853.4829730988
1235889.879703529,913323.1458072662
1247826.6197012903,885773.1050337219
1314971.4083615679,920858.859870224
1083942.593848178,786208.4361698242
1073857.3920101305,787182.247423935
1031675.564700958,802545.7048208618
1769507.4189238169,936393.8861328125
1123092.5642532564,706848.6933937073
1267860.3510417542,939478.4913815308
1156064.773646518,832812.3771424103
967490.3657135641,716445.9866369248
1447469.8496386767,958240.6416545166
1322974.5348508328,905007.920440979
1319534.0523987473,876394.7901176453
1392982.523772992,933401.5409875489
1146237.6804573657,857155.2024341583
1300456.2514165759,939395.6346346283
1424190.8810756546,919884.1671913147
1233941.9084100113,862663.1039307404
1687844.085226401,983970.439670639
1619791.6655866276,964235.3211448685
1139830.0012737266,799920.7445051575
1109767.8607830456,825183.4966058349
867766.1324114271,660082.7004695892
1436822.949721748,959159.4275601197
1261966.349126263,838369.1877579498
1170539.2028011258,798288.066773529
1652899.9938391952,1000256.349456482
1178578.4476798254,848068.3897049866
1616486.4366954959,973051.9718481445
1308613.3766101778,902348.161458435
1389832.2257014029,867255.8600305938
1105635.0365316377,872117.6872985077
1039112.2134007248,801680.5911175538
998026.7013464293,758896.7013694
1011396.4678222259,767824.4019449173
1101815.0424808087,835707.4271304321
1712419.4457000399,1133964.1207872771
1057295.67885738,824260.5369174958
1199072.7014087052,835194.5899635315
1429057.7732576637,955933.3268315125
