target_rmse,target_mae
652677.3,475839.28
891553.8,612190.2
942677.1,509890.84
1251492.9,582208.56
859422.4,562044.9
762813.2,564125.4
670989.06,557325.3
858074.25,724108.2
1126119.2,612924.25
1631907.8,656587.44
1539621.5,659760.8
821702.56,539053.06
771491.56,612055.4
629897.06,458904.47
915412.0,624744.5
945773.5,599750.8
761217.0,505919.7
1049734.2,663878.25
699928.06,535159.56
901764.25,528042.5
735008.75,477612.56
724114.56,543754.7
498458.47,376855.56
760050.94,556273.25
766824.5,546047.1
672317.5,498540.2
1206576.9,598463.4
676605.8,526716.6
636520.6,463964.1
676587.9,508555.62
1239153.9,631660.06
1581013.2,641234.94
934482.9,611341.06
6926364.0,6880329.0
1032551.6,538623.5
1081220.9,661340.94
746073.06,539958.7
1249616.9,656986.6
795694.2,560027.8
770233.7,548699.75
805197.6,525409.25
649937.25,528575.75
682345.56,514235.47
681000.1,516198.88
1034147.5,528069.8
646111.2,467232.28
,
636375.8,540122.8
980441.4,658082.56
800067.8,566643.25
1073187.9,590830.3
829218.75,604337.2
886658.4,576409.75
1068078.1,556638.2
1159849.1,599656.3
854286.25,537794.6
1355254.1,706829.2
751306.25,532970.4
966896.9,615758.6
608222.0,501531.12
829946.25,606783.4
1029199.1,644859.25
784014.56,610410.44
516173.84,416108.62
708163.5,544147.06
947951.8,659677.2
965244.5,623130.2
792208.7,551043.25
926539.6,611742.25
948921.94,643182.75
713109.4,548386.4
839645.2,601659.3
839751.75,551589.5
1479303.9,533155.5
739057.8,478965.8
729018.6,569645.4
600230.1,514086.56
964062.8,618303.2
950734.06,616366.4
984033.44,564845.94
1114971.2,703315.06
854590.75,578575.5
1072255.6,758493.94
998391.94,738333.44
956682.7,640659.06
705160.0,518982.0
808294.4,546796.9
794944.94,539694.94
963944.4,558022.8
668021.44,463618.88
1183797.6,593681.5
692116.06,564458.06
801508.0,629789.2
939585.56,614659.06
718524.0,505339.4
875716.44,515751.84
656663.0,480941.53
891894.1,609264.25
673893.2,478040.0
861438.4,548651.94
