source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
345193.3260972706,262465277821.66,512313.6518009841,818103.6096506774,1791966750196.6821,1338643.6232981062,289039.3546373231,165985739558.09995,407413.4749343717,821860.5749583043,1482959176718.2815,1217768.1128680785,,,,,
369381.11395445385,265979978972.47598,515732.4684101981,986936.5825713266,2076118884905.488,1440874.3473688078,268131.6103875652,134995884714.13756,367417.8611800705,930417.6142045191,1705355661685.6826,1305892.6685167057,,,,,
338523.102891512,215101210773.21912,463790.05031718727,846998.1764750602,1271008301122.0671,1127390.0394814862,285605.4980898912,165812849928.38458,407201.2400869926,925591.4648840735,1342557635554.772,1158687.8939364008,,,,,
551320.064051004,734495609679.6534,857027.1930806242,985498.8463208757,1983652235439.3762,1408421.8953990228,322849.3983448891,182529158168.05872,427234.31295725616,1146332.656977865,2328238749405.557,1525856.7263690117,,,,,
371226.84848691896,257630434041.76828,507573.0824637653,655902.102575257,672539433761.4656,820085.0161790944,213858.70809117108,83038582036.64587,288164.1581401925,701651.1224068231,822106022423.0906,906700.6244748542,,,,,
424505.3359557614,333331428434.43713,577348.6194964332,814061.7484470448,1284383247737.3,1133306.334464473,338269.04782677646,193833806070.36966,440265.60854825994,991512.6517252806,1915836713941.8474,1384137.5343302584,,,,,
357600.071601037,218990543720.58118,467964.2547466432,1083600.2434143685,2191134351758.9077,1480248.071020161,346632.6822484937,264162157500.56778,513967.0782263858,1041685.2619966752,2060260859599.2043,1435360.8813114576,,,,,
379315.16874728404,271148721832.13425,520719.427169886,1051396.4387407685,2112483634429.5125,1453438.5554365593,320309.830167588,172771339893.68915,415657.7196368295,1063471.4062944977,1919937279659.2366,1385618.013616753,,,,,
384403.11264834006,257784128892.40598,507724.46158561826,612327.0731086978,617844123796.1538,786030.6125057432,181062.88653331206,83305003627.80666,288626.0619344806,594995.0597032574,721847222145.682,849615.9262547295,,,,,
290285.16709715524,172358606982.75977,415160.941061126,814118.8847034249,1108645543068.8115,1052922.38226225,329031.1267227682,210400958267.64157,458694.8422073673,784452.3914305795,1122652656091.2732,1059553.0454353257,,,,,
498916.0630931971,609494922541.091,780701.5579215216,1121299.858973186,2491315860788.724,1578390.275181878,220197.56761574987,90791638519.97533,301316.50887393364,1171445.729451532,2227240397106.1133,1492394.1828840373,,,,,
284724.3132309863,149178364175.2551,386236.1507876433,812572.4995933679,1239070890404.4238,1113135.6118660583,345744.3221751619,282371669819.7134,531386.5540449,820828.4283309375,1323729981045.6458,1150534.6500847533,,,,,
