source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
368582.9002559026,270867248240.64362,520449.0832354723,711331.5863950588,1360309691308.3955,1166323.1504640537,300435.41657040216,181529271476.20837,426062.5206189913,888758.2665773871,1900268129531.7656,1378502.132581508,,,,,
360518.33665764984,256994637402.95978,506946.3851364952,619223.4738557807,796622769375.962,892537.2649788703,259485.88405102136,129824987270.63211,360312.3468195783,983781.5501559216,2188349600561.3716,1479307.1353040151,,,,,
335349.49953236117,207740273677.46106,455785.3372778254,575603.4392882135,576119625205.1456,759025.4443726809,269336.68081753957,151570372533.32864,389320.39830110193,834203.5809901138,1227555910584.0684,1107951.222114073,,,,,
566787.7601285495,787721470758.9357,887536.7433289371,688421.7698280073,1111154077411.0762,1054112.9338980129,300922.60694666894,163891061788.9831,404834.610413911,926198.8658868294,1700036925171.9963,1303854.6411207027,,,,,
385228.1980862868,259385282552.44284,509298.81459948723,474255.51676468283,352499510792.20044,593716.6923644647,202312.9075423015,71591811675.22394,267566.4621644946,593003.0809025258,560133796892.5957,748420.868824885,,,,,
430716.0445079282,342837800193.01495,585523.5265922411,572789.0990447594,730240680188.7727,854541.2103513632,328227.4480027993,192969590545.6164,439283.0414955902,812229.8406451192,1226836997600.328,1107626.7411002354,,,,,
353696.5558683704,213287340093.18582,461830.4235248971,641812.1695387174,862361646405.89,928634.2909918253,380795.1784098553,294246959923.7623,542445.3520160002,1044608.1019481475,2181491142472.0076,1476987.1842612608,,,,,
379852.760060923,269879216040.73483,519499.0048505722,695901.26529291,827363475326.3306,909595.2260903366,312478.73643489054,166091138873.33572,407542.8061852346,1075129.8447174772,2177495810720.7524,1475634.0368535663,,,,,
400124.0525305852,269712322378.26642,519338.3505752935,453595.9574163229,342865471030.7421,585547.1552580049,197133.10054547968,84866974502.18718,291319.3685668483,623659.2931555817,649155706595.3185,805701.9961470361,,,,,
287591.24037201755,172360898474.21945,415163.7008147743,518250.39500706695,472059014214.82477,687065.5094056351,330522.23424513696,189761464496.67285,435616.18943362613,822473.9957449619,1077567655607.941,1038059.5626494373,,,,,
487128.4430087225,611824299887.2332,782191.9840341201,651724.3185823219,776789234097.9939,881356.4739071211,216423.2041676283,89069587530.86375,298445.28398160986,1147990.1140115568,2518834936773.502,1587083.7837913604,,,,,
284374.14628642215,147315684335.13138,383817.25382678065,537757.4807132415,715003811775.2208,845578.9802113229,364656.758509467,279141365388.7417,528338.3058124232,792490.9883818887,1211626516645.4578,1100739.077459076,,,,,
281510.4851944786,135078687593.49176,367530.5260702732,635243.5559921467,852929396711.1796,923541.7677133934,353145.77826794895,293569497955.6617,541820.5403596855,958647.1538433688,2069476949026.4175,1438567.6727309069,,,,,
300062.1430729358,141066794943.42035,375588.5979944284,508211.7836706169,628118990839.3043,792539.583137211,340487.9232569629,244299426079.30194,494266.55367251177,895745.5244086022,1625257321729.0913,1274855.8042888974,,,,,
477028.4521669852,606012684559.2891,778468.1654115915,640757.6813332035,751783263878.1572,867054.3603939475,314865.3789458626,183255338409.08344,428083.3311507042,1069634.4515059008,1890543904873.4082,1374970.5105468293,,,,,
296456.45338823885,156128585589.9349,395131.09924420645,500928.9953795786,371523195202.0148,609527.0258175718,161618.5738587044,43828866053.72652,209353.44767575842,732645.6769406223,859310100053.8882,926989.805798256,,,,,
369466.7763778939,235633740546.1182,485421.1991107498,599305.6831606947,538255507576.8792,733658.98588982,256640.794108487,138806004929.06387,372566.7791538369,1139384.0870587684,2057315309708.5002,1434334.4483447715,,,,,
509260.6769524486,722580940579.1348,850047.6107719701,594638.6412860836,560423214971.0056,748614.1963461591,241257.39175373293,107330468867.80972,327613.2916531466,949951.6954413012,1362435153151.2202,1167233.9753242366,,,,,
362358.10878030036,264408568556.61948,514206.7371754472,518526.0262934403,591209604063.3599,768901.5568090364,227278.59991282827,93456898996.00714,305707.21122670156,741400.4344427868,1102565627214.7668,1050031.2505896036,,,,,
277350.7300647763,160178120820.16052,400222.58909282036,546923.9865007328,665842040276.2269,815991.4462028551,257428.86063338857,121346345543.50041,348348.02359637467,716051.5282062589,994352312240.1244,997172.1577742352,,,,,
