source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
389049.492753241,397067072894.9246,630132.5835845378,1126644.065171439,2532401459342.895,1591352.0852856212,298275.94527168537,179056274421.74112,423150.4158354817,661014.72049821,1335267868631.2705,1155537.9131085533,106105657.70611034,0.36334354127971824,1.0282766339576506,1.0,0.3923212156914357
265497.95599466836,133553900413.33838,365450.2707802231,875119.1877103716,1444588543375.29,1201910.372438515,269917.7892940858,147263880162.97806,383749.7624272594,584428.8496869954,912571460802.1976,955286.0622882538,82068672.46821977,0.3617068438014914,1.0229461794106882,1.0,0.37788436779582263
266297.81999710377,236392422482.6689,486202.038747956,802733.7689534387,1657022053132.2185,1287253.686392942,320616.6761325726,186424150257.4779,431768.63046946557,690040.6600086965,1380800713903.835,1175074.7694950458,79883442.97303487,0.36230978309988676,1.040597381088829,1.0,0.25200020070897383
365528.0201499249,268816034297.09363,518474.71905300615,1226292.0845265193,3124268191710.418,1767559.9542053498,394456.15653839556,329295749501.65424,573842.9658901939,875011.624922539,2582465238110.469,1607005.0522977423,113803968.79139219,0.3476842205407875,0.9984531863644326,1.0,0.3931666375301293
365289.7316461333,268984461897.59576,518637.11966807366,962976.7109545748,2135290874511.0305,1461263.4514388673,232992.6746341404,109679142525.19022,331178.4149445586,725820.696445372,1600463215343.376,1265094.1527583534,93095028.5950715,0.35118688252851704,1.064438508417256,1.0,0.2533142128047439
392317.60951426014,583975073782.9478,764182.6180848056,812961.1247823854,1727957948345.644,1314518.1430264262,296276.8122484291,165453219811.66327,406759.4126896921,715946.6839491186,1416092099235.5376,1189996.6803464359,81625886.56225798,0.37419684839643985,1.047669338392749,1.0,0.2802747097918039
340795.97062344005,224888336610.95084,474223.93087121914,806446.6984170192,1309821765614.6616,1144474.449524611,219961.8764355104,106918746754.33044,326984.3218784816,616876.4356419687,1039616479751.74,1019615.8491077608,79656063.01981558,0.34527737663733327,1.068977130256539,1.0,0.2356190421292595
357204.12157618994,256349601510.5103,506309.7880848348,949527.2134861398,1563574791228.2107,1250429.842585425,238711.34328200677,104785771898.7703,323706.3050031159,520047.0698597768,668760124794.1469,817777.5521461486,91217422.83491574,0.3403705591308252,1.0567907828262406,1.0,0.4011544129404581
335416.40187641926,240312601880.8509,490216.8926922561,766734.0429574469,1523165487063.5654,1234165.9074304255,359690.4292072342,221774647089.9551,470929.5563987836,706137.4885336357,1527015193777.692,1235724.5622620324,76779114.07927299,0.32393089447351014,1.0584184527751286,1.0,0.33678345426818057
232836.30975323444,118142507840.61601,343718.64633827476,625790.167945078,901615666296.6987,949534.4471353837,223244.41615620893,85515004741.74423,292429.48678569373,533946.9205734838,809137022910.1116,899520.4405182305,59749613.58052839,0.3624573146199797,1.0276880360635205,1.0,0.2997902659667182
447123.365114091,374553485055.2579,612007.7491790915,936002.1479654883,1532933030650.8628,1238116.7273932062,292582.3263774639,157773434647.05792,397207.0425446381,569292.1402821084,670799473951.2202,819023.4880339026,88325556.40847036,0.3559237871726882,1.0304823236357987,1.0,0.29969224004528994
441189.5548394226,348636835678.40784,590454.7702224175,941058.0057050373,1570475614152.9673,1253186.1849513692,196873.70617418236,65786450295.91737,256488.69428479177,583927.4055162851,1034958393593.7236,1017329.0488301824,93366238.29893813,0.36196559713535953,1.0503072913298632,1.0,0.29906607575915006
246124.77076526024,137468162849.30743,370766.9926642708,637962.9815574504,685142675969.2988,827733.4570798131,238881.7089404425,97074554611.02484,311567.8972728494,486759.5009873656,528686331692.6814,727108.1980645531,57951749.97243971,0.3665063592040555,1.0330641459216423,1.0,0.2518696535292931
287540.6135361081,135625504400.44853,368273.6813844407,983235.6277442863,2356605179231.69,1535123.8318883886,386061.13341149763,308539445585.807,555463.2711402321,764168.8585843946,1907889680688.5793,1381263.7983703834,93798902.68091518,0.37807406253348835,1.039091066757691,1.0,0.2560593319600894
460959.5005478779,597098411564.1382,772721.4320595347,691279.0221431106,917057348916.8558,957631.113172946,282315.53135773493,160276998482.49713,400346.09837301663,635015.1428005294,794505542538.1501,891350.4039030611,65444698.862559095,0.36058716555080683,1.0595870401789167,1.0,0.25834977400578346
397555.5608327821,302610991031.44,550100.8916839164,628620.8721092409,683154661293.1188,826531.7061632414,245817.57342967155,113114891090.11832,336325.573054025,482731.285893134,557260951120.2189,746499.1300197334,53904965.18456402,0.37827406739984554,1.026746142201064,1.0,0.30864176792746223
360234.1735579813,417798232611.22894,646373.13729086,1218676.9036631254,2691331024660.2305,1640527.6665330061,484285.4050733575,401486119935.0176,633629.3237650997,871898.1807245697,2354249954234.0293,1534356.5277451095,110456572.28569047,0.34921736699333045,1.0156332640514427,1.0,0.37067042650356147
289217.97007892904,142335637160.0081,377273.955051244,932027.5756559361,1655400927689.0593,1286623.8485622203,220495.80903778574,96322771928.84122,310359.1015724224,648387.2225360416,901949584996.4761,949710.2637101887,91003120.64095892,0.3542316363087606,1.049556930702191,1.0,0.26728052000465913
539458.5400018324,609526062413.4132,780721.5011855464,1169892.881102433,2451932808004.0786,1565864.8753976438,355732.4188058739,230501600480.1802,480105.82216859254,842223.4479645907,2044128065382.2698,1429730.067314201,113903657.38769118,0.39274373012343367,1.0446775519823857,1.0,0.31224881535521404
330054.07867777743,242608413901.52103,492552.9554286737,613349.6622667763,669986965106.6362,818527.3148201202,271774.1913834861,136395783793.5811,369317.9981988166,570567.1570328706,625703416770.0503,791014.1697656561,51360320.66029296,0.35978053511919067,1.0498608244621295,1.0,0.38320727074573435
326450.73793482635,209529962617.0992,457744.4293676322,1370194.369038296,3810232660117.4004,1951981.726378964,264983.9269136997,142824276621.90567,377920.99256578175,876082.6107574413,3375181997567.027,1837166.8398833643,132138514.24958381,0.331376592148608,1.0389445580121905,1.0,0.402348650003309
355630.82301865367,426776640367.3919,653281.4403971629,865129.3825010514,1234780510963.36,1111206.7813703083,293267.5515509158,151094955895.3176,388709.346292725,554798.5665483766,614002824626.3127,783583.3233462238,80565254.17908375,0.32075322378107796,1.0074093835269629,1.0,0.23660412642648088
286690.9963641291,135388974575.57715,367952.40803068154,887031.2800224904,1572846470915.7285,1254131.7597907041,331954.6721972451,260407748844.7554,510301.6253597037,579441.8588624574,930071783390.0565,964402.2933351292,83436562.22758962,0.3546428560977015,1.0413226101536632,1.0,0.292355350039498
277033.21809669014,162641482965.17136,403288.3372540934,950314.6048318747,1685692807563.2944,1298342.3306521645,215289.82763479478,93799548096.24213,306267.1188623456,471715.3181696561,396747613706.19354,629879.0468861411,91239604.53056711,0.36500809339039225,1.0442437994040499,1.0,0.29806746241929377
312342.09038215043,193785149414.35822,440210.3467824879,657203.4716787718,975122849749.1067,987483.088335748,326528.9219030325,198001199285.66086,444973.2568207452,584069.4480204043,977249000733.2504,988559.0527294009,61579708.59150421,0.3692054943946032,1.01332498661052,1.0,0.30659146626800937
352101.6930180731,251510228600.19763,501507.9546729021,728428.3414880784,1512291940874.633,1229752.7966524952,201689.10998426977,64718056079.57561,254397.43725040866,651967.3969592333,1540541499519.0107,1241185.5217972093,70576862.5846333,0.36097714872744247,1.0533752612251734,1.0,0.3577414194797909
368790.3627440004,321656463755.463,567147.6560433473,850985.6578077725,2062023527836.5945,1435974.7657381012,349887.53010537766,237310479224.12488,487145.23422088905,708061.6566608839,2246415266879.569,1498804.6126428784,79159952.47911045,0.3575398770316905,1.0448418678615716,1.0,0.34103012184033493
460876.17485229264,439062350827.7755,662617.8014721423,865794.8648535927,1569944393162.89,1252974.2188739919,237978.56906346316,118949616126.24435,344890.7307050225,716217.2461615005,1209684885200.7356,1099856.756673675,79053709.06766748,0.35598264458588524,1.041736667344993,1.0,0.27784919798858787
372280.46830340044,313454796912.68146,559870.3393757178,857226.5101993487,1396502463034.6575,1181737.0532545121,241320.01688336523,106356497354.16136,326123.43882978015,640569.4018773555,1131952017050.795,1063932.3366881914,80006137.39894617,0.34923187131956374,1.0234782910698637,1.0,0.34417163923933514
328181.1114419417,211942443196.29803,460372.0703912196,897211.4474985894,1338002931400.1313,1156720.766390978,213324.8065596413,90557793271.80508,300928.2194673758,672534.5467682432,1150365185339.5518,1072550.784503723,84760311.61813878,0.36585144435235006,1.02949271535483,1.0,0.2934016562017849
324449.29516652785,173103780794.35434,416057.424875887,657734.8201442464,861535812435.1005,928189.534758446,261969.06646257947,156742848936.3767,395907.6267721761,472505.0683542903,574871776555.8505,758202.99165583,64807325.28839828,0.3740388825581315,1.005086038765482,1.0,0.28384386357308883
241643.19709853648,106551310354.38008,326421.98203304276,766580.084774857,1807998262264.675,1344618.2589362212,436317.64502397744,373716015283.55835,611323.1676319477,616213.4554740436,1680049935302.968,1296167.4024997575,76652841.01310703,0.3377714341295116,1.0011378438012242,1.0,0.409629000887599
361308.75012891524,302318181409.32654,549834.6855276835,717285.9019904643,1187400471835.706,1089679.0682745567,225084.13794876743,93220421250.19131,305320.1946321129,622783.5876902525,984758465572.5337,992349.9713168403,66596652.96897327,0.33139476853839755,1.0610020681705816,1.0,0.27511555335285304
332965.233825639,271408529247.63477,520968.8371175715,701826.0388834929,825901037149.9558,908790.9754998428,336789.7934263705,180877005570.68234,425296.3738038244,492680.34416512214,515058955557.92,717676.0798284418,58092371.51646619,0.35893828327328453,1.044760911090047,1.0,0.21860431989962176
617959.5174347103,796741082719.5013,892603.5417359162,1011837.3042302487,1601908142473.5264,1265665.098860487,261405.24253217928,120570488282.22133,347232.6140820031,725607.1374494348,1609969456330.8193,1268845.7180961047,96737611.07610473,0.3531639457482507,1.0145920963074886,1.0,0.23450273952384107
337436.4855483914,230188657280.93564,479779.80082631204,763884.6804789774,1062112511341.1223,1030588.4296561467,223694.98660252683,95627516681.2401,309236.99112693506,556192.1687269489,609630914052.54,780788.6487728546,75406294.25279777,0.37144474945798733,1.0578935985544362,1.0,0.29623456791385877
383205.01009514794,290224207536.2911,538724.6119644907,1035195.1162865896,2103277320201.085,1450268.0166786707,305736.9038989213,187748357179.32126,433299.38515917753,692152.7752021992,1291060948358.8774,1136248.6296400437,96235487.28783198,0.32696925927168863,1.0251333751094232,1.0,0.24404973521610931
298975.22088498686,289699209073.39923,538237.1308943663,631102.3290622762,1474049403606.6982,1214104.3627327506,223131.4527862068,84040946078.90811,289898.1650147308,565093.1956968087,1220487151862.8677,1104756.6029958217,63601332.45248561,0.29913635312211856,1.0007542979449005,1.0,0.3065792177774017
421162.8341812167,322304162801.8224,567718.3833572966,987711.2422177286,1504320632662.2324,1226507.4939282811,319642.70546368527,165879626816.10886,407283.2267797298,580374.7834019519,779423834087.4637,882849.8366582302,90781150.62280591,0.35180206754988175,1.0547543886178161,1.0,0.25777178576125864
299960.1903511078,179587081319.19717,423777.15997820976,1170195.877806915,5400057765030.518,2323802.436746833,318881.07563023246,164437978951.98206,405509.5300384222,978658.8085616973,5973204885019.37,2444014.092639273,112142188.29812998,0.34863692878541586,1.0341485018443974,1.0,0.27715494416986014
313805.54011775524,196290043559.8196,443046.3221377869,697249.1101882048,1683127929664.5193,1297354.203625409,482907.92885622004,803003803386.1569,896104.7948684109,563459.4783388984,1451362545935.56,1204725.0914360338,67908672.56729,0.36090378763909053,1.0144860876554158,1.0,0.27716170695178327
353293.66572038416,218953150807.98553,467924.30029651755,679491.143654605,840901133504.8804,917006.615845753,311413.1911754015,228836977250.38605,478369.08057522494,507716.6715362832,511835171148.3245,715426.5658670529,60978387.484565936,0.3707249458215169,1.04740391084181,1.0,0.2562495796314181
356304.80041833,188525556410.49463,434195.2975453496,1096045.9596390894,2842989988222.736,1686116.8370616361,527695.5156333483,492834022563.09564,702021.3832662761,882569.4553119363,3044678407288.177,1744900.6869412875,104107079.38082589,0.3403280016821827,1.0261900567296163,1.0,0.2635054707545481
424758.870696544,390463421775.8655,624870.7240508755,1115862.6494358217,2513938547019.2896,1585540.4589663707,296267.2212960631,203571776204.9513,451189.2908801707,708598.0429374112,1157279605160.982,1075769.3085234314,106732609.43113524,0.36659595666179323,1.0304167721850654,1.0,0.24818700034641916
273933.7205608891,126728515227.66338,355989.4875240888,924890.2994187494,1897772978943.6375,1377596.8129113966,248802.09994875395,136509008751.98184,369471.2556505334,649892.7935614645,1361283586742.2307,1166740.5824527708,84146234.63529898,0.348939042336227,1.040250065134407,1.0,0.33448319202900506
376968.0819547435,280945192544.3705,530042.6327611492,1053946.713462296,1918971839355.9568,1385269.5908580238,222170.06750631932,88925454077.29744,298203.7123801403,648860.3258257917,895148181277.1761,946122.7094183799,103263547.39530212,0.32133308286866563,1.0462262917124958,1.0,0.2420501230446583
540885.5309158075,566894033536.5822,752923.6571768629,1006917.7743125344,1965945848610.0498,1402121.9093253089,227326.66868167013,105848139536.7626,325343.11047994025,682586.8319656227,1009769148528.8413,1004872.7026488686,96855730.05940153,0.35479042002705563,1.0366556950690935,1.0,0.30663976434554313
241276.47569802057,99552361322.24059,315519.19327077485,884339.6693723717,1698230816275.5679,1303161.8534455218,253957.63824929655,113947451287.49484,337561.03342580114,669087.5484285359,1655489878153.704,1286658.4154909586,83870649.19429909,0.3400304646950123,1.0323263674440748,1.0,0.3557757653519192
265433.067896477,127849299074.88736,357560.2034271814,687172.9485853057,928415045068.1523,963542.9648272839,263583.05083168077,137371781902.25615,370636.994783651,526278.1003790932,810262115894.2047,900145.608162482,61152445.61912721,0.3716213897733975,1.0711747640893359,1.0,0.2989759497969183
380935.81961665105,296962765414.7723,544942.901059159,734447.4922675784,1258320826324.9507,1121749.0032645229,368135.92537070776,217526566456.66757,466397.4340159555,727297.1050646562,1160182246251.8157,1077117.563802492,73888437.57380186,0.348339953223171,1.0591490516833562,1.0,0.3180801783485017
437194.1959880536,554658198574.5477,744753.7838605103,1045513.0386927436,3264737298210.496,1806858.4056894155,333397.49699750403,198441544684.53442,445467.7818704002,881048.6725441028,2701900586020.3955,1643745.900685503,105605059.5265144,0.34574816135540276,1.0520256993791552,1.0,0.278650897444399
344561.07149928727,249836669708.06445,499836.6430225624,893755.5299004435,1878104010514.8394,1370439.3494477745,276151.5711145745,146470794484.0774,382715.0303869413,642895.5771371315,1229379272325.0596,1108773.7696775927,88324991.69882958,0.3451962007988263,1.0493572363248327,1.0,0.2634012438354304
310985.0256473103,197650139478.8879,444578.6088858616,1072793.489408429,2077588106811.117,1441384.094130054,337187.3358259152,212517871979.39777,460996.60734044213,748792.2735462699,1818448583645.9128,1348498.6405799277,101484182.52770492,0.30230681394646636,1.0546786328714395,1.0,0.2771699698117078
593209.355158386,744408141490.49,862790.9025311347,1270569.0642947622,3062805018514.7593,1750087.1459772394,355779.6854129962,251570702148.5928,501568.24276322837,853256.8254704564,1783858164771.4563,1335611.5321347956,118099019.78641076,0.2975037799904126,1.0327591009431445,1.0,0.22970899252249088
280436.989191928,152727917043.34714,390804.1927146472,730774.0996503851,1063515611511.6389,1031268.9326803358,354858.35816619283,281502400142.0775,530567.9976610703,571422.2323559758,803163557731.4059,896193.9286401164,66242645.65674223,0.34583208255806375,1.0307119825503728,1.0,0.33384094251578095
470212.73999349703,559072451419.1968,747711.4760515561,1000603.8763554132,2168453403175.2644,1472566.9435293134,395182.3937278006,247020427702.6606,497011.4965497887,700207.5768117597,1197738558824.2095,1094412.426292853,94494594.57150641,0.3814341114497048,1.0421277223696621,1.0,0.2529681709158279
425414.25901909784,425338672602.8791,652179.9388227754,874025.8010947417,1275502213300.1353,1129381.340956249,368884.5333025226,250941272440.49042,500940.3881106917,727372.1085419065,1023763228585.8872,1011811.8543414518,79018517.34000379,0.3440257412810653,1.0537792073104275,1.0,0.26044936592059503
298150.40133037616,170597962373.47253,413035.0619178383,652124.4955226341,756254276625.4005,869628.815429549,266567.81489735784,155388875048.1707,394193.9561284149,543017.4262876121,606603816985.0292,778847.7495538067,56200475.35383983,0.3589567002088158,1.0425441344765276,1.0,0.22450421526221595
332067.1012460311,246874418154.53867,496864.5873420027,1079009.8198594942,2157421039945.667,1468816.2035958301,313022.88134328945,214212838672.10968,462831.3285335271,588054.2506138389,855717364668.6698,925049.9255006022,102611399.05952244,0.3486719074726658,1.0432525623055358,1.0,0.29098086353191044
446139.3989340413,405921670911.77374,637119.8246105467,785321.3688980091,1194024803607.2886,1092714.4199685885,286783.5284206965,182641716044.3723,427366.0211626239,687090.8878941957,1016882751730.4424,1008406.0450683754,72400412.21535884,0.36410860898614306,1.049451521970994,1.0,0.22529789503560452
346977.9336622356,251936881219.67908,501933.14417328435,911512.0844347279,2162963399876.1152,1470701.6692300704,455120.118347876,406673004874.9602,637709.1851894249,833285.4779595935,2051091558184.712,1432163.2442514058,82718637.30619194,0.3768072561533329,1.0650342490994453,1.0,0.25544806102491324
357621.7663581908,252688483369.256,502681.2940315723,961768.3122946828,1911522398777.8225,1382578.1709465191,329077.7408997452,201898179018.99625,449330.81245224684,882005.953572956,1826169212960.7905,1351358.284453383,90325748.0129994,0.37649192084804783,1.0853572639014475,1.0,0.3217222240351715
329676.3465909193,197162807678.82074,444030.18780125835,666051.2345854668,1394835228657.896,1181031.4257706676,417278.8662288182,329477431031.42236,574001.2465416973,614949.579047424,1212651147217.5984,1101204.407554564,69225019.33344558,0.3670839349722067,1.0409111151334707,1.0,0.2395397556597408
310997.60669724434,227007814929.66315,476453.371201908,862362.1920291642,1710401372936.57,1307823.1428356704,427072.2407680279,411882595387.519,641780.8001081982,795900.3291952967,1839235528787.059,1356184.1795224787,82236378.24114692,0.34987275287954644,1.0570403012841987,1.0,0.23619321931943482
324471.14280876244,205838313090.5651,453694.07433926786,682020.6120857866,758119334591.5347,870700.4850070629,301856.1875368283,156481794210.8303,395577.7979245426,550891.0935912844,657547122890.2878,810892.7937096789,56984121.87307214,0.3602359742316482,1.0414587587803599,1.0,0.2780184128985381
