target_rmse,target_mae
1132558.3804362875,857679.6988291931
1278820.8567834618,865984.0315342712
1007446.9674625484,788612.5977384949
1164558.5703220167,782917.4398493713
1050940.0352991605,724030.9295735992
1304096.2549909956,951083.2422711182
1293381.4284218606,842757.6988154602
1082462.373271179,799023.3331725311
937760.317884308,721844.0071194458
1187878.8434628942,853346.7468350983
1302269.3678359324,871037.3819328308
1033814.2864420463,779191.7097001649
1160264.927794756,855993.8310253907
1431088.1589664281,978627.601713591
1194466.1969013102,831748.6193320465
1439471.3424849284,970827.027277832
1987394.4671936815,986325.3608062745
1766606.677688237,1033339.5632133484
1207778.777921919,789501.0280658721
874877.1683923779,722010.0222808837
1267060.9200773414,888882.0144555664
1062638.2572352937,805328.989881134
993123.8258110494,791058.0339050293
1264097.4092044553,857593.2925609589
1098179.8889191041,755951.6115489807
1548919.479885551,845058.9983648498
1008993.4470485843,802865.1991703797
1191977.4005315648,879570.8127323914
1062508.61141079,827047.7166065216
1019299.3578447821,744986.0009783936
1559801.6915877939,1003728.7138690186
1125647.3586476326,837881.8055150604
1193217.8889273352,859787.8412916565
1075642.5368566033,796393.8825754669
1532298.4875797103,925186.148606221
1088803.4396100661,799694.954257756
1281721.8487610763,927818.4646251679
1488062.2356334925,904318.8885018158
1048088.0255392485,745753.8370531463
1277463.8916566784,875626.1361126709
1250801.1477126745,874715.219932022
1159194.1990766502,857318.2378714752
1493435.201732037,977333.694471283
1097173.5019047891,752077.3670840454
1168907.7765673778,905759.7195898438
1139522.649913252,837322.5746937545
1122320.8474176724,899372.9239180755
964545.7645260618,746655.9606388093
1313744.4566502527,907596.2916043091
1771257.554462238,1057751.8831547545
1135420.766168936,826687.4843244934
1294200.9597647605,832298.6305577973
1206611.3230244156,893640.8010949707
1242310.1321199585,932639.682123204
1627744.262329103,970602.0601405335
1264266.2556957996,917105.4051036835
1452670.1369956168,857102.9446321869
1213520.7696035544,875480.6850601196
966909.5633096653,725724.7693495178
1101854.582874977,743632.79131958
1585107.773084388,1005327.9101025391
1131261.8244048692,841042.6079925537
1396402.6062024077,969804.0173931884
1200287.58570208,781440.3983229065
1333863.8316102617,888059.479366684
1572359.33619075,996572.9149702453
1036253.9885683814,817907.0284926605
1236375.4567018305,906276.4213070679
867027.2269422872,668384.1811558533
1172635.8242045175,909775.2117012024
909875.5720383923,745809.7892780518
1311954.7399220644,934806.9000669861
2054076.8834856667,1094714.214127426
1084254.5199352289,837990.7405480194
1051654.5176376612,764319.7502206421
1925227.7641200898,1055731.1653221892
1041375.3149024821,815538.31439682
1079800.993015279,791514.1423139954
1090234.6670662963,802207.2830685425
1547192.564234751,894037.2102980805
1199289.067519908,875982.4854299164
1289209.8427547629,862271.0811199951
1302846.7630344476,917955.3137280274
1209045.5273350195,924972.1418473053
1240437.4857497998,924199.285402298
1585737.5102321468,1070278.7289527892
977412.6546547564,718015.1883493805
1209653.9753814924,815488.2282591248
1078139.8154828975,808756.9389707947
1398593.5020093601,964013.410348816
1176793.1739912033,889801.3290194488
1064844.5841558427,758832.7522673034
1314608.6186651927,966030.5948223877
1018973.8941482771,764984.4215097046
1066018.091732296,763648.4372637176
1085972.8748504699,768218.9791194153
1970902.1024623348,1005169.907167511
1072921.2301917165,745430.0676078796
1050234.7568358195,782664.9527799225
1114222.3055948538,855020.1355444336
