source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
292356.82868510537,151652547241.0734,389425.92009401915,757330.5913635003,1510050939579.5527,1228841.2995906156,307637.5150707669,189585513477.3276,435414.1861231988,746285.6276721096,1392469029548.814,1180029.2494463066,,,,,
258738.2090094931,113607923309.38914,337057.7447699268,715476.1998547438,1268149873815.104,1126121.6070279018,343499.382096887,216298517180.75693,465079.0440137643,744452.0307632637,1446918347892.8826,1202879.1908969423,,,,,
260693.87353834434,131230707382.13289,362257.7913339241,666073.1943882122,908797821114.5107,953308.880224301,255405.75501517634,153580151943.13647,391893.03635448345,694609.5499356198,995896633989.8774,997946.2079640753,,,,,
266794.12011477543,128565492406.48392,358560.305118238,820029.6876324835,2076358747060.3284,1440957.579896205,343256.82507188036,201535261062.2667,448926.7880871743,758038.7875302668,1886219112707.3696,1373396.9246752264,,,,,
341434.8110124675,247966965878.60156,497962.81575896963,792623.1265415461,1147157668452.7166,1071054.4656798348,228386.29414164397,94377269864.1771,307208.8375424397,680738.4341418766,759253188143.8079,871351.3574579476,,,,,
320412.4162757376,189792675823.40768,435652.0123027181,688710.2833074075,1522046845708.7898,1233712.62687418,538433.8425233611,747151830434.6871,864379.4481792629,696197.5143747607,1613141905224.1946,1270095.2347065138,,,,,
411703.46088565537,372374058004.7069,610224.596361624,659079.3777733915,821865004172.8562,906567.7052337879,312918.96818802797,248231502749.80334,498228.3640558849,747848.0249079033,1033160914444.99,1016445.2343559834,,,,,
370056.91868930217,261593629859.34335,511462.2467585886,1067596.4226006644,2294521113259.369,1514767.6763317103,521653.26456695533,632572383093.9279,795344.1915887283,1055469.4927864098,2127738069621.902,1458676.8215139029,,,,,
366255.34687815385,227383906770.51068,476847.88640667236,550898.3921174322,502393925150.1923,708797.5205587223,214117.05856366298,84540813973.12807,290759.0307679678,567990.4303424731,528837589329.0657,727212.2037817199,,,,,
282058.77945518197,140729969936.00275,375139.9338060436,826946.4350372727,1452626857447.598,1205249.7075077835,274622.3714841033,149004979238.18982,386011.6309623193,809894.2183990902,1462966372117.297,1209531.468014494,,,,,
249909.18557608052,118507234612.9496,344248.7975475726,604019.8726477673,842687808479.1008,917980.287631004,214259.27641964576,75376015149.02882,274546.92704349983,588608.6609099705,838192093028.169,915528.3136136036,,,,,
313570.87452786724,229447010560.87952,479006.2740308101,641603.8799845318,880956944790.466,938593.066664391,249754.02257565566,111402083080.53117,333769.5059176784,677569.1672714846,854351673747.4176,924311.4592751827,,,,,
310121.0250106648,224783377370.24664,474113.25373822515,572980.4439009435,593964191549.8839,770690.7236692836,282367.83264698065,134104280411.01297,366202.512840932,658753.1627358302,772603063314.9882,878978.4202783298,,,,,
342190.484625101,192005906921.39297,438184.7862733175,874562.5892933093,2000338734522.939,1414333.3180417335,281443.7181441226,135072950564.90855,367522.7211546363,858026.8707816903,1942740455194.5146,1393822.246627781,,,,,
444262.8856768664,449126493272.19366,670169.0035149296,837148.5495838611,3303483123603.7173,1817548.6578366251,236213.095820531,104398928056.81529,323108.22963337734,740358.7091186292,2067550965426.354,1437898.1067608213,,,,,
235661.0614255616,90240059171.65817,300399.8321764814,685303.7737858045,1522350902717.5696,1233835.8491783133,456375.9772236061,781608884677.1785,884086.4690046888,639804.561646625,1564650057037.8564,1250859.7271628247,,,,,
332592.69483807025,202538396682.1575,450042.66095800017,728605.4153605917,1019270387833.2606,1009589.2173717292,247845.06013275287,114834545036.00482,338872.4613125192,721410.4021176281,1126567604051.6577,1061398.890168846,,,,,
261860.98343325398,124544630484.52019,352908.81327124743,586248.3273457563,603263602205.6208,776700.45848166,266289.03820189094,115062569866.31409,339208.7408459783,699464.7440924685,807235129107.3706,898462.64758607,,,,,
354997.50798501883,254948638400.9826,504924.3887959687,630576.1541718565,727077084487.1787,852688.1519566099,310830.046508838,154208556915.16412,392693.97361707006,721636.6721932471,905903743699.6594,951789.7581397162,,,,,
382099.4559998471,387478015576.87994,622477.321335388,607355.1180206378,603736547364.325,777004.8567186211,198375.2295910462,68453809475.37445,261636.78922386747,605283.6488209659,628136891706.706,792550.8764153289,,,,,
376897.78392823995,297710823875.28973,545628.83343468,657589.4327934326,656242674374.9923,810088.0658144474,185460.3576383925,56844265426.85323,238420.35447262725,667803.1530758332,780203543020.76,883291.312660076,,,,,
287263.077850821,153776256558.0332,392143.15824457933,840177.68333474,2268281900998.3687,1506081.6382249566,231450.34132587284,87802502304.282,296314.8702044533,891033.3375019856,2933250458485.2036,1712673.482741297,,,,,
405908.73000590055,314523302457.9371,560823.7713024806,773728.6933295042,1073324011050.4469,1036013.5187585377,192480.12037156065,60160404084.85914,245276.17920389076,868427.1851860429,1685461250187.4612,1298253.153351634,,,,,
275313.27576917614,120653510189.24724,347352.14147784846,852263.5905138989,3232027994076.3306,1797784.1900729716,311598.52635610494,194202348852.74176,440683.95574690687,853325.1409414937,3416772855029.647,1848451.4748917937,,,,,
300943.3692435441,179751704799.2186,423971.349031062,712652.7786407704,1404086337245.0571,1184941.4910640344,217620.79779136356,76821759956.97731,277167.386171204,763962.2009651188,1171805868771.2625,1082499.823912809,,,,,
298446.60403635935,139044647761.78717,372886.91015076835,744105.1406196579,1108978436779.903,1053080.4512381298,294105.97591833875,170017611241.24533,412331.9187756938,733581.5786411237,977589037404.4235,988731.0237897987,,,,,
423873.85873382975,341320995879.89325,584226.8359805917,645144.5111480522,756370002846.1184,869695.3505947462,208398.46692436517,80287908113.10211,283351.20983172476,808914.0852392821,1198928177037.8647,1094955.7877091954,,,,,
410199.6278896324,290978740015.6769,539424.452556312,865169.6230446446,1504807296497.5037,1226705.8720400354,337061.5824751711,233740319213.8961,483466.9784110349,881243.6612752185,1425627404401.9395,1193996.4004978992,,,,,
435663.97244871187,368757754444.8212,607254.2749498115,933732.4285998631,1842117579004.5984,1357246.322155488,353614.3003631722,214408962412.40543,463043.1539418388,907540.6340752426,1890344876117.9644,1374898.1329967557,,,,,
310245.00264120544,239586744448.75516,489475.9896550138,691253.1859092821,875955939313.1826,935925.1782665015,274742.10094930156,143517528681.05557,378837.0740583022,617514.1253260049,764333225871.6647,874261.5317350207,,,,,
419743.55131628254,352572362353.803,593778.0413199894,895144.6261534414,1746513518472.2822,1321557.2323862037,337235.7964967382,187987023943.82907,433574.70399439713,868595.2752572065,1512001583787.5557,1229634.735922646,,,,,
398658.7854882065,374903346810.1769,612293.5136110596,704313.2467689535,817071060098.8298,903919.8305706263,223578.31945328237,83599384584.7893,289135.5816650543,762894.26310742,1119601949370.1948,1058112.4464678576,,,,,
294820.08186715894,138329279684.67233,371926.44391690183,691354.5479202446,1531702851005.108,1237619.8329879446,378850.34217216447,287440066290.279,536134.3733526876,729372.1823457398,1455246899546.9617,1206336.1469950909,,,,,
310698.1541430618,167594070432.398,409382.5477867834,665122.3266180777,865656724326.1289,930406.7520854139,298829.7461634597,158758402487.39957,398444.9805022013,725506.1357469058,948740124099.7219,974032.9173594299,,,,,
353141.9775732525,275731481509.87634,525101.4011692184,651660.9581548739,671607389709.7312,819516.5585329751,246413.13758603443,106069848503.73317,325683.6632435425,630810.7750796683,633959650747.8677,796215.8317616321,,,,,
377422.780927522,238613948365.8835,488481.26715963584,702327.6541842101,955994980364.0222,977749.9579974535,242071.20126348746,97882681352.99603,312862.0804012465,779184.2090762281,1329777393242.8413,1153159.7431591346,,,,,
277164.05303464556,156871891155.1963,396070.56335354724,703582.6099359175,1254546859220.4143,1120065.5602331562,261751.8514849486,133736404907.73979,365699.8836583624,643438.6309362933,1182528291570.5298,1087441.1669467594,,,,,
256696.2105560678,120033509741.33511,346458.5252830923,631967.8247586587,1011626112876.3573,1005796.2581340007,368223.9413087893,268940956124.27707,518595.1755698052,668898.9065515198,1030427922529.6395,1015099.9569153964,,,,,
276636.24568162754,130826049986.26523,361698.83879584854,717338.2452435774,1101080542974.4521,1049323.8503791154,339486.3017206333,241878913194.86734,491811.8676840437,665816.681238115,999505066875.0217,999752.5028100814,,,,,
259761.77139531687,111942475454.963,334578.0558479038,542595.5508018988,511419360328.68695,715135.9033978696,273798.6090516144,144498299858.29355,380129.31991401763,514344.4074863892,463398094772.2276,680733.4976128526,,,,,
334146.5361327095,183806788613.38617,428726.9394537579,688082.8833668649,858432773145.8873,926516.4721395337,272076.2961256757,150418999143.60828,387838.88297024614,644097.5045708203,751785001916.7278,867055.3626595754,,,,,
288940.4747035374,135087118283.0943,367541.99526461505,727991.0497617801,1620144549054.8206,1272848.9891007575,292160.74231248425,188728871791.47836,434429.36340845836,881873.5798436159,2157122852888.047,1468714.6941758455,,,,,
390535.2736629376,274880677882.16724,524290.6425659028,575515.186003736,526165409262.3476,725372.6002974937,216966.03274129584,80420976747.36934,283585.92480475706,664020.0469717834,739072758693.74,859693.4097070537,,,,,
321731.43927293055,174728289149.70782,418005.1305303654,694079.6950682236,1103499135830.0457,1050475.6712223494,361536.3513078919,253666641094.6814,503653.2945337312,764361.8735805232,1272328654966.031,1127975.4673600092,,,,,
235434.76647728312,102786070294.53633,320602.66732286604,634300.2442829444,1004343790034.7489,1002169.5415620797,340097.9419193855,226334649842.2773,475746.413378259,747516.0280300626,1153574692085.8025,1074045.9450534706,,,,,
331065.21971847303,206804772524.63168,454757.9273906412,686461.5533771437,800621481472.8341,894774.5422578998,212362.22741583321,76753493663.01068,277044.20886026596,693311.9570356756,841177118167.26,917157.0847827868,,,,,
420255.48514507624,399644160477.3402,632174.1535979941,765316.2984864259,952340424551.278,975879.3083938598,353913.1052321545,243522838076.2682,493480.3320055098,840088.7775633928,1258285527431.6948,1121733.2692898498,,,,,
337138.7582471601,224061882517.332,473351.75347444526,884871.1431527479,1461968749119.064,1209118.9970879888,283666.87232409476,169602794691.94275,411828.5986814694,739412.9377516025,924214191133.5323,961360.5937074457,,,,,
342779.5567120362,311177589131.3276,557832.9401633858,612377.1353534802,681501228884.7954,825530.8770026688,281958.24021858076,164607947975.28625,405719.0505451849,601870.983559922,613163189065.0688,783047.3734488029,,,,,
522124.40963387076,627929046597.9673,792419.7414236771,720763.7234647583,771350980341.3441,878265.8938734579,191890.57173532233,63973760903.5827,252930.34792919314,701537.9363245107,1049929553966.7294,1024660.7018748837,,,,,
242054.59580121722,96625260155.37556,310846.03931106406,740228.6120695678,1080095595971.3241,1039276.47715674,267073.55081569887,144889747152.6834,380643.85868247424,690893.2628499334,1132199880128.996,1064048.8147303187,,,,,
442683.58343524014,535675783488.5539,731898.7522113656,720524.1635881374,921237376045.9181,959811.114775151,232563.7429362744,100824297641.63426,317528.4202109069,772314.3020621589,1015193329291.8978,1007568.027128639,,,,,
349096.7945763589,186766919145.8556,432165.38402081165,1302667.3926961403,3104862209741.4663,1762061.9199510175,367778.1484240761,223493867561.9891,472751.38028565195,1278584.3559776193,3055638429778.8276,1748038.4520309693,,,,,
224598.01441441104,97543592554.8066,312319.6960724805,537028.9854652516,460243670695.4797,678412.6109496194,226878.87491371567,103882899808.86113,322308.7026576557,536075.7659566192,483787553932.1744,695548.383602589,,,,,
287789.1818902405,147496528238.1393,384052.7675178755,722023.0016933562,1424300671889.1882,1193440.6863724682,292586.4817617716,161076197461.36145,401342.99229133356,755054.0378573062,1261460727450.1716,1123147.687283454,,,,,
328687.9779607532,217402936978.80716,466264.87856025266,1026928.9579415864,2819585513194.5396,1679162.1461891462,636982.0918692609,1041032096355.0752,1020309.804106123,899908.3293687266,2545106823298.1147,1595339.0935152674,,,,,
