source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
306042.37817218556,151567393362.73392,389316.57216555,634152.119868236,1248586912254.6807,1117401.857996791,298789.9368832219,171557676353.76215,414195.2152714492,763275.6103370846,1498130673220.7266,1223981.484018744,,,,,
269086.7769461774,119640609099.85738,345891.0364549179,572611.8901733949,1039095075048.0686,1019360.1302032901,342645.60798425553,235974393815.62616,485771.9565965353,681262.9910265389,1163364168713.4229,1078593.6068387495,,,,,
249931.56714281332,125318092534.62822,354002.9555450466,580427.1783589376,798055573417.2195,893339.5622142901,255670.07306510553,156920849540.30786,396132.3636618294,661031.6207666872,896125899089.4497,946639.2655544401,,,,,
278804.26936231984,135971274753.4109,368742.8301044115,657504.7802140297,1626716491594.3438,1275427.96409454,354184.35090395616,206788606058.2485,454740.1522388896,796423.0011650036,2089846490698.7861,1445630.1362031666,,,,,
339117.02217832097,247854716489.45087,497850.09439534193,573147.7451142239,637697092119.7507,798559.3854684514,240340.64864495685,105395663705.18478,324646.9832066591,770795.8835328111,1111252258715.337,1054159.5034506575,,,,,
325325.62064596027,195694414181.37137,442373.61379423545,583458.7489085165,1283078816062.2566,1132730.6899975196,518033.98863106506,724482729364.5419,851165.5123209246,690794.2888841159,1446900746309.5476,1202871.8744361545,,,,,
419707.3074367076,372996500662.53906,610734.3945305021,540339.3150763293,551685608958.6133,742755.4166471042,307429.02642728016,244017558676.0291,493981.3343396986,683335.6723796604,789517036671.0391,888547.7120960017,,,,,
375449.9353987305,262935027081.34897,512771.9055109679,775008.0307304615,1498415351856.788,1224097.7705464496,510000.0305507896,613646064977.2458,783355.6439939945,1009448.9431567106,2067134799440.458,1437753.3861690112,,,,,
375514.3696513874,238078486811.38132,487932.8712142494,482976.21073357924,384524961683.9878,620100.7673628438,195592.68335717215,75304198900.41205,274416.1053954597,539067.3198469874,467905519391.47125,684036.1974277905,,,,,
280379.9859016112,137416614905.85052,370697.4708651929,599937.4171173042,857452355384.3676,925987.232840911,277539.63726251805,152124146712.50507,390030.95609516057,796422.8326423736,1419681022934.184,1191503.681460609,,,,,
243899.5226785081,111808834018.23099,334378.2798242598,508051.5531321831,679538972146.7474,824341.5385304488,220473.9839697028,77177299367.65244,277808.02610373305,602530.2663143607,844879396393.3997,919173.2134877515,,,,,
319965.4853436993,229906506767.0968,479485.66899032216,566076.3527763389,773463056271.8846,879467.4844881331,251344.7115212485,112550174362.03853,335484.98381006345,642009.3866032035,887284672467.2161,941957.8931498032,,,,,
318947.08642605966,223660320993.1673,472927.3950546397,478402.4661184678,378157045813.1512,614944.7502118797,262070.56475693322,124067583718.74338,352232.28659329825,612765.2031743381,685603353336.3643,828011.686714846,,,,,
327145.00988204527,177093648464.1584,420824.96178834065,722008.8214538357,1676694323905.62,1294872.3195379614,290378.2381194777,150675214536.10443,388169.0540680754,915707.1793458494,2110256558641.4285,1452672.2130754166,,,,,
424105.92467337847,430838495425.42993,656382.8878219099,696926.519104288,2612403767977.4043,1616293.2184407024,226571.4469293973,96642254761.48474,310873.3741597771,843087.3453387286,3353935445173.536,1831375.2879116656,,,,,
230681.54296350086,85952473797.19856,293176.5232708761,590448.8526786865,1487672922234.8481,1219701.9809096188,461340.41843251867,770688737905.7515,877888.7958652574,695780.6658805523,1575160682665.7078,1255054.0556747776,,,,,
353879.491337769,223114925880.2692,472350.42699278804,568900.1140997522,679181368970.5194,824124.6076719948,264054.2781897552,124304361673.80516,352568.23690429796,743331.4826533019,1093589997160.2227,1045748.5343811018,,,,,
288744.8690637773,151489703910.348,389216.7826678957,452148.57112405705,381323105578.39417,617513.6480907885,253574.8131247356,109773819336.92885,331321.32339607854,591070.476042303,599837943878.7845,774492.0554006894,,,,,
351842.3222574688,256329524270.03842,506289.9606648728,509940.3828751853,510428566441.2901,714442.8363706155,312119.244552416,151120539412.61288,388742.2531866235,614695.7515070245,684460343564.2942,827321.1852505013,,,,,
