source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
297020.86393312615,150298508143.1077,387683.5154389566,744987.712405499,1504355203678.6873,1226521.5871229854,301583.99023913837,176748429187.89395,420414.5920254124,703796.4569172695,1588470304030.9631,1260345.3114249932,67137748.44534627,0.3950481956461903,1.0794440950846922,1.0,0.2708552845498337
272125.15179732715,121247594957.05733,348206.25347207265,702487.8096718806,1223416324443.212,1106081.5179918755,321942.4807839377,203466085264.52872,451072.1508412249,567213.5329258271,1049984341840.6797,1024687.4361680638,68851055.37039183,0.3692609196899963,1.0890821126259214,1.0,0.2601194211237484
260763.96215437292,130938385463.04596,361854.09416371945,631809.8128907253,824890610057.9923,908234.887051798,265817.88513515913,159784248959.1693,399730.22022255126,600770.8322895945,827972955171.251,909930.1924715164,52318567.977231845,0.3933267190570355,1.098127821612961,1.0,0.21193255247547796
272963.7730889567,135928293023.73288,368684.5440532229,829104.3309464736,2132742550646.5874,1460391.2320493395,349756.89745389426,203158444523.76465,450731.0112736472,719283.5475358908,1676732953479.5493,1294887.2358161344,82139517.8739697,0.3812740090311867,1.1092506553472643,1.0,0.2752401791788034
340637.31167406315,253636069881.07922,503622.9441567165,811708.3697167173,1145693393496.536,1070370.680417086,222966.62303223816,88846736161.73192,298071.696344574,644037.8878589724,734299500913.8494,856912.7732236516,77943004.79439655,0.3808422832942535,1.0949050195231451,1.0,0.2545684139805095
330234.79760298145,204272631913.89908,451965.29945771175,732122.6271023777,1568931519434.3772,1252569.9658838932,510831.13952492835,735814897067.22,857796.5359379927,619827.1141280533,1508597656806.5266,1228249.8348489718,64937841.394147746,0.3594257920473774,1.1008799488455199,1.0,0.2638661871441229
395942.9390908243,315591163941.4867,561775.011852153,724924.0884175977,911528326151.2808,954739.9259229085,315106.1652828296,248389786400.84106,498387.18522935663,562115.5680052893,642493606176.9542,801556.9887269116,64315214.8983265,0.3486187145185054,1.0994150792449067,1.0,0.19415695520724713
366872.52936716564,265886068179.9974,515641.41433751944,1073089.4972406784,2239376614524.004,1496454.6817474975,506485.6830151738,591363649819.9122,769001.7228978829,795617.8909152129,1626345204411.4563,1275282.4018277114,95565878.20824331,0.35936843157886195,1.089179854068918,1.0,0.22483221166145723
360699.7361696768,224964287701.38828,474304.0034633782,516172.5522752281,454848415850.89124,674424.5071547232,190576.55345644575,75074679117.39525,273997.58961968124,530958.0475743251,478891288472.39014,692019.7168234371,47836458.807030685,0.3828994069325461,1.1058196661191464,1.0,0.2185231033710223
273722.74233930063,136926246692.06172,370035.4668029292,813661.1506919902,1462989606718.5322,1209541.0727703844,262124.3701166335,136900600244.78586,370000.8111407134,613686.3367952735,917306088656.8699,957760.9767874602,77618363.02721123,0.39842200270453315,1.1124571017186649,1.0,0.25540426317492726
