target_rmse,target_mae
1093190.8946721088,783530.9673191517
1685064.2487868739,1015553.4848574072
1421274.7691254208,928112.4801543596
1037347.6491552349,776179.6554638178
1160332.0155483407,818101.7024953036
967488.9413348216,744400.6840820423
1097704.3210914333,776843.4637063367
,
1671107.8560481435,1081450.2732783698
1308342.6305167468,915788.4452175838
1515843.5727267773,1049503.728662037
1374839.0527943405,1043159.5276451237
1006933.9421834853,722293.1327926446
1120941.384146757,802639.1852000417
955665.8575035692,752413.1804137075
1341744.7391372155,935984.4298137409
993681.8047970826,796849.9379662557
1197862.263934171,836347.1384116387
1229226.7685184213,905787.6762972652
1238210.8676609695,785505.666470389
1183338.9187476235,852041.4819976507
1044060.9844582571,760320.5805607944
1191440.0117801914,889504.8769544895
1150859.728792157,873766.8126049397
1212090.1774008933,837042.654842934
1004999.3262084415,797494.3553988705
1079779.0047405881,826639.1030813955
1345536.4063875065,969236.4655620237
1401410.6897771354,988383.7399282653
1226498.0893753374,877592.2989916506
1147612.0540536402,872503.8697241716
879501.0665549939,632857.3198053497
1141188.6908037856,853549.1081918463
975875.7964039267,747766.8863684973
990638.2664307744,719226.1098659923
1271684.0548915218,894783.4858010634
1201273.868953941,806319.5215792115
1212293.8898148236,793185.58121143
1755108.7169897188,1011333.7268806259
952471.6652733346,751779.0700581901
1105147.0462788024,797235.522498916
878168.7464326589,694255.0700903422
999244.9799426144,729336.0972367362
1141789.1966269868,791062.3579661327
1238243.1745552341,919373.3814703265
913026.2696810527,708131.3462442238
1468606.7964601929,1001921.3303124296
1237527.9974092548,866620.7093512131
1348206.7932052477,949698.0150178142
982257.4250577028,730570.0591326113
1163029.2659839606,689428.9054717207
1582448.3033904878,962857.9355648848
1098133.887143178,826172.3853082629
1062931.4511418382,816793.1497856312
984240.1464484066,729702.0647721777
1090585.6176763182,797873.999465279
1185841.4356008735,891703.793064928
1827280.4600543615,977803.1903254953
1035967.5561784453,817984.1991163266
1501512.7035033053,989891.3686035271
1165424.9099951156,860791.0403823691
1527969.780740519,916311.0377187588
1171184.7541601397,752618.8781090635
1070383.2330218586,751343.266165201
1068890.095302016,791687.9312625346
1225527.2930011156,861969.6490983891
1081594.7753920825,773148.500029204
1203500.014371072,838194.5673526558
1112736.7450089648,802642.1782575249
1234580.1737010318,890581.2208625933
1643247.194156596,982815.6147451485
1847054.349692277,976819.7635230354
1033548.8850331546,776408.4766924146
974037.2298065159,768836.4628333586
1161809.6999388195,842467.3092552421
1686045.0658546889,927889.1295589042
1152688.6094049024,812269.720105241
1220686.9448608411,892187.4404410042
1129062.3425593758,856526.3367081152
1252581.942367667,867184.7765364632
1118743.13461104,821400.4912365791
1226936.2095145942,845381.9837813196
1202144.0099240239,894076.1411371235
1057100.4196789176,779397.617065604
1006195.0440148292,754076.5314084261
1307763.2632961315,942270.7077519207
1373289.8166523834,977061.5590246582
1614704.2157124584,954495.5329235146
1206858.8682688277,859191.0881187433
1281955.1156281542,952329.7089019918
1086079.061827252,800657.54100884
1235025.0699649847,901335.5684213145
1172428.7033930554,849577.7373387441
1134263.942354875,799580.9589950363
1356786.9673631627,942764.3535597692
1296245.0190476836,896952.5778861936
1087111.4495380372,793988.3376997744
1711406.4119835182,976715.3409112904
1236890.7780039124,876339.4992622908
1261257.1326696193,863441.2965036754
