source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
305260.9110396951,153737600923.4138,392093.86749018886,643156.2329304061,1264566459902.2935,1124529.4393221964,302719.0794624322,184836242998.80792,429925.8575601239,776764.0328722374,1526071212844.1592,1235342.548787242,,,,,
249201.42029563637,103764786261.30278,322125.42007935786,596698.2773322975,1151214934504.3982,1072946.8460759826,324929.7174891398,205954533875.5635,453822.1390319819,703757.5870829687,1160263774040.2603,1077155.4084904648,,,,,
254315.93549345675,127271599973.16592,356751.45405893715,595224.2330041361,805002747159.8197,897219.4531773259,251725.58771211695,149700434690.21606,386911.404187336,650852.5049986041,887454549753.4502,942048.061275777,,,,,
269891.56864294416,128689752444.36908,358733.53961452935,635821.6055497262,1573094233127.2993,1254230.5342827926,347398.1861085863,200449494781.17908,447715.8638926915,847454.5108078512,2111671781341.827,1453159.2415636447,,,,,
329624.44467254955,245908882451.84167,495892.00684407254,555268.6933509235,601925901323.8523,775838.8372103141,235971.88278629322,103170592385.03339,321201.79386957566,776260.7925855255,1063244487184.7137,1031137.4724956482,,,,,
312318.02867192414,175948626403.70004,419462.30629664456,593621.3945740829,1302491830525.4214,1141267.641933925,513339.19812196435,703398345685.4927,838688.4676001528,707055.7973766975,1566846289466.6206,1251737.308490332,,,,,
390758.72271611233,340165443839.8935,583237.0391529447,551846.9795682568,570226265999.3882,755133.2769779043,315002.383164612,233201229362.60495,482909.13157922885,682814.460437377,840644861237.5314,916866.8721453139,,,,,
370724.120761834,257717653389.78635,507658.9932127533,798032.1746236224,1520933854275.907,1233261.4703605666,486837.13928769506,611226436727.4631,781809.7190029445,1066481.8421773233,2249484612177.1123,1499828.194219962,,,,,
370326.6232835198,237881669720.2066,487731.14491511264,502482.6522700812,422809703783.2187,650238.1900374806,197209.73062157782,80137169730.62173,283085.0927382467,516364.7074721897,452579161555.46814,672740.0401012773,,,,,
275146.4120164088,135887607441.98935,368629.3632389983,574677.030042651,757909484854.8699,870579.9703960974,264518.4035879691,143168879576.94815,378376.6371975788,809459.6354818359,1450195766721.8005,1204240.7428424768,,,,,
255140.97974804926,119049913046.00095,345036.1039746434,523837.6787675606,699484733782.0333,836352.0393841539,206611.6915268834,71446362662.36662,267294.5241907634,621486.8321735464,843028176831.8285,918165.658708617,,,,,
313472.4629895183,222482801186.86438,471680.82554505474,570411.3203422093,781095355163.6025,883795.9918236801,243517.96022418997,106150601056.85387,325807.6135648979,625925.8821139447,852152962919.3431,923121.3153856556,,,,,
302852.79413953575,200143458325.17545,447373.9580319528,486163.4282150611,380847413170.3977,617128.3603679202,259337.4578873191,128533615975.67023,358515.85177739384,568190.0780584648,578937665559.7388,760879.534196931,,,,,
322119.8765215144,175186548662.9009,418552.92217699415,681181.1191750279,1558612851510.7043,1248444.172364429,315257.41316758236,175386646359.1872,418791.8890799907,876618.3002200575,2008627340902.9863,1417260.5056597698,,,,,
430408.0670196574,447671891223.7445,669082.8732105945,641076.9158070107,2246265927268.188,1498754.7922419424,232301.24184110085,98656771461.3521,314096.7549360421,821650.4448985204,3288270674891.5767,1813358.948165414,,,,,
231991.76446999784,88286425088.55241,297130.3166769632,587014.5859203304,1502630118803.9512,1225818.1426312595,456362.1390247123,768667820301.647,876737.0303013595,703554.786959029,1555213598965.0957,1247082.0337752828,,,,,
349676.37920488615,222838440637.01205,472057.66664361255,581338.9628262119,654296904688.1808,808886.2124478206,271463.5908413738,132800811031.3065,364418.45594221284,722483.3140067784,1072024344688.9491,1035386.084844175,,,,,
275140.5279157527,136730489113.5695,369770.8602818366,450160.59701962513,372071509167.1046,609976.6464112414,231926.40301220186,94789015799.6608,307878.24833797663,627852.4517001726,614459114658.998,783874.4253124974,,,,,
373380.8824561782,271907929256.67487,521447.9161495181,511758.1468633365,510584163232.30096,714551.7218734421,308523.7669043206,159758289616.29303,399697.7478248946,624476.8349372479,708264564137.4169,841584.5555482924,,,,,
386500.0259016556,378207818255.8117,614986.0309436399,417185.99341127306,284839227598.1326,533703.3142094329,206851.47243019528,76832351004.5849,277186.4913818581,613763.0230215904,584093921249.7795,764260.3752974372,,,,,
364054.3374548721,304534571107.78735,551846.5104608231,486981.15475036675,400992217251.89294,633239.4628036798,191536.167524808,61943288426.71926,248884.0863267864,659539.7183722801,657777127934.1006,811034.6034135045,,,,,
300675.32734366506,157353276318.04675,396677.79912423476,644525.4740537059,2069498310085.1113,1438575.0971308767,245625.85428591302,94399265243.67468,307244.6341983448,842030.8185998072,2293586759485.2246,1514459.2300505235,,,,,
393645.85904586205,302255664693.7215,549777.832122869,540718.8182595227,749464643147.1233,865716.2601840879,178772.9675869982,55122725801.38831,234782.29448020205,780223.4611950219,1077866319370.2375,1038203.4094387465,,,,,
276480.0291979404,120925685335.66263,347743.70639259974,768417.0868489584,3004377320744.705,1733313.9706194908,324599.3086032241,202610278618.2718,450122.5151203523,828020.7519146354,3179468663743.0674,1783106.4645003863,,,,,
292494.3694175537,167996931949.04825,409874.28798236203,570071.5732515497,908390419438.8274,953095.1785833498,225526.70763570035,81052810837.97246,284697.7534824826,724190.7801197588,1395093966789.322,1181140.9597458392,,,,,
289304.80463893834,135711287904.2392,368390.13003097574,520708.1101908159,526571878889.3489,725652.7260951679,296394.40628572623,174468287356.87546,417694.0116363598,705308.7230691682,1017123736334.8141,1008525.5258717125,,,,,
420729.53056941496,344137162303.45636,586632.0501843181,526234.4405712052,603981617318.8627,777162.5424059388,216286.59745088927,85318346771.96263,292093.044716855,645665.5875344782,727065313255.7834,852681.2495040473,,,,,
