source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
358600.769591846,221719004635.80667,470870.4754343881,895159.5459227519,1419193107992.8584,1191298.9163064233,302945.87337888236,155290211212.86893,394068.78995026863,576739.2932084748,569242109212.0867,754481.3511360547,,1.3607859340664903,,,
396991.2303859705,292550148794.79724,540879.0519097566,828834.6297693179,1133430559709.3298,1064626.958004225,326607.3659098986,210222835489.35297,458500.6384830374,601449.4935360593,636358910309.893,797721.0730010164,,1.3101374950754965,,,
344924.88222526835,215305652836.07288,464010.40164642094,604618.6179102182,626124533369.5383,791280.3127650393,228334.37236449088,94646870900.71143,307647.31577036623,465573.16668757773,414815011826.62427,644061.34166446,,1.352541485239839,,,
310629.48248815845,155163010499.6905,393907.3628401613,698376.0411467591,971352154250.1051,985571.9934383815,352596.34057203017,244479077626.49222,494448.2557624126,565967.9377318332,712926926863.1362,844350.0025837249,,1.3171981104527872,,,
333660.723315485,199555943826.74353,446716.8497233382,841603.6189479658,1318384089645.538,1148209.079238419,303974.8366277134,158737922893.84308,398419.2802737376,573180.598062469,650028454592.8239,806243.4214260752,,1.4092877732142015,,,
317716.8490818702,219581811036.2983,468595.5730011737,1039642.440682274,3196003115683.7246,1787736.8698115852,324846.33402149344,184483818586.50812,429515.79550292226,673297.2553538568,1892960254656.7314,1375848.9214505826,,1.345916496887717,,,
398432.94034627563,301045657280.8831,548676.2773082897,736951.2962720239,839622366963.111,916309.100120211,280024.4445506941,155423508040.4334,394237.8825537107,518428.81811840134,461320310998.44745,679205.6470601871,,1.3599889283439803,,,
357481.1928961781,247489226410.26627,497482.8905703856,868968.7284313866,1101859973451.7798,1049695.1812082306,261323.94894282904,119718792241.43231,346004.0350074437,501308.5811239122,441063247082.04663,664125.9271268112,,1.3801052801892233,,,
405730.4539143659,306854559300.3594,553944.5453295477,735726.8948824363,962687699163.7208,981166.4992057774,317549.9582527809,176737069502.12866,420401.0817090373,565398.6380720874,538285402626.11615,733679.3595475588,,1.4276368123739447,,,
267798.8228140857,133396544888.56004,365234.91740051366,690298.9700649038,920005806222.7739,959169.3313606174,255460.3337153066,123031096342.53267,350757.8884965136,508678.4330334838,543995833855.3702,737560.7323165803,,1.3748661582806483,,,
318369.4561361932,191743084739.00467,437884.7847767774,793124.443727816,1027576355772.1104,1013694.4094608149,169320.96376087583,54202667892.430466,232814.66425556288,465840.6621965908,397594197517.4752,630550.7097113405,,1.389840493468666,,,
