source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
345541.21264086716,226974757898.52792,476418.67920824426,633020.2318342734,717355395600.2198,846968.355725419,313238.529024747,159920829248.74875,399901.0243157033,831403.9566529569,1266781831038.069,1125514.0296940191,,,,,
411533.7086126613,302667477507.8901,550152.2312123164,606900.6689428891,663016272425.071,814258.1116728719,307325.4966850611,197929729240.4683,444892.9413246161,821304.5279316137,1101069657782.7615,1049318.663601654,,,,,
341309.1201021735,200428977060.10208,447692.9495313748,497497.21064762934,464456207640.07697,681510.2403046318,230740.58389228754,94219880082.03362,306952.5697596187,655915.0142547312,703817418066.9927,838938.2683290783,,,,,
302786.66971943463,152782417499.46927,390873.9150921551,605792.268489643,766992112400.7556,875780.858663145,397416.6889272201,303492995200.75024,550901.9832971654,695733.6534271843,913538791229.3071,955792.2322499315,,,,,
333546.66495944076,197875819138.26947,444832.3494736747,611319.3276115825,743328173697.2166,862164.8181741218,289652.7060002933,146905492695.5149,383282.52333691774,882347.4354830934,1346367172584.0518,1160330.630718698,,,,,
324748.6867252628,229932877872.3819,479513.16756934,733813.4147301682,2138019654623.3425,1462196.8590526183,313617.7340760277,167946184123.63892,409812.3767331081,994696.5760689505,3103603825949.4033,1761704.8066998634,,,,,
411275.48975374806,312747897900.2112,559238.6770424693,541929.3224831817,525189404648.6585,724699.5271480854,285691.6158298895,174683783660.6948,417951.89156252757,692165.8127544933,783865688305.5769,885361.8968001598,,,,,
371466.8474016942,281848454400.17175,530894.0142817319,583923.4186156805,575979387630.0476,758933.0587278747,255627.86269540378,117956280492.50203,343447.6386474393,898876.6422897198,1191850503925.0015,1091719.0590646486,,,,,
395678.9542770091,293945633522.663,542167.5327079841,600095.0699104929,594708416071.0076,771173.4020769956,290657.2767094274,146671945454.98935,382977.7349337548,765691.6950149206,1050667168564.0099,1025020.5698248255,,,,,
267760.5689576123,140740721610.10638,375154.26375040226,533509.3282273082,641548129711.3552,800966.9966430297,260465.43406078542,125713279512.26097,354560.6852321066,747361.0134250714,933149816579.1642,965996.7994663151,,,,,
307061.50724957057,184469996701.0867,429499.70512339904,586277.9829216625,564322206803.0387,751213.8222923209,174368.50906978312,57593486299.51113,239986.42940697944,791305.1301464027,1068887278486.5983,1033870.0491292889,,,,,
