target_rmse,target_mae
1840506.2889009577,1030471.6885235596
1433796.5981571644,936673.6891941833
1013716.0698076935,758164.7600313568
1405467.3920898298,860835.0572444153
1190411.1969044458,808128.0656239319
1072670.483391364,777015.5910527802
1524029.5270645404,946444.4623223114
1517519.2394670863,900326.8898090363
1275719.1905486486,810501.7354956818
1442554.3284611055,935485.676235199
878362.3660648458,728108.1326159668
1304892.6550313656,918917.0591392517
1108316.3569669293,851350.4187761688
1460195.2903259671,998621.5242030334
1853355.9958700906,1001262.9089710999
1696304.9362031948,991475.3179886627
1825395.1078755509,995730.2080969238
1281551.0153568932,886247.2136782074
1401316.9264158374,869080.3101735688
1158707.387206973,862286.614167862
1084837.0646152757,845060.9591259765
1330872.516543328,835950.9937282562
1675415.17807399,1056739.1075369262
1319824.225423488,848082.9617028809
949292.4157525634,724235.7922689819
1665639.8353305846,988938.0457115936
1459661.687472704,932633.3120681762
1510566.810505254,969784.2464153289
1253675.7101979286,878117.2697925568
1311272.9111953771,965671.7539002991
1828093.0454621895,1040732.0248045349
1410986.0729132157,1029585.1904951477
1120678.5714672029,856522.9472385406
1212582.5803170032,914745.7817129516
1428396.2351398459,992153.6048956299
2017354.7605557416,1138726.9117814635
1459839.2594911736,889415.9974337006
1685054.3705059956,1026058.5833337402
1080565.600953339,783544.0583673096
1497632.451318269,990302.6954562378
1516310.5011850144,975903.7772239685
1444013.1395883397,970665.7930915069
1047975.6371668653,808501.4853498078
1622206.9059627606,918461.508041153
1396144.5415495646,885045.5255645752
1098507.8923430438,811426.3918366241
1553092.6326855358,923540.7106002044
1827288.295009559,1031196.9824542237
1683076.4833170956,1030430.2291423035
1521643.167942564,947195.8759275818
1418184.6719848614,977380.6064808655
1637905.2016272028,1130285.679068222
1778022.138696406,1005506.3222386932
1712318.8582511593,1071692.2111153412
2121215.505182817,1148371.5208848573
1127921.5189463554,887371.2099929047
1313362.4389546325,959661.0722177124
1282476.3854010205,941280.046666336
1941338.3570766987,1137900.3530372619
1619318.0714731833,1029554.084383545
1716906.4154990236,1044477.5568090058
1398051.5033180313,952170.351510849
992572.0380815734,768067.9372782898
1621534.6058622878,1039136.8036417388
1328419.9672891514,914094.9588064575
1426669.5653957198,968103.3282968902
1219329.3269333872,878742.1178181458
1169989.0987209808,867844.3377958679
1481617.6702177215,867246.7871982574
1557449.47325081,932915.6539659118
1614460.9353524991,990472.0501233673
1374397.6576287376,937163.826197586
1543237.9523695165,920573.007064972
1556635.3992680807,910781.3008775329
1550231.1757754807,970746.2701193237
1254006.6664789168,939244.6469106292
1582016.5797261733,1033102.9797728729
1447540.773340571,997747.4138724518
1569186.2958829459,976436.3083324432
1857201.2318044188,1157548.2000245666
1045926.3533382996,853053.8007039642
1153889.766937085,866755.0879975128
1464336.8760935443,920557.743142929
1650864.8444795005,1011448.226763916
1125464.1772108828,832547.1406822205
1647690.0887367774,1051075.8751786805
1335881.2425657474,910323.3341381073
1047427.2515780476,840482.6350118256
1379884.600948657,873468.2691963959
1361098.544952027,876456.8616701508
1488854.2992330848,984530.4686842347
1216698.4792013927,838384.5796453095
1204092.690857601,895914.0784465789
1345564.8597020742,906608.020688858
1274574.5464547437,939743.5417568206
1397624.3248946453,926906.0702334595
1827496.0482173092,1104469.8787403107
1086595.3249512294,859330.054236908
1385059.4798313552,1002926.3583874512
996693.9797703929,715700.1618592835
