target_rmse,target_mae
954585.5,578642.2
1108276.8,716630.6
658777.1,537856.25
760988.25,581212.56
1159698.2,701005.06
643768.3,500230.16
1256575.4,700472.9
1267622.0,678647.25
1100683.1,623819.94
1456462.8,724981.7
1372490.8,650286.06
1599996.0,793107.6
1350404.8,604632.25
1400079.8,692764.3
1100323.5,644562.25
1080868.0,576038.94
1228764.0,702623.75
975069.56,562049.25
1040069.75,497498.88
1146342.5,659420.2
1526379.2,745814.2
1275462.0,689042.0
1222797.8,642086.25
1067591.5,618299.8
1579979.1,750121.06
1146363.5,601997.5
961791.7,606564.4
1113866.9,613049.1
640241.9,546423.94
1412101.0,687445.5
1338018.5,721298.75
928138.4,665308.94
1481969.8,754599.06
597009.3,431039.0
1133705.5,605686.25
1492317.9,735591.4
1242864.0,764892.25
925671.25,543673.75
656126.75,492033.84
1124175.8,662902.56
878117.94,546596.1
856406.0,630024.4
884875.4,606706.6
1397918.9,768869.7
1136396.1,592528.2
1529018.0,725736.8
1123510.4,590786.7
958009.75,613111.0
670086.94,478417.2
593623.8,466357.47
1014245.44,634005.9
733972.0,523264.53
795214.56,554017.8
905901.25,558866.75
732489.44,592667.25
958709.75,612097.2
1235102.1,748998.94
1070701.1,842271.75
1241992.9,628991.5
856373.0,562940.8
855907.0,579844.3
1429292.5,731970.0
1343243.8,752189.6
765137.3,601851.9
842148.56,596150.6
1190704.2,656613.75
1247465.8,698975.5
1362287.1,627647.4
663156.25,505338.7
767152.0,569140.25
1060373.0,810882.3
87770310.0,87764840.0
1185206.8,634941.8
1044130.06,688878.94
1004108.0,571871.6
895707.44,590935.94
1167610.8,673288.94
1058452.6,705988.5
1627814.2,760846.94
729826.1,527881.56
874423.7,583147.3
1071689.4,545430.6
808630.8,568056.6
1452204.1,787067.25
881718.6,554411.3
1245293.0,670605.4
662123.0,484301.28
1019011.56,646529.8
1534706.8,832962.25
978851.9,610889.0
1206385.2,750701.44
1226331.9,648598.25
1495720.4,681243.2
1175811.6,575174.94
1117306.5,560872.2
1133678.0,667391.75
968866.6,676084.2
716332.25,523778.8
,
1050564.8,670533.75
