source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
321565.2886461521,204888519326.96548,452646.1303567783,563061.6284266441,637246037295.4594,798276.9176767292,300284.08611979237,164330281794.95352,405376.7159013373,749335.2429581721,1129342875498.7134,1062705.450959349,,,,,
332701.5781642445,173524945525.64957,416563.2551313781,766822.3038092158,1973584684331.349,1404843.2952935887,317852.1735915439,175150023482.43234,418509.2872116846,1175354.534557198,3506569172569.439,1872583.555564194,,,,,
274893.1946697346,126183262735.27792,355222.8353235162,614665.0545716446,674288637360.2677,821150.8006208529,329254.4174368241,182811688051.39493,427564.834909742,804269.8965765956,1142424248652.6145,1068842.4807485032,,,,,
261289.13416432813,144434335753.00427,380045.175937025,641556.4759488724,1495335728259.0198,1222839.2078515554,360825.6183694808,227589806588.52405,477063.73430446803,799922.3147450261,1772560163613.7947,1331375.2902971404,,,,,
278485.3607881184,135572094598.95192,368201.1605073399,673133.44355942,1338489853310.5847,1156931.222376933,268552.33967416146,162851812813.44568,403549.02157413994,860299.8591860995,1872601926855.5554,1368430.4610960528,,,,,
287910.3420924656,148016317612.58002,384728.88845598797,580016.9345876725,1208939494054.963,1099517.8461739323,404020.36271460034,294547599038.6052,542722.3959250302,832091.565974831,1577554341709.1675,1256007.3016145916,,,,,
363158.78089670587,289028389129.08417,537613.6057886595,781218.2155164884,1766616974185.7354,1329141.4425055503,504993.37187952845,535018876021.3005,731449.8451850957,1137113.7119933038,2746318523557.814,1657202.0165199577,,,,,
320921.1018527441,178380125133.01608,422350.7134278526,674182.7594712144,1341456342535.161,1158212.5636234314,385608.81872878014,258452145230.03586,508381.889164077,730344.8437356033,1393978081904.9814,1180668.4894181693,,,,,
300220.9140313124,134140022232.42133,366251.3102125661,838773.5305971068,2180062841462.9475,1476503.5866745964,514889.16639617196,546056889354.7446,738956.6221062943,1110372.8460542695,2747323851766.622,1657505.3097250164,,,,,
297646.3370352339,199170560582.4476,446285.29057369527,843751.2982558963,3017374754952.529,1737059.2260923428,418973.2007053081,416821952129.0934,645617.4967649912,931519.6710725968,3252256128600.826,1803401.2666627541,,,,,
310969.66155654745,162053106067.34564,402558.202086786,558781.143996504,734959562167.6539,857297.8258269724,294616.7702091735,186656135576.1913,432037.19235291687,821998.6455350923,1349419108955.2046,1161645.0012612306,,,,,
363060.1438830547,280379752452.4548,529508.9729668939,869948.6826905285,2387414080525.5405,1545125.910897083,400183.02435815823,403395849741.32916,635134.5131083094,1265433.12032864,4069552369961.6265,2017313.1561464686,,,,,
413845.6661965813,305507536007.9682,552727.3613708373,614643.0526340024,777717119809.8202,881882.7131823257,296303.58969252766,173170719910.973,416137.86166482494,897592.6405220064,1463324083164.0037,1209679.330717031,,,,,
260453.53809536062,138421721284.29126,372050.69719635154,672132.5256436392,1562747852887.5305,1250099.1372237366,328004.5517510723,221504907408.9621,470643.0785733092,1028768.0665743026,2542941875801.2637,1594660.4264862358,,,,,
381769.9640177214,380276986613.2884,616666.0251816119,619711.3899362693,649155007834.2876,805701.5625120058,295263.3078395549,174538018734.9858,417777.475140757,840175.4310270575,1445909782982.29,1202459.888304924,,,,,
343406.34112660814,237735244512.3065,487581.01328118437,707432.2824393405,1620283769043.9417,1272903.676263032,485984.6255199419,520702735206.56305,721597.3497779514,941297.4893355769,2058828697618.21,1434861.908902111,,,,,
442337.252510097,448489780275.1852,669693.7959061478,796907.1108718308,2044085189910.421,1429715.0729814738,512924.2840767447,592004951715.6559,769418.5803031117,951408.2345437959,2402275343006.235,1549927.5283077706,,,,,
306868.59322459274,184658469351.32507,429719.0586317124,752370.8148576063,1906202277921.3318,1380652.8448242636,309496.073830623,183926115956.81064,428866.0816115103,988163.7330984517,2423757657673.7607,1556842.2070568874,,,,,
429389.42289720627,345014871802.0369,587379.6658057179,667178.2724402759,1262563568686.9753,1123638.5400505695,243974.77329787094,108481824239.58168,329365.7909370396,938022.182180174,2320330304713.6035,1523263.045148015,,,,,
286473.7257981902,136920239384.3414,370027.3495085754,513724.7028162124,512355558149.1693,715790.1634900897,271103.76796917635,128129593661.09982,357951.9432285566,647530.3047985747,838527801991.8939,915711.6369206486,,,,,
365874.2822320043,258222322082.82312,508155.8049287867,716745.6346040096,1904064395486.1455,1379878.3988040923,315308.9532141301,173570069772.3811,416617.41414921806,807618.3973134714,1943404079383.5654,1394060.2854193808,,,,,
249860.26994804826,103940379253.00974,322397.85863589373,692360.7121821966,1114821223547.3308,1055850.9475997693,267470.37211708404,119988881740.78912,346394.11331717105,1050599.4554816748,2279663856901.375,1509855.574848593,,,,,
391055.0881996255,324546418656.2423,569689.7564957986,742883.0297133587,1901982806472.2063,1379123.9271625325,330638.83626436436,234820181552.30304,484582.4816811923,969971.7497309196,2758338676720.12,1660824.6977691897,,,,,
439332.9476998653,353025820757.6599,594159.7602982383,905554.6580632207,2446950929283.1455,1564273.29111097,527703.2595495989,567846189964.984,753555.6979845511,1353954.0937229851,3715551180265.971,1927576.504387302,,,,,
291500.62182364374,185897489715.88446,431158.31166276324,551524.994302424,569652217665.8428,754753.0839061493,249457.37857110356,108268405079.01735,329041.64642035414,662917.3852808991,912823859903.1003,955418.159709716,,,,,
396044.9365254197,378876815051.1498,615529.7028179467,493424.41975172976,450350636411.5323,671081.6913100315,264914.5248000552,121222722156.45131,348170.53602574026,737928.8397820812,917718310945.7727,957976.1536415052,,,,,
430862.81297972484,452968783690.6809,673029.556327715,604594.9431272022,1305423788803.3328,1142551.4381433043,265052.62391368166,119373239847.19516,345504.3268139998,827636.3432023437,1558473233332.5835,1248388.2542432796,,,,,
318030.45961080294,187259893364.30374,432735.3618140118,551704.9039505953,679749603124.551,824469.2857375288,227507.71104475204,92884186373.82852,304769.07056627073,718940.2004560702,849151742544.6155,921494.2987043465,,,,,
314886.5102857369,161723942430.26202,402149.15445672895,535451.8167188383,622903174777.7587,789242.1521800256,227668.4499504804,97384464725.53279,312064.8405788976,693132.5797721744,924266712735.9884,961387.9096056848,,,,,
250180.23379697232,113175865052.51588,336416.20807047316,524050.39383049577,669988557098.3086,818528.2872926926,325177.2012852076,205401684286.3949,453212.62591238,688832.8259360228,910484616898.3997,954193.1758812781,,,,,
286996.03572131,186355594921.0672,431689.2341963918,524787.3431859754,617434042021.8785,785769.7130978507,224377.67329087105,91618170744.31111,302684.93643442367,690396.523977291,849620430731.7446,921748.5724055908,,,,,
367506.68660213746,304262907730.08905,551600.3152012235,671261.5973432579,1346715504185.7815,1160480.7211607532,343224.9912416789,206464829695.84164,454384.011267828,852115.072683609,1681699056434.9775,1296803.3992995922,,,,,
307719.74844947306,218250365265.76883,467172.73600432725,717427.1374363644,2785821188813.54,1669077.945697426,414044.0761690162,395315508120.2897,628741.209179333,856041.8526295298,3116069965493.7593,1765239.3507662804,,,,,
258199.16784978265,145565024235.6473,381529.84710982617,588989.624720903,920454758394.484,959403.3345754454,308638.97696140356,190333709007.87512,436272.51690643444,868686.5674192843,1647823626529.9172,1283675.826106388,,,,,
229982.97156129996,116944519031.1266,341971.517865343,577116.5055828945,867660509856.9095,931482.9627303494,275042.8859910208,133076788928.65985,364796.9146369797,758501.1917066255,1142990896817.678,1069107.5235062551,,,,,
348713.2129652167,206906309366.81107,454869.5520331198,725868.4931061375,2076662105524.205,1441062.8388533946,317698.8678281191,178699678046.37878,422728.8469531962,1074029.406665204,2921032831063.392,1709102.931675969,,,,,
408977.38851891685,272924127379.7134,522421.4078497486,729618.4210651576,1603131353428.9287,1266148.2351719046,303314.87366048887,153837105330.22574,392220.735466938,1226906.1113008806,3454762213670.902,1858699.0648490954,,,,,
375749.9388896762,259383018743.48245,509296.59211846534,538813.0723709996,531498795414.1802,729039.6391240878,308695.94203093275,181877771106.14648,426471.3016208083,867151.9676776598,1260780241479.4556,1122844.7094231043,,,,,
333986.5833232145,204082690811.2144,451755.12261756853,609516.6812169099,562361172398.0957,749907.4425541433,236880.7464422485,108896779995.08693,329995.12116861204,987011.0477242634,1657703703418.86,1287518.428380293,,,,,
256418.95517052987,127454963704.46019,357008.35242954775,644193.0453763622,880828058784.4609,938524.4050020548,343703.1968419305,226116919227.4841,475517.5277815573,836312.1445431948,1397688896940.1,1182238.9339469834,,,,,
