source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
302022.44166690775,185870708593.2504,431127.2533640739,787041.365619993,1183266056018.2043,1087780.3344509425,314526.29459999525,166411576033.52557,407935.7498841277,561941.0972617054,579923639589.4257,761527.1758705829,,1.3155987560172835,,,
321002.09399612446,167625141678.7038,409420.49494218506,1162281.7076664665,3560110282281.621,1886825.4509311721,313287.68964737473,181341065121.83533,425841.59627945616,676679.058987889,1587605695348.6885,1260002.2600569765,,1.323312090173479,,,
276029.7845322348,124212643853.94487,352438.1418830046,858281.4554668455,1258758868930.5662,1121944.2361055946,346050.87054863723,196086447003.8615,442816.49359961913,577813.6295545986,618370887056.5698,786365.6191979465,,1.3524721197695313,,,
281757.7623935704,155361221663.819,394158.87870732916,761174.8699496398,1719030503932.1685,1311118.0358503838,363667.6737883863,226666571286.06247,476095.1283998425,603105.8666115981,1421565774147.7354,1192294.3320119136,,1.3897093630842172,,,
274033.59577949403,124012232444.99467,352153.7057095874,856951.8357897479,1920032804702.6375,1385652.4833819761,279049.925037367,164595625941.7622,405703.86483463796,601468.1769713156,1101355305007.834,1049454.7655844125,,1.3226087160872433,,,
286302.24209761113,142829556158.9032,377927.97747573967,843135.3413927273,1718405166853.337,1310879.5394136477,358314.9632194229,208000632633.9501,456070.86360997683,533372.9231044956,1193386037399.3347,1092422.0967187248,,1.2079920006655258,,,
368251.6628408776,298304424280.9074,546172.5224513839,1065614.4878143638,2614140264496.536,1616830.3140702602,496304.7866766974,576249697140.9355,759111.1230517806,706287.0899070221,1563340619523.02,1250336.2025963338,,1.3191310375829364,,,
329525.07647481735,179822998748.08905,424055.41943016014,771139.4615250096,1432128342661.6897,1196715.6482062435,376406.46480524505,243352694507.8451,493307.91044523614,670017.5185041499,1344992267367.9846,1159738.0166951434,,1.3150635871467264,,,
294327.5018596761,132225654140.40643,363628.4561752647,1138108.0039173367,3065680231314.8154,1750908.4017488793,528826.59149531,580836139738.203,762126.0655155438,771446.1140456726,2030569802366.56,1424980.6322777022,,1.4045517711024869,,,
298588.9211123511,207792890003.8718,455843.05413581966,946469.163941107,3266684789783.7056,1807397.2418324936,443974.01600787154,482582038822.3032,694681.2497990018,776584.2643806387,2770224359389.136,1664399.0985905803,,1.3969754091836117,,,
295239.09084756934,137433519090.48512,370720.27067653736,814892.9019513493,1190169355422.5647,1090948.8326326604,336210.1008773765,234488989254.6589,484240.6315610648,558848.0323615829,713192819398.619,844507.4418846876,,1.4142639004208273,,,
362495.03243152465,261358609934.90884,511232.4421776349,1289331.2363811191,4219533761233.6035,2054150.3745426242,404906.995273017,379580740717.8346,616101.2422628562,694625.9445688146,1820578884810.9597,1349288.288250869,,1.3902095707681847,,,
396780.6800241269,258468648609.84387,508398.1201871658,865582.852729691,1360333318476.3994,1166333.279331598,290043.14675025153,153362080504.66904,391614.709254733,494213.3680287301,521940444282.01685,722454.4582754105,,1.3773135196138824,,,
258456.98127797738,127477909252.60492,357040.4868535289,1001569.2181924551,2428162485140.755,1558256.2321841535,373571.26889492205,254321070181.59338,504302.5581747463,603397.4226678855,1355725500396.8835,1164356.260084036,,1.4187598721202455,,,
378192.0494823792,357508007051.33905,597919.7329502841,904359.9327204593,1486432562195.8506,1219193.4063945108,306424.20072672155,168781608490.3543,410830.38895674975,577424.3660185396,565907640238.619,752268.3299452523,,1.3056552134076895,,,
