target_rmse,target_mae
1114131.8609866085,776914.9577268219
1549143.731750237,925359.6458447266
1127647.3486220262,831179.4102200317
1313849.1804179505,883470.414165802
1226770.8112248036,773796.0035655976
1461693.4667402008,876948.5729813385
1154775.9944879324,837113.6554016876
1668053.7869478792,1063317.106863556
1448152.1754290117,1010147.871954422
1356213.3294881156,909403.3515557098
1267618.7527194093,956812.9539287568
1506382.9491493094,1023241.3965846252
1185966.284316185,897680.7429666901
1451691.0357266471,932154.3858907318
1220591.657326489,885694.2242189026
1393689.4521034097,923792.7829179382
1557791.9385902737,1024429.5228739167
1078988.454643832,823102.9167927551
1596091.4676601875,1000187.7747297669
1198259.937692904,865233.8346855927
1503987.2669146191,968354.8408842469
1519414.6198837387,881917.0084693145
1558726.0138592704,1006557.5686826324
1285172.421869878,799287.0938544464
1398601.3484547539,950697.892592163
1345785.8462001556,888398.0841622925
1469384.2795395285,1006456.6481044006
1463506.3395751158,881594.1704870606
1406550.3252775723,904821.8642575074
1535891.4596671856,1000227.2431690979
1582680.3027318174,998986.1486664581
1524492.606336149,1038122.1270024109
1612212.0526148228,959800.9203295899
1531548.4799615738,908783.7680738068
1286426.1532085163,911586.6454857636
1159924.8349866963,912456.4156071473
1346809.2632230679,933684.4711491395
1864837.7581226719,1042207.3425235748
1134233.9334600475,853597.2141644288
1761893.1441172047,962334.9695951843
1522433.5753166806,987743.0781149291
1197574.9552313176,939413.0605845642
1804795.204127149,1146940.1291828156
1554255.9185175996,1037919.9649379731
1746051.032903351,1013969.6847590638
1321909.1362383836,855456.4732528686
1490951.2274805065,947424.4917311096
1099753.0298175614,810592.0224401855
1276672.6596534117,841536.5017380523
1436743.1818775684,1069069.5766098022
1407909.5555264917,879363.8047396088
1368872.5592597628,1051342.1541716766
1379829.7847041106,968016.4885320282
1079424.119382078,826792.0870357513
1177655.171582095,793486.6088511657
1509073.5836860489,1017633.9294512939
1430831.97745145,933070.8663084412
1235118.1605913544,897839.0210009766
1626072.846057706,988551.1170572662
1436645.1686087938,969857.8341430664
1251004.9766380496,844050.7332681274
1506924.675791354,940606.1049110412
1124700.8120472103,872888.1682918549
1158161.2364699151,854056.2868675232
1137808.9569186713,887017.5167630005
1417711.8570731778,998419.3506073761
1512215.6362079384,983005.217903061
1232723.2732489049,836108.876999588
1251587.2327267944,941663.7681925201
1354876.1701172614,918135.5550894928
1957583.5698616705,1184018.4873003387
1938559.8757411786,1127346.7846324157
1243301.1196849174,921994.5735732269
1407059.3081784586,903515.0809738159
1394555.0157537577,1027931.3300167084
1360487.6135318847,868390.0471872711
1325312.9819790856,965912.1132223511
1817866.9450247649,1107463.4504193114
1117147.6816765154,878242.0068708801
1483651.766549589,1037761.7774001312
1272248.0979856544,837948.5855205536
1397384.642065094,973634.4443492127
1569605.5429677973,933722.6997384643
1007948.5354607922,831383.7613362122
1122328.4409234514,834361.7863610077
1535363.4321890695,1076466.5618564605
1481745.489047131,864104.6101980591
1000022.6155701227,774482.2954499817
1145923.6831814873,902982.8658792115
1703522.9629746918,1041005.8754587555
1478398.8993764813,930774.7527961731
975246.8913198897,696346.114717102
1317811.3431157598,888190.4251702881
1087319.4819732232,844722.7459498596
1578919.1574467693,970183.4093835449
2110865.163208742,1213874.7335756684
1187462.642145457,876900.5389515687
1035189.0162512009,764771.6656594849
1185873.0678525518,870408.851408081
1461846.8738464066,944869.6316414642
