source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
387730.5872013663,309553891025.5286,556375.6743653775,1107489.817727443,2510969679105.2227,1584603.9502365324,309724.70028405497,160289244802.38977,400361.39274709014,602987.4185982791,595336738406.4678,771580.6752417195,,1.4397389300560741,,,
369817.6794475362,361937632528.26263,601612.5269043711,877387.9325332752,1353704544012.6716,1163488.0936273786,296951.0321578992,165744688457.0205,407117.5364154933,469140.4354019758,480422791791.4804,693125.379560928,,1.3616183256483256,,,
733033.7780061901,1535236504942.4407,1239046.6112872593,1070469.651931715,2596368198759.8457,1611324.982354536,275393.5442888786,121389604416.23029,348410.1095207059,634202.4335228517,1118978270074.1838,1057817.692267521,,1.3767122787348178,,,
318222.92126062885,262133175827.0427,511989.42940947786,806769.9583311825,1482132970055.7913,1217428.8357254362,341487.4437174233,212600389755.62695,461086.09798564407,613531.9602466321,973327655497.2368,986573.6949144938,,1.3368550568230437,,,
343980.04985837167,266616582115.98495,516349.2830594277,774073.6217850264,1091002787395.9374,1044510.7885493272,222094.73638958688,88506701531.13255,297500.75887488516,450675.6791666296,374677292520.47266,612108.8894310168,,1.410655877743812,,,
409812.94735921564,272228374960.3395,521755.0909769252,1022657.7220874178,2680400146879.511,1637192.7641177478,339361.9525271358,206058027872.3459,453936.1495544785,630982.6247420567,1168657367828.0515,1081044.5725445605,,1.4497173603550966,,,
579042.3022277664,884238273094.1625,940339.445675955,995259.3427866176,1436164773034.7866,1198400.9233285773,253506.46108821433,137170116956.66034,370364.8430354322,549645.4681041918,480623059004.11115,693269.8313096504,,1.3783441844537818,,,
206309.11930097514,80892341790.14198,284415.7903319399,683532.0731354052,1489913830355.8438,1220620.2646015033,463474.40017464315,445601355953.421,667533.7863759564,570358.2546472135,1344212197855.3342,1159401.6551028958,,1.4154898835036258,,,
232701.7722709271,87279707530.52425,295431.39225634816,771716.1966362691,1186134346433.9849,1089097.9507987264,209764.30073515893,76442934484.89671,276483.15407072584,568569.0729329351,652066309119.2917,807506.2285328156,,1.459350397822665,,,
441696.86295773485,379206647449.86755,615797.5701883433,1210895.4229150633,2799438097271.5425,1673152.1440895752,340317.4217241527,237062523601.35242,486890.66904321796,653788.33514051,893646135181.5865,945328.5858269528,,1.46640525772416,,,
271916.8981152992,135618177404.15668,368263.7334902212,749923.3702525013,910408236308.4062,954153.1513904915,208015.01323922302,74633062167.45563,273190.52356817876,454327.570801096,353952310264.6052,594938.9130529328,,1.3554229054933362,,,
419525.25229021645,382253340033.1996,618266.3989197534,684477.4592081947,800412689829.2004,894657.8618830779,294612.069092199,149953543284.00687,387238.35461380484,502296.3395257517,410266526505.9719,640520.5121664504,,1.3172999811635413,,,
356144.56444683584,232731609881.169,482422.6465260198,929225.9779010249,1431210995301.5605,1196332.3097290152,322936.08533564484,185421808621.59573,430606.32673196495,554152.3836597387,599630649617.2653,774358.2178922525,,1.3773002574139586,,,
234329.6202782118,101071093795.67845,317916.8032609765,682373.8735731799,874707062283.7786,935257.7517902637,220765.4457826252,86751517772.91348,294536.10605987423,488730.49285605893,384668732158.44006,620216.6816189645,,1.4487339933279868,,,
659322.0271103077,1183058347762.364,1087684.8568231352,1396798.739210594,3522319905098.8765,1876784.4588814338,329622.83943775407,209471134108.03177,457680.16573589004,687836.4137865931,1166465733452.408,1080030.4317251472,,1.3368509783092044,,,
389796.03462344344,335957745938.1189,579618.6211105704,971217.5098688471,1692337210832.8652,1300898.6166619079,322555.5555655446,180365927813.347,424695.09982262214,647122.7438232943,937854469220.2155,968428.866370791,,1.4390331826897729,,,
349015.80596870085,231699106007.46805,481351.3332353698,865497.9925409565,1931176202651.9043,1389667.6590652545,473001.13414666185,545858090073.7464,738822.0963626808,635504.8679001248,1603724223057.2288,1266382.3368387718,,1.3850041050832278,,,
323541.90316888416,226323826854.46652,475735.0384977614,847230.1966273783,2031238432186.0146,1425215.2231105359,446261.0907027433,445844621882.928,667715.9739611805,591807.7985361186,1234167784508.1912,1110931.0439933664,,1.432794383975613,,,
407412.92125468317,288176945897.3692,536821.1488916669,1047758.0469006794,2349092577463.2715,1532674.9745015318,320145.5498143288,171611999537.1101,414260.786868743,598728.7617932892,940525541105.4851,969806.9607429538,,1.3622426511558317,,,
340177.8561031801,197216808534.91177,444090.9912787151,932762.6048860389,2131022809494.5728,1459802.3186358395,457033.600907618,499852250957.704,707002.2991176931,619708.1649956459,1321115979501.6748,1149398.0944397266,,1.308901835708558,,,
765108.3182244998,1980249535751.5837,1407213.3938218409,1229217.1821022136,3394363053787.3184,1842379.7257317284,371464.4142685856,257852486124.84598,507791.7743769054,723349.1447927938,1239848503474.8828,1113484.8465403032,,1.3979527602406554,,,
377151.73064406426,295215861116.4519,543337.7044863092,851255.6078436224,1654724578616.065,1286360.9830121812,275349.8191042737,144140824990.51593,379658.8270941635,618625.2842368776,1237607554512.4932,1112478.1141723613,,1.3746849208002303,,,
347757.3435402934,218765120889.67194,467723.3379784164,829851.1518064658,1170613288898.6216,1081948.8383923806,306577.95922477474,181602500702.388,426148.4491376075,544121.3011293975,551539258438.3491,742656.891463581,,1.4290717568954094,,,
325916.549870724,305670584696.00806,552874.8363743896,726369.8305441972,1262988925206.9062,1123827.8005134533,283767.0031483822,166292883753.916,407790.2447998431,539184.2541145846,886337358243.38,941454.9156722163,,1.3634852231645138,,,
454323.1751698662,431696301554.7465,657035.9971529312,975530.5351403342,1940031630431.5662,1392850.1823353316,192430.32327061702,71814124236.29686,267981.57443431974,494310.8079268297,361089818452.91974,600907.4957536474,,1.4485360949777488,,,
459409.9298790728,457022203584.22815,676034.1733849171,1269541.4863054403,3403543732621.9043,1844869.5706260386,309745.8834316816,171181912356.40274,413741.35925285827,568148.0646241277,733686607004.8076,856555.0811271904,,1.441227605060013,,,
287846.16951928585,167564836339.87604,409346.8411260505,1009069.9419860111,2811242600003.722,1676676.0569661995,331692.6845255263,192379737125.1567,438611.145691895,705371.16093791,1810931138465.4307,1345708.415097948,,1.4691217617049495,,,
275009.56744752586,131073324936.28073,362040.50178989745,961430.2819292205,3045139871373.0225,1745032.9141231184,284844.7406536065,149788537975.41306,387025.24203908595,735047.8331621325,2129321587608.9866,1459219.5131675655,,1.347399322433986,,,
385238.9597122868,417700952981.40137,646297.8825444203,821370.6770512686,2186949085511.4912,1478833.690957672,314806.90020006825,211067649934.74777,459420.99422506563,583127.4896438105,1123772161433.4885,1060081.2051128387,,1.377359127691112,,,
443631.9023373153,344586827852.551,587015.185367935,1163197.6617357256,2251193794048.274,1500397.8785803032,223037.60023915372,94584435649.36177,307545.8269093596,597232.3630416973,809495392104.3042,899719.6186058767,,1.4000945195867651,,,
358551.5782244997,310002810562.7063,556778.9602371001,953405.7891123691,1602523171799.396,1265908.0423946267,379541.6940868467,241873201082.0237,491806.0604364526,555208.7435711832,683897331562.4877,826980.8532018668,,1.4080843653303827,,,
317320.1535783776,216006561941.9125,464765.06101675984,604917.5722230334,739582964439.6726,859990.095547427,256553.8087032586,129816505504.3255,360300.5766083722,478184.5038007328,472780597560.4186,687590.4286422394,,1.329672124709463,,,
325362.94248582644,230086715615.644,479673.5510903681,981932.6988661195,2933040277079.905,1712612.1210244615,282872.6462244892,153009191285.61023,391163.8931261553,622826.5158913692,1411645288264.0188,1188126.798058195,,1.440207540333222,,,
319117.12914022285,196734008945.41275,443547.07635764295,717656.4773427814,889150596704.0735,942947.8228958766,302686.60302903265,149727929495.32776,386946.9336941795,447985.3047532308,347717837892.6857,589676.0448692873,,1.4114591422872969,,,
344147.3258536126,296235399673.87317,544275.1139578891,713800.9504578128,1296196332885.5464,1138506.184825338,281991.216637112,156145616546.55966,395152.64967675426,575004.9555644842,971526719146.3043,985660.5496550546,,1.3422186351050525,,,
349655.7785687626,213030000394.62653,461551.7310059908,914995.9473045736,2070987932548.2236,1439092.7463329886,460617.1611228928,413363227663.32947,642933.299544618,525691.6696361512,1163499929581.8037,1078656.539210607,,1.3403289752132994,,,
274997.6967089567,134089072604.7318,366181.748049697,922049.6552761291,2415548111733.125,1554203.3688462798,413786.1933844887,433651826070.78827,658522.4567702975,583499.6091091674,1522826813527.6335,1234028.6923437533,,1.322507117391026,,,
344726.34117433155,190042224042.63223,435938.3259620932,1114913.748019371,2594476120992.9395,1610737.7567415931,455422.74943589175,479548246991.70026,692494.2216305493,628341.1905965819,1319919499850.8362,1148877.4955802886,,1.3807216298574752,,,
312581.1762349181,194251920552.51785,440740.196206924,903402.3506115174,1745823338692.2832,1321296.0829020434,323442.6219007353,213461035627.79868,462018.4364587615,569217.566780997,761659881022.6173,872731.2765236602,,1.3511959135943359,,,
348789.4019466423,210110644339.40097,458378.2764697744,993023.3108967697,2063047275265.4133,1436331.1857873912,243611.88874997536,124209112369.95767,352433.13177106046,514580.1560055816,495321176417.082,703790.577101656,,1.4372433416093369,,,
347341.4533211723,283118109550.58014,532088.4414743287,730361.7090335814,1214311983457.6155,1101958.2494167443,325177.7931885654,214699354820.47852,463356.61732673954,552893.623842351,892973421340.5674,944972.7093099395,,1.4084261655307624,,,
457026.2904316209,430108947631.402,655826.9189591123,1206637.4485641606,3118314803576.115,1765875.0815321323,446821.487090758,456698095673.2311,675794.418202186,689870.606069601,1393326660070.34,1180392.587265076,,1.412632661687845,,,
442879.6110170094,354296846407.1759,595228.3985220933,812550.3718850582,1545528315744.5894,1243192.791060417,307153.77429840335,154563900756.3371,393146.1569904214,605606.3956509379,1093824460429.1497,1045860.6314558119,,1.4371144530371116,,,
382123.0327617132,291605275464.06683,540004.8846668582,796244.7514884701,1172036739190.9026,1082606.4562854327,233523.0090106409,95502566374.65675,309034.8950760363,445817.35552992974,355906791205.08026,596579.2413460934,,1.3625780722014937,,,
297173.66629682673,230666848789.33054,480277.88705012284,810417.5573744283,1327787957333.014,1152296.8182430314,285792.84811965236,144417445428.88077,380022.953818425,476305.5389437972,696058733396.8385,834301.3444774247,,1.4192480759934714,,,
335230.4419186147,211886766515.169,460311.59719821205,615569.0766314932,740979401511.4666,860801.6040362997,232302.54310126338,92879497257.0115,304761.3775677809,458469.57825615123,401131792339.7118,633349.660408618,,1.398134962683688,,,
366195.0595259005,297876411629.2553,545780.5526301347,807849.4753796341,2043092985627.8665,1429368.0371506375,322616.08369844273,194441624651.41965,440955.3544877527,588643.0522455404,1471736211779.2463,1213151.3556763008,,1.4752127392385328,,,
484078.14468790084,450607654422.46344,671273.1593192621,1144030.675856455,2941899843610.075,1715196.7361238988,478080.7978479842,644373317593.5104,802728.6699710621,659047.388760496,1573736973347.1338,1254486.737015236,,1.3875824720926815,,,
