source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
383300.8738989145,300836994251.04175,548486.0930333984,1119527.9628987703,2491811016223.7144,1578547.1219522445,301233.0975353092,155530829579.00598,394373.9717311552,732194.7612479548,1259341175664.1125,1122203.7139771516,103904972.18805513,0.36590608702856936,1.019052737427938,1.0,0.43513547734707636
368048.74528656685,360775948432.1114,600646.2756332643,867468.1854021959,1362242332382.4001,1167151.375093394,325350.1420673292,183833568477.59866,428758.1701584224,691237.6419372776,1233027643242.5437,1110417.7786952727,79613043.15392515,0.38509561648002294,1.0638363250516543,1.0,0.38375349713112095
727013.0724790756,1543117522000.1602,1242222.814957188,1144844.412713679,2795093134905.556,1671853.2037549098,282828.75138058944,126675285867.54181,355914.7171269289,880056.6398878379,2070581216482.3826,1438951.429507745,110158111.02005582,0.3916741535027235,1.0404235964869533,1.0,0.22471318259798947
300504.79876043665,250750058411.67023,500749.4966664173,808537.2790776211,1448102256844.8662,1203371.2049259224,352449.94214568095,227341764205.6963,476803.6956711811,724414.5580110262,1325893224038.7998,1151474.3696838415,73378538.94315536,0.35549318037452016,1.0535796296388744,1.0,0.3097391842275729
350897.0079232187,281371454273.53784,530444.5817175795,783469.4141174819,1062939933175.0537,1030989.783254448,229620.40249502368,95819908267.54898,309547.90948663984,617450.2150375065,789623267807.9215,888607.4880440304,71476778.5700487,0.3568008713475968,1.0334429585281146,1.0,0.3602829614114889
391881.07149981946,249457186856.23837,499456.891889819,1009195.2262157094,2600207003173.677,1612515.7373413993,327619.93367321277,186240360330.04288,431555.74417454214,705676.9026290819,1806411775744.7253,1344028.190085582,97980287.73584034,0.36150251733367766,1.0121926458587844,1.0,0.3389267145032597
582184.6526179475,862302279627.5819,928602.3258788349,977961.9523222514,1420368081190.1436,1191791.9622107474,251724.29072243237,131244102846.575,362276.2797183594,712769.1243385131,862047636405.1506,928465.204735832,92557915.80336486,0.32828880309926467,1.0688344888722523,1.0,0.22544475956701482
212861.3976623441,82999368028.28516,288096.10901274794,698063.3514396682,1479056206666.1023,1216164.5475288704,455430.62607562373,397203494621.7543,630240.8227191843,596569.2787329941,1477950825071.7131,1215710.0086252943,71283297.06229801,0.3433825998447341,1.0344801253200355,1.0,0.2742408758779895
239058.45963680936,88864766080.13332,298101.93907476234,813041.1697830915,1228556540611.8857,1108402.697854839,229395.27325807893,92281034353.46924,303777.93592272175,506201.53869412554,622155302899.0663,788768.2187430388,75213078.8186534,0.3409783002721332,1.0151171588330694,1.0,0.3105502452974844
428941.3172843224,392225007353.3303,626278.6978281557,1291228.4482377046,3108368793613.3857,1763056.6620541115,352980.5374471183,246780704400.7044,496770.2732659276,819623.8216095414,1635702153016.1028,1278945.7193392152,122791835.84107582,0.3679077600294754,1.0360380710990773,1.0,0.298315477058849
264843.43747525074,131012867209.24805,361956.9963535006,751038.2747776966,997762809485.6025,998880.7784143223,213158.00929927264,75801796078.87862,275321.2597655303,555403.4708031878,691046944359.6812,831292.3338752025,69944676.54047559,0.32916970420298475,1.0228296543900308,1.0,0.4063120567256236
422977.20288653136,386462983132.318,621661.4698791602,707923.7170022578,779609090756.1501,882954.7501181191,285111.4026104598,143625512064.23468,378979.5668162529,637461.9423493494,694755332705.4008,833519.8454178525,59641737.814220436,0.35804668315443433,1.0542034577715316,1.0,0.20787784840005516
395160.99406210246,257309157698.20444,507256.5008929944,921208.4375529147,1396716765468.5085,1181827.7224149501,352696.2030510906,225484951824.67142,474852.55798476166,680059.4768754068,1025859652875.315,1012847.2998805471,86303840.42240696,0.3514689639474092,1.0735628877523413,1.0,0.2354761520139941
254718.46564627351,113994963292.95567,337631.40152088297,669010.9710046697,833297301520.5295,912851.1935252807,224894.5798396426,87381841651.46437,295604.19762152294,537294.330853553,591053212411.4927,768799.8519845674,58910577.71662742,0.35161850181046483,1.0219723297797323,1.0,0.36075296305684895
684336.3734936735,1286391326056.4678,1134191.9264641535,1394012.4452490576,3468371616746.4507,1862356.4687638215,361769.40128101385,232873871592.26352,482570.0691011239,967587.6779134115,2440277454443.0186,1562138.7436598002,134755646.91076195,0.3590543950506053,1.059596328236991,1.0,0.340824876491767
412839.96883353323,366896724060.22925,605720.004672315,946972.8258826729,1499659614995.354,1224605.901911041,340887.4194759842,198582620067.1447,445626.098951963,704401.191235238,1137341539555.765,1066462.1603956537,86383877.95530774,0.3649967936606501,1.0502637236384629,1.0,0.27252546587016363
339988.5189594233,227916389930.30374,477405.8964134228,844522.7006879395,1899444119012.4329,1378203.2212313367,470204.08172980644,530509707163.63306,728360.973119533,667041.6749909503,1644075475246.1938,1282215.0659098472,79727961.63881396,0.37673646660336224,1.0351168586870605,1.0,0.2849476235897636
321051.4240990921,228045524300.66342,477541.12315136107,858673.6440827937,1936934688904.1184,1391738.0101528156,420624.8390241153,434497814017.59564,659164.481762781,695432.1657117005,1477820578560.331,1215656.4393611918,88722213.32769687,0.381904639385309,1.047095314122146,1.0,0.3228673982562153
409728.6369198312,296313140994.3504,544346.5265750764,1036226.5238975302,2152229822603.5288,1467047.9960122397,301827.63623899117,164208092992.27402,405225.97768686304,645786.8589497969,1141242875909.4763,1068289.6966223517,97302178.33683234,0.3590199912238333,1.0468746836778196,1.0,0.32567026843666846
359343.2283625692,215963738890.78226,464718.98916526133,946062.6531466389,2239864006128.546,1496617.5216562666,444383.69029401056,483492839221.8727,695336.4935208511,745874.804538457,1644993125102.087,1282572.8537210224,98506184.2453956,0.3491708881816746,1.0783487100915448,1.0,0.2491454740026568
770578.0185643507,2037552770832.785,1427428.7270588276,1225365.7968773313,3178427534068.966,1782814.497941097,378495.5353107615,266626157902.89493,516358.5555627939,885605.7729104671,1943406156354.4185,1394061.0303549909,122842170.86273779,0.3541435868403486,1.0465575842021098,1.0,0.27106398627776057
385418.81748051196,294603124415.30115,542773.5480062575,883031.7908418374,1737504538686.1382,1318144.3542670652,293414.0728959619,152668338762.37473,390727.9600468525,767557.8662243577,1928679611750.2725,1388769.0995087242,84413376.6290912,0.36569861996041453,1.0610318253345448,1.0,0.3368799405750435
346031.0051246775,208827459882.5107,456976.4325241628,789871.5164305732,1066637840367.5548,1032781.6034223087,306402.7781585854,163038047859.95435,403779.7021396127,628385.4010757592,782538865178.9421,884612.2682729096,70906963.24072395,0.37912059208500487,1.0346280829325036,1.0,0.1982425253311103
326851.7738721417,332566431396.935,576685.7301832038,749749.694816165,1262371234706.4824,1123552.9514475418,281557.6352445885,170501631535.94507,412918.43206127896,614866.1907733412,996117689628.1282,998056.9571062205,71150167.98183456,0.38320712261620726,1.057371318441934,1.0,0.21504479038210977
458819.22837261757,451146539641.8439,671674.4297960462,942402.2676156226,1950375068677.9773,1396558.2940493308,208380.21543430365,76907255446.37509,277321.5740730877,516023.94981847034,511731473713.15576,715354.0897437826,93686552.09481159,0.32035313996408715,1.030625071678326,1.0,0.2965423567430879
448494.3114697512,415800327064.9974,644825.811413437,1274894.5548198572,3477326273694.6655,1864759.039043561,304532.7358603447,164659264573.41742,405782.2871607599,735215.8477122348,1696727686835.2375,1302585.0017696493,125830901.88459128,0.3146993830457312,1.0226823054532077,1.0,0.2703727290315208
284917.9884368957,166736333166.72742,408333.6052380791,994837.5111017914,2891214824006.161,1700357.2636378983,350691.8789710719,220038625499.22708,469082.7490957508,779801.6630506105,2253132214596.1504,1501043.7084229593,100828419.02894275,0.36501705354649305,1.0246899252386403,1.0,0.37400961014950357
271639.32693092455,131269172101.52832,362310.8777024619,961454.5055697219,3032969574568.9844,1741542.2976686454,267657.6095689946,141247828170.38498,375829.5200890757,833586.0767251163,2599431097038.729,1612275.1306891541,93850184.96197227,0.3677170248553527,1.0403415852445512,1.0,0.22576190899606685
409636.5487328278,358817317987.28125,599013.6208695769,901036.7838908087,2257715559272.6714,1502569.652053665,331576.1875698412,229057345714.83493,478599.3582474123,796556.0893701229,1995894702880.2993,1412761.375066681,90396563.71362923,0.34431161404943506,1.0504708919612096,1.0,0.3655572430970321
475349.9332879432,413967864944.9547,643403.345456763,1128683.1435925867,2261963156553.3706,1503982.4322622158,232245.9661197342,104327712458.4665,322998.00689550163,719285.5404217343,1190673314494.113,1091179.7810141614,109408874.92624074,0.33609650767383115,1.014059979169185,1.0,0.3507786509930668
350569.4287706744,311271552715.4151,557917.1557815865,960321.8437496647,1703053171183.301,1305010.7935121844,376013.017095589,252228647163.6427,502223.70231167175,702408.4033022565,1422459743022.5535,1192669.1674653762,89026350.23727357,0.3724305543203037,1.029990390948674,1.0,0.33484938448746904
308277.6904223421,208668606322.92,456802.59010093194,601432.7656134375,736755248443.7025,858344.4812216727,281155.3191980243,151160577117.31534,388793.7462425487,516391.4650841578,559940826702.566,748291.939487902,49511801.29971508,0.3642449081835327,1.0681140288078046,1.0,0.20452393461489785
332458.6825828637,219344124464.2406,468341.8884364718,973711.3512484948,2834561502066.3857,1683615.6040101273,262164.56695030676,128515679598.06848,358490.836142388,654087.7983716745,1498143116610.2888,1223986.5671690556,95559285.16789876,0.38089596655465885,1.0600062975726539,1.0,0.33941029115688914
336239.3752081235,205698809025.97052,453540.3058449938,717606.1280658685,836438358068.864,914570.0400017835,309677.9117554601,166019523287.3242,407454.93405691406,577348.4550594346,648859559722.6342,805518.193290899,62013559.19762042,0.3577798865085803,1.0364480012619732,1.0,0.24903143050471693
348027.18236546067,274113663822.9107,523558.65366061014,710618.6247465569,1254810672407.694,1120183.320893368,291335.182466965,163500715095.04337,404352.21663179167,654367.65117501,1183779849930.62,1088016.4750272029,68185620.59850736,0.33679429681135664,1.038496000972895,1.0,0.29504728703866534
372161.0603595264,235603272316.08008,485389.8148046373,908870.7832549489,2124466897137.1895,1457555.1094683143,470664.55297957413,430315872446.57404,655984.6586975751,647743.0205363329,1537953455288.4873,1240142.51410412,90250604.49034728,0.3456500482108391,1.0430836716688712,1.0,0.2624106819224753
281010.2168520571,150163700907.064,387509.61395436886,981192.347115876,2507652182997.457,1583556.8139468369,416405.8761351752,428567099319.64813,654650.3641789624,696135.8063776669,2015421254765.6816,1419655.329566188,100275721.26189406,0.3528500776375663,1.0503185978913696,1.0,0.3125144724804916
336291.19250776345,183261524082.41403,428090.5559369583,1198051.2000904782,2839233943694.4526,1685002.6539131778,438143.1556725715,429891629995.6713,655661.2158696527,720032.8014089566,1636622292656.134,1279305.3946013572,119307967.8758696,0.3641620452023607,1.0309154001670826,1.0,0.22785382705530186
303581.3734042433,197358402036.64987,444250.3821457556,889138.7820646373,1709583925468.1895,1307510.5833102039,337830.7513786764,231007100519.50534,480631.9803337116,754901.4144112536,1485178878312.0513,1218679.1531457535,84177577.33122016,0.37198900286036285,1.0518392162736894,1.0,0.4041892696914452
353558.13643316826,219104288097.51877,468085.77002245944,982339.7038896882,2084929580870.6719,1443928.523463219,229799.50379072424,113397780395.72072,336745.8691591045,636695.9117833147,854931803377.9739,924625.2232001752,93300563.37551391,0.3419370565831898,1.065257556348143,1.0,0.27430076693356487
368219.02904537483,256843094351.17706,506796.89654848626,776776.130961127,1286319779797.1577,1134160.3853940403,320694.44638143736,207304548889.45413,455307.0929487637,672898.5178133477,1095727364718.8805,1046769.9674326163,71843704.02820545,0.3525444546264197,1.0429839729341956,1.0,0.2356716639406618
488612.6533671738,459732863537.1937,678036.0340993638,1200007.864030325,2916930818533.7783,1707902.4616569232,452030.9705989898,467421101223.78015,683682.0176249922,926493.3727078921,2145336453117.0007,1464696.710284078,114038518.37198098,0.37537907429539874,1.0556616940399461,1.0,0.25865539146715877
442801.7124042821,343000070756.1839,585662.0789808606,862631.9443152357,1800663008677.2212,1341887.8524963334,287859.28262357647,144622285978.09937,380292.3690768714,703004.6915545048,1506510251801.3418,1227399.7929775538,79895741.61865,0.3713960954837017,1.0167327865118305,1.0,0.27439478389809113
393254.2969764044,289989913030.61536,538507.1151160543,813089.9101282686,1179894651399.5496,1086229.5574138782,230465.76082088874,95934535538.74872,309733.0068603421,533391.5350796446,539757263165.4331,734681.742773994,76172050.05995467,0.3501928894497175,1.0378058341167824,1.0,0.3140765911686933
299496.41225101886,240866237121.53204,490781.25180321635,774941.0762541383,1333680688887.11,1154850.9379513487,288592.32228083356,147027603876.39185,383441.7868156676,620728.2177234082,1104288960218.1882,1050851.5405223463,68262660.82224499,0.3339181920840594,1.0627165044347646,1.0,0.3452674118967873
328023.72836844693,221887934216.05585,471049.82137355267,642647.5410419911,733114818672.932,856221.2439976784,234444.6865161725,98995134520.42343,314634.9226014548,529014.4746060255,501537735826.25946,708193.2898766124,58271875.503933966,0.38199475487076856,1.0625246420434489,1.0,0.3103087086802046
353627.68339779443,300497616605.10046,548176.6290212494,789270.8294432302,2063834208355.3696,1436605.0982630437,323455.43780032895,199001878605.46274,446096.2660743337,617772.2188024056,1405353042526.6829,1185475.871760654,74264025.54503147,0.366594139745811,1.052981091611632,1.0,0.3063267773059069
453252.075217344,374549491756.1436,612004.486712429,1130081.359010049,2728000678184.964,1651666.0310683162,484714.80542088085,642153440980.1724,801344.7703580353,785464.6922477393,2305879392510.2954,1518512.2299508473,101967386.5911726,0.32809269242370614,1.0306790322616606,1.0,0.3537808784906447
349922.9167821001,228125954547.609,477625.3286286323,931056.4302866651,1894800824833.758,1376517.6442144713,356466.44377506676,259124603547.1782,509042.83075904154,774951.0922326803,1855322749393.785,1362102.327064228,86727511.23744945,0.3745110776374739,1.0645214862948675,1.0,0.28360147938233776
323140.9348370631,239166179783.71863,489046.19391599257,945100.2633586418,1816052620502.952,1347609.9660150008,311447.0288939539,164618341482.45203,405731.8590922483,724334.116706357,1415969486592.0728,1189945.1611700738,90980512.44492929,0.35979864327606026,1.0558021988576318,1.0,0.28000399644191515
307751.52844523254,190492161202.35324,436454.07685385784,1126925.100938246,2392196849089.343,1546672.8319490657,290701.99517740664,153065054464.43405,391235.29296886554,583596.1541470743,1064708445740.3667,1031847.1038581087,110026246.19896044,0.3571617133041266,1.0378149790064377,1.0,0.2922325137713292
450350.3289240681,557640735930.0542,746753.4639558455,794843.2349399035,1162536100211.1912,1078209.6735844987,262481.41596330696,126048741006.20146,355033.4364622598,623613.0605534724,672111483661.0841,819824.056527426,72750214.93006392,0.34727623362986154,1.0485377362157338,1.0,0.38076279873449614
