source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
377779.28502000385,305429708956.71686,552656.9541376611,610603.889580289,668588278353.9608,817672.4762115702,316187.8682722596,173707822130.3861,416782.7037322759,1064722.7435287081,2442618121914.0938,1562887.7509002667,,,,,
370126.40768120275,349238758434.4769,590964.261554349,528089.1002863388,556717529278.5183,746135.0610167829,289114.48647496995,169567969233.80167,411786.315015205,863087.1485703632,1361035843296.3706,1166634.4085858134,,,,,
741089.3908618899,1558450358215.9087,1248379.0923497193,651231.1000015753,1172003267371.638,1082590.997270732,281947.4516348036,128200962276.34412,358051.619569503,1125510.9588692598,2683880529623.9453,1638255.331022593,,,,,
297166.7096917679,244528608349.8862,494498.3400881,656775.9351178886,1083321094459.8551,1040827.1203518166,348465.318012981,217047212461.99564,465883.2605513914,841565.2729624329,1509339305432.4055,1228551.7105243905,,,,,
342161.9172761437,279038009302.0444,528240.4843459505,482577.1928454693,428692233465.6568,654745.9304689544,229356.08941126586,94509606195.265,307424.1470595064,755672.3820805097,1077213950452.8313,1037889.1802369034,,,,,
394973.3177850943,260860047886.24075,510744.60142642795,710592.0759150462,1389831647400.0608,1178911.2126873934,320831.4633651758,188074967946.44632,433676.10949468537,1022142.9672880396,2707283126888.775,1645382.3649500972,,,,,
589405.3544235447,908787833222.1165,953303.6416704367,611690.0410180979,602990727135.9061,776524.775609836,263643.78671791963,141618426676.07547,376322.2378176388,965689.4685558672,1424726939367.8494,1193619.2606387723,,,,,
227074.70321884193,89948530460.26305,299914.2051658491,602812.5108698511,1398042309029.3948,1182388.3917856242,469548.0882252237,438129232406.3218,661913.3118515761,681109.358272186,1488954817072.853,1220227.3628602389,,,,,
237063.17224730708,90309848425.70071,300515.9703338588,637455.7784824943,829333803069.5458,910677.6614530225,211295.85220057474,76146170177.03432,275945.9551742593,770148.5872150845,1173130669885.2163,1083111.5685307845,,,,,
419651.9259250205,362342430585.942,601948.8604407704,753136.7339344244,1152995390201.4355,1073776.229109881,341022.26219656115,240740834321.2555,490653.4768258098,1210203.5412407462,3045559615983.34,1745153.1783724143,,,,,
271985.7692740519,140994850806.1862,375492.81059187563,483434.4765313683,447946014468.164,669287.6918546791,198338.40208944582,68788309488.02747,262275.2551958104,714569.8496727875,917560153012.9502,957893.6021359315,,,,,
418037.170726186,382108858329.3881,618149.5436618781,529762.053858703,436743237970.65314,660865.521850439,274928.15794565534,138078545272.95734,371589.21576514747,687820.71702127,841395502513.6006,917276.1320963282,,,,,
401863.9931186173,272218838604.61008,521745.9521688789,599752.7618502409,695565754838.2625,834005.8482038735,313419.3749181988,176242038181.20044,419811.90809837735,901785.5820374684,1360340118400.4622,1166336.1944141416,,,,,
250167.225647055,110695575349.92265,332709.4458381407,495328.8197431717,454257954460.1102,673986.6129680249,217268.48779203606,85052196079.18735,291637.09654155344,639069.3872453064,819908927329.2922,905488.2259473572,,,,,
726090.6677019285,1444571703077.1116,1201903.3667800052,773320.6794912093,1392334567348.9663,1179972.2739746755,329865.86752143607,208712132381.30396,456850.2297047731,1350746.8081815494,3182832208987.6875,1784049.3852434936,,,,,
421415.59183997585,380058346805.90454,616488.7239892589,706258.4817793578,1081531860508.6676,1039967.2401132007,322851.96707384696,191056236744.42142,437099.8018123795,952588.6277169456,1628537709903.2065,1276141.7279844768,,,,,
342405.0911661888,229816029733.82062,479391.3117003901,675920.7450859407,1663287797796.0247,1289685.1545226162,468515.76912167826,520009742066.15814,721117.0099686723,879257.5548317326,1948509941558.464,1395890.3759101084,,,,,
327155.3124810213,227432697274.64832,476899.04306325497,675986.9272974618,1390863586910.0889,1179348.7978160188,455925.36936254427,498181214804.9493,705819.534162203,839500.3325865433,1783524044053.212,1335486.4447283663,,,,,
413545.0903398412,304927821630.4969,552202.6997674829,622079.1446835551,1057131645268.9689,1028169.0742620928,297279.3090797244,157122520313.10922,396386.83165956615,1062855.8593793546,2295916590545.0967,1515228.230513508,,,,,
360568.57854546077,216912354379.41342,465738.50429121,678791.0650365198,1428102388030.0647,1195032.3794902232,446370.4924094214,514368933171.6372,717195.1848497292,954501.2024128074,2340103067607.1235,1529739.542408159,,,,,
753634.193942565,2015883801630.09,1419818.2283764672,776385.573778046,1337497990470.652,1156502.4818264127,381405.8111365002,257666836707.91202,507608.9407288962,1255420.0804532706,3069541094226.3545,1752010.5862198307,,,,,
