source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
337542.2135702615,203175865371.13275,450750.3359634164,553765.9856348378,589091710648.3369,767523.1010519078,321291.73442374857,170001666483.38214,412312.5834647569,596203.2806955732,641889781785.9967,801180.2430077746,,,,,
327459.72601631464,207764908447.42877,455812.3610077164,522717.08072747925,505244173239.50507,710805.2991076425,312374.67299254873,190460678709.9099,436418.00914938183,627793.194972299,704115802007.8508,839116.0837499487,,,,,
408840.4053655931,306924776962.75757,554007.9213898999,650556.9875922773,1455815850083.5684,1206571.9415283815,411299.5439191665,358332714788.1643,598608.9832170616,788016.2502853221,1563948452125.291,1250579.2466394487,,,,,
246686.29173143083,109126327324.07643,330342.74219978927,739864.7364771011,2324759449623.075,1524716.1865813176,523002.12879994966,516165897437.7388,718446.8647281709,844404.7427728643,2564625879018.5356,1601444.9347444125,,,,,
233978.80110267707,92388319824.88506,303954.46998668247,596070.520387609,1067777836191.5503,1033333.3615980616,337285.55744558416,234932481510.8429,484698.3407345675,622818.8717056843,1089865555400.0133,1043966.2616196049,,,,,
301765.76480613067,207195989613.54782,455187.8618917115,704151.3421536698,2626969892261.7236,1620792.9825433362,475075.03285635693,570735968178.3575,755470.6931300231,806636.5405098259,2756597558539.977,1660300.4422513344,,,,,
328459.7416636597,195089705920.2577,441689.60359086754,843216.4988292117,2867288840802.425,1693307.0722117783,372145.42082187167,249373867462.55145,499373.47492888675,1632687.417820148,5704602198736.022,2388430.9072560635,,,,,
260282.0364311548,119342104747.18039,345459.2664080389,563792.4317148038,1446724782893.4,1202798.72917018,283187.03943872295,149997612255.60138,387295.2520437107,663728.641477994,1631917333328.2446,1277465.1984802736,,,,,
271868.1731451013,148694217893.19797,385608.8923938321,478748.9391572839,584567076116.7063,764569.8634635728,300747.64122596796,184873818294.91922,429969.5550791,574071.7088191349,772128958437.7455,878708.6880404367,,,,,
259839.50963256115,144675132803.62674,380361.84456859855,450188.2370166991,727831302239.7412,853130.2961680245,242692.70313583128,108594302431.99646,329536.49635813705,492323.66096004256,758680219556.4547,871022.513805731,,,,,
337269.54979643633,211285626975.7912,459658.1631775848,673462.3425455377,1843464639978.798,1357742.479256946,252602.9181575275,114285275707.60033,338061.053225006,743311.5176634591,2056011594853.975,1433879.9094952042,,,,,
307361.7359254183,179080147312.77493,423178.6234118814,557307.4581843215,599498728487.2821,774273.0322614124,239429.50124504633,124323066516.13199,352594.7624627059,786654.260656956,1106964808031.653,1052123.9508877522,,,,,
329778.07954532496,227344815737.53543,476806.89564805524,714825.7535358219,1268197535105.9429,1126142.7685271273,284393.3474839298,153326355701.77103,391569.094416006,770264.9592084198,1260793248114.8655,1122850.5012310701,,,,,
396437.9433988956,310797385184.69464,557492.0494363077,664104.019414455,889539982697.8945,943154.2730104628,388262.6294830559,269651106525.8484,519279.41084338055,914739.5720865065,1409274463072.9377,1187128.6632345028,,,,,
410333.0116074987,384204542569.8953,619842.3529978371,745297.3039198145,1208283435582.6506,1099219.4665227917,237749.6795350977,105427257213.858,324695.63781156344,944438.6895246834,1679629845601.7788,1296005.3416563447,,,,,
280897.2948869605,184456354661.58215,429483.8235156036,652477.2210672459,1837917221551.5305,1355698.056925483,447375.4016377953,369274910115.04956,607679.9405238333,798195.5702870099,2158399933800.0896,1469149.3912465435,,,,,
359985.37768321723,345009590075.2516,587375.1697809941,769696.4641951439,2255220284958.233,1501739.0868450594,472328.35090021684,555717778644.8286,745464.8071135408,883297.4691426626,2582404431544.358,1606986.1329657945,,,,,
