source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
331040.3520539143,190475543606.41425,436435.039388927,582696.3601582072,608075705075.3286,779792.0909289402,311140.6652232967,162470876530.6492,403076.762578357,567553.6555854727,620818247497.1975,787920.2037625368,,1.3055286967889548,,,
319847.0538297111,189453725647.25992,435262.823644818,667039.8880608352,791761926302.7543,889810.0506865239,323943.05582058686,205092230012.71902,452871.0964642356,512223.4528656756,481908373013.8928,694196.2064243025,,1.2581063683998233,,,
407351.1023625845,305940307284.5554,553118.7099389745,801574.2119837271,1660020268492.2468,1288417.738348959,400520.70476341096,344488011116.82654,586931.0105257913,602574.3929782956,1469773158860.5784,1212342.0139797921,,1.2836567635329001,,,
238911.29362028235,102315608563.48685,319868.1112012994,820432.4965018183,2438072584160.3276,1561432.862520937,506950.27376360045,536978007299.75195,732787.8323906258,742383.4172798529,2227955381741.439,1492633.7064871069,,1.2947186083456015,,,
237963.77440584244,94394344453.80638,307236.62615939265,600547.9107163927,991516520503.9667,995749.2257109551,318133.3480520284,194105018290.31418,440573.5106543676,593878.386730493,1065752381214.3378,1032352.8375581373,,1.3308468075676503,,,
312952.2242516049,214109615559.60645,462719.80242864735,796637.6386808625,2719426896108.524,1649068.4934557825,493253.5779541207,555193163266.9331,745112.8527055033,686394.9708879036,2564265183723.358,1601332.3152061093,,1.3120031405876227,,,
373097.58152154984,231486649705.02777,481130.5952701696,1561674.1218524817,5648846840493.25,2376730.2834973196,379327.59625898674,260213004611.13095,510110.77680355957,659728.6328797836,1912597732104.8435,1382967.0032596018,,1.2585078591048193,,,
267556.20038997417,118984297993.572,344941.006541078,651108.7160415903,1617634181238.6538,1271862.485191954,285745.578095156,151404352706.4392,389107.1224051793,562349.6989464941,1362188012467.7805,1167128.1045659815,,1.299660911884729,,,
265293.67464521097,146636077604.61118,382930.9044783552,591227.6331470502,777599953832.9922,881816.2812247187,353257.7255995585,232629769199.3726,482317.08366941824,481010.98907323414,600575018216.7766,774967.7530173605,,1.289545859079042,,,
260347.441997367,148366280140.13815,385183.4370013048,472568.62890340574,728901350449.4806,853757.1964261739,228525.83369780035,101752883281.07378,318987.277616324,445788.17856070685,706872303586.7612,840756.982478743,,1.3419479809553816,,,
