source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
348209.1071527767,208612469134.20715,456741.14018140204,563789.5910561839,556407258742.0604,745927.1135587313,303471.36380127544,155773688830.32556,394681.7563940922,599153.8231643443,699406531927.9176,836305.2863206818,45733600.11679597,0.4012092023955103,1.0969653382908073,1.0,0.2595051544035593
331626.9318325718,215519429386.8922,464240.70199293405,662118.593595709,784475293818.9603,885706.0990074305,315729.1128864333,203491613884.44473,451100.4476659769,583601.088937419,631196292741.0623,794478.6295055785,57318895.340020776,0.36695739198917976,1.1021387579147408,1.0,0.23731809682821053
407493.4700969558,301888987743.75745,549444.253536023,779450.026789676,1590523654616.2668,1261159.646760182,421186.3742816265,403865585171.94025,635504.197603714,668324.8995492656,1587156840756.6787,1259824.130883624,72292012.79248737,0.38418590583976503,1.109911703910951,1.0,0.3114364285257952
237806.78365840856,99581915971.57034,315566.0247421613,803170.2504761795,2626118350831.4644,1620530.2684095304,549040.951595298,639674608042.3827,799796.6041703245,771617.941019501,2372448253606.5947,1540275.3823932249,83841158.17643182,0.3698723779811239,1.1059526778359556,1.0,0.27952943222502563
234531.66983097373,90314599765.6063,300523.87553338637,622998.0189076501,1048826245194.5183,1024122.1827470189,349383.3564072576,227557929604.72882,477030.32356940245,624447.8173227438,1134688292647.6882,1065217.4860786356,57323780.217266485,0.4043947236907407,1.1073058102629458,1.0,0.33076373731422093
308593.92407666444,207456085112.62158,455473.4735553999,824546.6104465947,2919645604731.206,1708697.0488448811,502843.590474872,606720046428.193,778922.3622596754,716986.986361723,2548802536298.9087,1596496.9578107279,90105416.24847454,0.3825316090489951,1.095312354617914,1.0,0.2680797748316431
323553.1638637781,191425297328.35782,437521.76783373626,1595743.4341072282,5851477149441.125,2418982.6682804334,364841.2921610293,242828053783.71182,492775.8656668484,830263.9543340777,2877401518930.2256,1696290.5172552918,152035201.542348,0.3709615145381291,1.1163750557403223,1.0,0.35601188154881847
258619.34666723182,113229558402.01094,336496.00057357433,657829.4608800326,1638461945225.7422,1280024.1971250942,284629.74321915564,149817298319.30997,387062.39589930454,558200.0458736139,1282261649964.5159,1132369.9262893358,59816614.22342119,0.3565528775922491,1.1119611942526606,1.0,0.2890896552697401
266360.9006930319,145746000242.18747,381766.94493131206,591372.8243552506,792144614417.6218,890025.0639266412,304603.7092790162,187285295848.15808,432764.7118795132,565832.0209719941,755529950206.854,869212.2584310774,52868530.93997119,0.3794119519786404,1.0790461472987394,1.0,0.3614218133693906
257506.62720175367,144310525880.97223,379882.252653335,481043.2378243192,717298092607.7554,846934.5267538426,211453.22429085718,93905435109.43622,306439.9371972201,515427.76067161554,808613435832.4839,899229.356634048,43267849.09418813,0.372368971333339,1.0977223219830883,1.0,0.22996647325445305
337074.92161587515,204495137811.89597,452211.3862032843,748070.9637467554,2073229823077.4294,1439871.460609394,217828.35982008296,77350558169.49712,278119.6831752422,710939.3521874934,1867637900398.84,1366615.491057686,71258791.2194365,0.39812535807817584,1.094617213862794,1.0,0.2156081410259094
298983.9971181857,169502487815.0897,411706.79835908674,785983.70130344,1027676867297.9371,1013743.9850859472,252240.13003540775,138443277069.8543,372079.6649507392,548443.2678561637,610257811485.799,781189.9970466845,70789567.76684254,0.38929394869756556,1.1072957268304913,1.0,0.266639654142572
327166.7779037146,224005490858.85944,473292.1833908304,767812.5497272338,1262885006910.9534,1123781.565479232,293074.11489146,159880443779.5297,399850.52679661394,726137.589132844,1223530846174.5144,1106133.2858993595,68754142.1264823,0.36109297708490856,1.1082649082328193,1.0,0.29097558594901013
