target_rmse,target_mae
1412271.1275737935,872344.6789942568
1492836.8278591128,951674.5122129816
1601538.0418826486,979405.1398192411
1521078.3506587318,928043.34973009
1242365.662420734,902390.455436153
1382867.2583878809,916770.6987581862
1499878.6404624016,997942.7743208426
1540814.4260846325,1023169.0709179759
1267294.979190748,850600.0771068137
1558656.9991478585,1026847.2416890668
1958070.76942974,1155171.5785101934
1450955.2472112735,989080.3457302982
1383311.8239136606,983622.7375158102
1435286.1984365492,966758.9156575901
1183579.2657780377,875551.8630412004
1324404.497065597,813288.5443171667
991473.2310773935,760345.8456759563
1308640.0652083391,885817.2613108899
1114105.5139100987,815149.6741782599
1220385.836422531,931333.8978729156
1141936.4876646197,842470.7135755207
1334821.0330823488,910787.9185754649
1578401.5310440303,916678.7842661014
1704173.7097592275,960994.216278207
1731099.4967824214,986967.6180716926
1165110.4898465816,837172.7651676085
1596544.8703755317,1031295.520039616
1029960.1227567167,779028.0483403851
1234001.648796824,890884.1091808289
1460089.9214450808,936762.5632038568
1267535.1048643459,946611.4553659422
1461146.763757062,1043328.6400994146
1154873.3987509578,891853.3194224415
1863286.0289707913,1102486.7880006449
1163066.7126708971,813193.943424031
1616796.0493869637,966145.3277330133
1431384.4000400545,897308.3812584078
1612768.4318872301,1027264.1151532715
1850108.200729516,1162567.1858514012
1737241.717793387,996659.4885867873
1239648.9399306807,894558.5221578402
1531215.7986162659,981393.6961551193
1585759.7422474606,957863.355614093
1476030.659744165,1060689.7019755368
1133429.8692970087,807647.3279206668
1498074.6153664126,894656.9107642458
1622133.6996014083,987433.6639070953
1541064.286681469,1004941.8397122809
1105259.112668697,773203.1753914577
1613247.8333151964,976727.8651007017
1836557.1520018128,1076776.6816286691
1288721.2168807022,890953.7486451895
1184386.216710146,899044.1044946637
1492793.8827217738,966034.9257861164
1405860.5513468198,891925.6977432722
1491603.2133363327,1029154.8574856514
1215160.5855385968,843057.6727248634
1545716.159991233,946295.3564607628
1513938.0836522726,958972.0734106676
1130712.5776433563,875416.0998858324
989711.511449557,796250.2798165441
1045472.7270887634,779772.097345381
1659179.2290657405,986540.4461588707
830037.6383771647,689119.3023355099
1755467.8097413147,1071737.4641211007
1679661.282696829,1080400.1907861712
1418265.2933603015,916514.3340274283
1126576.3803886473,820151.423667328
1465772.6379801298,1010402.3567158718
1222741.1249054545,894242.930834824
2072754.5353634234,1192593.0842909666
1708133.9944984142,990454.8898299948
1122840.844770998,844675.1391565203
1488434.4515614996,1038736.2394128841
1514204.6772923993,1008046.2500384682
1084169.2928444825,787911.0407297915
1566250.345863743,920471.4217075143
1820426.790899231,1007413.7457162826
1780165.7263250037,1002409.2183548921
1300052.0986499847,898060.1019710583
1580942.0100381973,1076545.3264004514
1669948.140584148,1024592.5218828274
1870513.8273919395,1062433.0508708204
1334222.3273558253,877456.6982005626
1270681.7179490938,840813.5112395729
1114516.98872332,822232.827389381
1897800.462227403,1033677.6250786808
1058888.3723072184,845437.1046359799
1645790.0339805235,1057351.0905782674
1020646.5059263865,784024.831455471
1422191.3259440076,880969.1175852943
1046772.1550397195,794051.2843717698
1744411.129327047,1004839.1884280297
985203.7632144007,742517.9356539578
1645399.9579851592,1081708.1559943988
1492891.122436502,957838.3202905161
999857.6298412366,761074.6329203031
1299602.9930020568,775321.7179075682
1424641.3056754896,900048.4930639694
1935898.5200322282,1126436.8974833747
