target_rmse,target_mae
868201.2,504878.38
786937.94,558551.75
947683.1,551883.6
739279.1,559225.94
759065.25,538373.75
668066.75,478930.3
1313347.6,682656.0
747809.2,544557.0
754643.7,504359.88
1033912.9,638923.3
1105064.4,577962.44
1249561.0,603088.94
1022943.06,604076.8
734456.0,500824.56
711442.0,491691.28
1304962.8,767615.7
754942.75,562835.75
856629.0,565422.75
906438.6,536860.9
1279356.2,598979.75
718499.8,526539.4
1356190.4,610751.75
822951.56,556546.8
767083.2,525826.6
1436197.4,711216.5
750437.94,539004.94
689376.1,527714.2
1389791.0,723288.06
1234334.6,613430.2
1252891.4,642873.5
708919.1,503244.75
818591.25,599625.9
919762.5,577147.75
1861149.0,874661.1
991345.94,640947.75
822610.2,579077.2
795615.94,540741.4
777127.44,558565.4
863924.75,609819.94
1672616.4,809177.8
1181389.8,629924.44
1465764.2,710314.56
1474516.9,757776.5
1049953.4,511249.88
1197765.6,621480.4
982863.5,597891.8
1336929.8,828148.56
1191558.9,604897.75
883832.94,598892.06
1224113.1,708620.56
1113631.9,568626.5
1702541.8,817368.4
740347.7,579569.4
1167457.5,668225.94
1548708.9,713969.7
1318321.4,644146.94
1556908.1,794480.06
674914.8,495327.3
1269097.5,667040.3
813176.75,514713.7
1230178.8,650854.8
1244220.8,638905.4
694457.3,484252.75
1090664.9,721667.6
963196.3,540691.5
742172.5,537767.94
1114255.5,637560.8
871721.1,545026.06
1113599.8,676505.2
,
689406.8,520231.97
819068.25,521908.16
792525.9,604438.1
817311.56,603236.2
1085383.5,622976.2
1142091.8,640891.75
1170555.0,624428.7
1066071.5,612984.4
1099112.8,666878.1
1147738.6,598027.56
714079.25,550507.2
1003930.1,634853.75
1568347.1,753234.5
158708780.0,158702690.0
901223.25,653742.94
964964.1,620234.6
1563388.8,766304.3
747827.0,523425.25
911906.56,534115.1
1151927.2,592824.25
1644856.8,774189.44
1138068.0,601219.6
915387.9,532858.5
1243439.2,643813.94
1251063.0,656036.2
1097707.6,603567.6
602275.44,456855.72
1086497.2,583889.75
752317.25,505887.56
767099.06,549647.44
