source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
278643.9890883195,128465960215.06125,358421.4840311072,626919.867848849,983280538723.1333,991605.0316144696,173074.080682823,58099975103.35686,241039.36421953337,522950.6264511197,893371900039.3667,945183.5271730918,,1.4261781985931519,,,
337147.5819915899,217449783651.20474,466315.111969583,704206.5017041431,819631419521.7167,905334.9764157556,274754.3109293921,157724780837.40262,397145.7929242139,543163.3173937488,604085345676.6815,777229.2748453841,,1.3562247140034536,,,
291303.03263263876,166359973247.69354,407872.496311891,664843.1741541448,886802887033.3671,941702.1222410869,299344.7575310679,217756592132.11993,466643.9672085346,469017.2976931046,391405627066.18945,625624.1899624642,,1.3794879567652796,,,
317495.8072002543,173918795855.35287,417035.724914968,927456.2371783768,2366124310087.9717,1538221.151228903,514341.7765697527,588816537901.7148,767343.8198758852,682952.1044125451,1676958978182.5085,1294974.508699885,,1.3971172383773274,,,
259993.1228055268,129630597514.93666,360042.49404054607,733060.4222398454,1329760748296.2156,1153152.5260329682,283679.92188710475,126010990037.16939,354980.2671095527,547207.7161678846,867337321907.8999,931309.4662398208,,1.4168108800058627,,,
360139.9074486688,275246312148.6209,524639.2209400865,650759.8228545382,842794740287.6746,918038.5287599178,227166.90399513184,92384469315.44685,303948.13589730544,532398.9559477888,691077919568.1034,831310.9644219204,,1.4216952219975019,,,
409871.621494907,306507459659.46564,553631.158497664,890000.2223407801,1185943807661.2168,1089010.4717867577,338550.12764552305,279580992700.3271,528754.1892981342,569088.2174892814,594429000377.666,770992.21810448,,1.3642261046408628,,,
288684.5502507607,157534675253.2431,396906.38096816116,770893.7261327046,1209078230634.8484,1099580.9340993725,359415.61463900044,258088820200.84012,508024.4287441699,556098.4748625959,756392970719.384,869708.5550455302,,1.381632145259731,,,
566123.901781423,596894407293.5671,772589.417021465,1896594.0978070677,6606603979013.77,2570331.492048014,264378.9615176108,128531889614.82246,358513.44412005314,590538.8713031331,732707437907.7144,855983.3163722961,,1.4236654354411915,,,
418441.2008333641,388199283931.5948,623056.4050963563,980886.183688707,2359459268426.7144,1536053.146354876,354575.3376604481,260470419650.50995,510363.02731537085,696089.2379643294,1403558531390.1384,1184718.7562413868,,1.4060109413421027,,,
