target_rmse,target_mae
1119530.401924297,783852.6531409455
1204066.9489879317,769031.1157660675
2425257.3340549553,1195116.6142018128
1555885.0985834813,996489.6717124939
1057207.7840111167,774145.779542923
1509270.694744482,867824.5003272247
1280783.1005721262,814188.8436186218
1328414.8129717929,888726.8098628235
1289805.6973370283,916807.3807115173
1111747.682594413,815981.0245409394
1363522.9105870002,890085.3534819793
1956261.8891132465,969318.8756717682
1235115.7104090292,870608.3022633361
1639825.2436628502,983695.4819067382
1079807.8689948611,830805.4187135788
1242362.0961919622,929467.1108997345
980534.037347048,737507.9725476074
1252408.1449774886,906207.0518138886
1569383.294723162,919388.0007189942
1703676.7007001215,1051734.9800431824
1291181.7696012424,839521.8110660644
905424.7809512275,713444.9042500305
1270730.0057292464,837734.8275094605
1221969.3523586493,814395.0032803726
1283330.090244307,819182.609450531
1280131.2311640633,885797.0691311889
1121715.220577619,867936.9376688385
1567602.7085227224,935052.6057975006
1428736.1640731853,812123.0225245666
1065899.1160984216,792510.3484575653
984306.2152702482,694505.5433589935
1409613.0149385496,892629.4224889374
1178432.982102913,864278.1813478852
1412666.8140542298,943227.3466566467
1238740.4588626293,797202.6201235962
1163080.1461549527,806634.4596127319
1243820.2763766034,880489.9825077057
903570.9737072723,685673.4191664123
955678.6668316675,636596.3368251801
1773518.7568929014,1024108.0294020843
982122.911125158,696447.0231346131
1262014.408531755,857942.6152427674
1094562.5684577387,729519.7720346069
1186943.5972368396,853009.5824222565
1377080.4959517915,935716.2175222778
1119023.5193044234,791666.3136231995
1067578.4537214395,780360.046927185
1113609.5309624772,800495.4128675079
1181996.8131305024,874956.4786440277
1737172.8963170708,1048029.4307346344
2169717.2193586663,1040490.0535313416
1156135.5717128508,835827.2896825409
1548716.490897699,958600.2575378418
1158285.777377213,821025.2270850373
1805063.1948052286,911781.7938452149
2244624.042811589,1054130.0095999145
1025520.3607553429,754635.3396955872
1035559.9860388697,742741.0346705627
1906375.47917462,1030806.1286681365
1985196.4271813938,1075896.9473768615
1898081.5233670375,927378.394504013
1098272.610857142,720867.7634619904
1253894.7544908284,862075.1161836243
1351407.474291465,913250.2724692535
1292288.8716010684,879511.233734436
1149592.0166604093,788528.5523537445
1378748.831696822,977405.1646258545
1100069.5950380354,788298.4005677796
1436553.845400944,940056.6066535186
1663685.787276368,931334.2432751465
1191946.2716186703,764158.0673181915
1052603.6186467123,743525.2048466492
1434148.7888353318,953337.0847354889
1454819.0876108278,901822.3767188262
1729759.8812673206,907224.3586211411
1474360.6418884392,904675.8994506072
1266684.1709769282,898415.1149642945
1412154.159463298,903478.7222285462
1879359.3072822543,940625.6864570709
1267902.135933985,922233.1993426514
1297942.6803123532,783827.5760053253
1500082.7392572728,870080.8843791198
1259288.9260045192,903139.9226350402
1258238.2779542934,890096.1369812775
1155367.1270579703,821565.609818039
1118277.3257212546,756078.4611807251
999828.3441919569,690740.6240298462
1235331.2126880244,789564.0955464036
1103457.9248078577,796567.6869340362
1537092.015770286,917119.5307578278
891577.6690509698,684557.0852041626
1186950.3207604853,772589.2062516022
903999.4451694887,685569.8441981507
1210656.9693017062,890996.9997707566
1003116.0800449031,738411.8185499572
1485226.2517687,956620.074899292
1260058.214825871,788069.2624971009
1069892.5043469418,758752.6677072906
1338014.1915185496,800232.6820023346
1621192.0791654834,888740.6916675842
