target_rmse,target_mae
681754.5,510727.6
852770.44,596394.25
628728.94,546561.25
1987390.2,908404.0
862483.5,610490.2
801497.06,628414.0
859522.9,570696.7
751174.56,582874.94
1184099.0,638054.25
778390.2,530227.8
832434.06,515324.03
785165.3,588299.94
803988.56,610780.5
877041.7,593105.25
699735.3,557096.0
610224.7,510083.6
762940.9,545769.75
893155.3,602491.3
897840.6,619004.6
914699.9,528496.06
998458.2,659627.1
1179116.5,749456.0
583968.5,441663.53
724102.7,552061.0
955838.56,669690.7
1961873.4,862019.75
570766.7,465617.38
1519411.0,864263.8
1102426.2,742819.06
763480.8,594359.25
1036059.1,629933.1
528025.9,430414.84
551905.2,464678.72
961521.25,690169.75
931026.4,597227.8
693038.4,517963.44
791827.7,554611.4
838766.2,581353.06
827641.7,615944.1
783743.75,589632.9
734805.4,551977.94
842732.2,558962.94
705154.25,625618.75
1250332.9,655123.2
1504463.5,649814.7
1040097.56,663490.6
693999.5,558492.3
547818.25,451992.53
1940944.4,816368.56
1330510.8,796864.0
895171.1,564975.7
885640.56,653045.94
1879050.6,855418.6
1156863.4,658713.06
1372742.1,771204.75
694984.2,582091.6
1112797.2,642138.06
792596.4,618954.1
986654.7,635603.3
763813.2,571098.4
1127515.6,654679.3
787050.44,530496.94
1123727.5,679126.3
937164.4,666156.6
1309235.1,707916.5
887538.8,607898.4
3331702000.0,3331701800.0
776401.9,565445.94
1072065.4,744885.2
1245485.4,688751.2
1050288.2,655649.5
706268.0,556083.94
701504.56,551332.75
612163.4,489966.9
784161.6,567844.75
778978.9,647726.75
2565725200.0,2565725200.0
1374924.4,687735.7
1205424.4,776768.2
862405.1,586884.25
816460.94,591477.2
1008961.7,651758.8
1139883.2,601919.8
937052.06,630235.3
1024009.0,606262.0
910090.56,605957.5
1180087.2,626552.25
1428752.6,784538.9
988972.4,629117.75
749280.75,625793.25
1548042.0,879095.44
994447.6,664346.25
1371855.2,861359.44
941244.2,582416.3
762562.75,601591.6
1036561.4,644539.3
1096754.4,666367.6
820126.0,638798.75
728794.44,563810.75
1203804.0,729373.94
