source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
241631.8515419337,110086035690.5268,331792.15736742,688494.8253921294,1035504176578.7461,1017597.2565699782,171520.44785557277,58196963511.62393,241240.46822957366,757824.3356015207,1377541529726.8171,1173687.1515556509,,,,,
267923.76196250145,147338746655.13724,383847.29601123574,888629.2809502399,1554455547301.5718,1246778.0665786401,449416.8481224358,525330954687.99805,724797.1817605239,888464.7366996068,1754206443310.9248,1324464.5874129382,,,,,
373625.87932263623,312745531814.91235,559236.5615863401,869043.2089685958,1266333071869.3127,1125314.654605241,234653.87503507282,88746003848.23041,297902.67512768396,916147.8187452822,1345361989546.005,1159897.4047500947,,,,,
238525.54681382593,101163245959.83743,318061.7014980544,927674.9930052601,2265558733404.2295,1505177.3096230987,535098.8062530798,647134182866.0375,804446.5071501258,972139.3597869367,2657095996084.848,1630060.1203896892,,,,,
360709.8733581353,282341009539.98883,531357.7039433877,935432.8088838219,1447465752169.1812,1203106.7085546406,333006.33088370913,209981068219.8563,458236.9127644087,768738.2746690008,1142248290474.9646,1068760.1650861453,,,,,
345608.7878510105,232025657237.43085,481690.41638528666,764220.8297132435,1113969270989.9675,1055447.426919014,326127.515989342,294256813345.17584,542454.4343492602,859601.3063631657,1494762418061.4126,1222604.7677239822,,,,,
344547.3691572443,217140622700.9019,465983.5004599432,767460.1744503904,949923389120.5417,974640.1331366063,195831.88950342496,67313489358.30779,259448.43294633288,829834.422221543,1271801351190.577,1127741.7041107316,,,,,
331219.94821479224,189129576474.72833,434890.30395575427,713520.5528697812,832971578869.68,912672.7665870611,227157.2837718305,114354514138.52974,338163.44293629634,817865.0609162217,1196735783254.472,1093954.1961409864,,,,,
345655.47596520983,217894723762.77228,466791.9491194897,712910.7003191158,1066426361864.2219,1032679.2153734004,209102.8591987493,86592117080.61052,294265.38546116924,732182.9113838365,882530971692.9153,939431.195826983,,,,,
272997.31910795707,133077609365.13858,364798.0391465099,817432.1614606103,2073833724352.4487,1440081.1520023616,461311.4355453236,619512705780.1375,787091.2944380324,887270.8896922641,2205702346863.967,1485160.7141531743,,,,,
296746.12919005036,165454184672.83838,406760.5987221948,736550.7509132515,1001608537438.585,1000803.9455550647,228625.80187681474,88159662928.39558,296916.92933949654,647416.6170811676,695073930034.0326,833710.9391354012,,,,,
323250.66327602963,170357666032.82394,412744.06844050944,592967.5226760332,630893204106.3607,794287.8597248989,246828.55264250305,104518930988.72092,323293.87712841225,727920.6903671314,852454960289.3197,923284.8749380225,,,,,
321289.2966467723,182689850029.37677,427422.33216033154,930280.3312047623,1983474332587.0874,1408358.7371785243,374607.01998487854,273665447875.9397,523130.43103602726,761219.3948508494,1526961446374.828,1235702.8147474732,,,,,
319753.42922728974,185782802691.67548,431025.29240367725,694450.9656787174,962246902967.6407,980941.8448448617,267664.1745870098,143818062885.35925,379233.5202554743,695054.8893605189,752106169370.6019,867240.548735241,,,,,
336333.0913964155,192318611673.10233,438541.459468888,727224.4296264467,854816860608.1915,924563.0647003975,320996.2999668332,197542931365.1264,444458.0198006628,740826.1655457133,773165240280.0236,879298.1520963316,,,,,
341982.9236450465,210376447142.02985,458668.1230934082,702673.9039264523,1244166652367.1025,1115422.185706875,448857.9140138994,473867483514.4696,688380.3334745042,779779.9451514329,1444050685998.1929,1201686.600573624,,,,,
241936.207344456,97261117621.49007,311867.14739050355,805328.9445999612,1313305391578.8982,1145995.3715346751,300211.8070955867,163593961115.59183,404467.50316384115,772492.5998431338,1352529795878.446,1162983.1451394495,,,,,
316201.3290203259,168693869390.4948,410723.5924444745,978711.5871328529,2216643597490.1133,1488839.6815943997,382100.7656656491,288806638528.13336,537407.330177151,959636.9412059234,2236761852864.2173,1495580.7744365456,,,,,
276834.17376545985,136631859935.78766,369637.4709574067,812055.2990561086,2239546353054.031,1496511.3942279327,280725.2530043145,163238500240.15564,404027.84587223147,854504.3132300719,1983206450680.761,1408263.629680452,,,,,
270727.4069261889,139413240885.94843,373380.8255467177,898734.0825225812,2847715094112.554,1687517.4352025387,354655.90101123706,268701368136.79614,518364.1269771628,899492.2489991442,2600789649645.878,1612696.3910314546,,,,,
325448.089999734,249703654938.10898,499703.5670656244,867990.3288662845,2125861110592.8525,1458033.302292116,384147.2527906242,335700467405.9211,579396.6408307189,848321.4977216843,1982957810967.8635,1408175.348089812,,,,,
526229.6978082212,883890402776.6558,940154.456872197,1157622.2372709296,2533896996282.1255,1591821.910981918,345696.47838090995,233957061647.00183,483691.08080158127,1102133.4894955924,2303913586622.851,1517864.8117084904,,,,,
384322.18266782,272652853733.20706,522161.7122436373,971983.337576623,2016621446517.0637,1420077.9719850118,231968.2324959141,91914152661.89774,303173.4695877885,1087608.2134020852,1996733840252.6052,1413058.3286802443,,,,,
332910.20809485833,279690418614.4191,528857.6543971158,794992.027774771,1408928438621.5583,1186982.9142079335,315696.51895865344,240143303282.08444,490044.185030375,713001.7850169422,1311081309093.9265,1145024.5888599628,,,,,
270754.22509328363,132296386528.87274,363725.70232095604,921326.4954808536,2400042555624.5576,1549207.0731908493,314922.6104606341,202477979995.72687,449975.5326634181,882840.0618607354,2123487909064.628,1457219.2385034682,,,,,
377764.0221602899,318653900819.377,564494.376251329,805758.5385843517,1336132901783.407,1155912.151412644,357470.54207566066,274036851936.3637,523485.29295135284,758896.2668352299,1082651193423.8905,1040505.2587199598,,,,,
439275.0627710279,378932546204.0593,615574.9720416347,990045.6948297413,2549912154904.9087,1596844.4366640442,364852.2898250161,235279883455.7326,485056.577582175,1253937.184847572,2879964674679.4067,1697045.8669934077,,,,,
307762.56448208576,152472470867.26553,390477.2347618559,718424.6625205524,1321472288268.975,1149553.0819709785,320123.9159617789,172153454803.59158,414913.79201418645,655679.3090617649,726630564518.7261,852426.2809878201,,,,,
392006.50786957453,242996342162.2508,492946.5915920819,755349.9741514951,1094775304890.2551,1046315.1078381002,244718.0131928031,127421474324.43228,356961.44655191025,925449.3857998205,1525593103795.097,1235149.0208857784,,,,,
221229.5038273334,90333681844.67145,300555.62188166013,922063.4601807471,2048852709462.5566,1431381.399020735,369898.47877746954,253229953275.37686,503219.5875315039,1151303.3111227518,2435886572021.4688,1560732.7035791455,,,,,
337023.51351858705,230638080521.74026,480247.93650961196,673608.8660526993,793549636110.6561,890814.030036941,199887.46059037896,80312713584.6249,283394.9780511731,724889.6381820862,896421232815.2036,946795.243342088,,,,,
414690.729739901,451631262826.62604,672035.1648735548,788596.3482098742,1281189131162.127,1131896.2545932056,289049.9232893831,178638717462.57788,422656.73715507943,812401.7490213087,1112800028149.6812,1054893.3728816772,,,,,
343681.4707906109,216932991232.67596,465760.6587429599,827341.8856443751,1877846883282.3347,1370345.5342658416,334975.2695090025,225754828814.12698,475136.6422558115,787884.8633499086,1809670797082.436,1345240.051842955,,,,,
251872.9738115767,134636460566.11517,366928.4134080041,591543.2904777743,679105607663.1631,824078.6416739383,219677.62833482062,82732615336.72713,287632.7786201133,653062.8718194353,815115585282.1793,902837.5187608119,,,,,
240723.56725275857,112321477448.35036,335143.96525724634,788419.8610713307,1109010756477.8608,1053095.7964391753,310600.3714333238,205738985939.70093,453584.59623283165,702567.668102428,890434046125.3384,943628.1291511706,,,,,
309253.4708568771,165026036537.56314,406233.9677298824,873518.2099398735,1541652880763.0269,1241633.1506379116,209661.2675779081,117701406930.44266,343076.38643666904,830985.6313733327,1474362826073.878,1214233.4314594858,,,,,
318250.1824933718,211428165107.68912,459813.1850085305,1244778.962782395,3056057010770.8276,1748158.1767022193,243179.0586439737,113815969370.96222,337366.22440748604,1088956.9664848216,2154208368577.968,1467722.1700914544,,,,,
328771.6356021886,205812642372.4281,453665.78267754347,998909.9932362628,2567277037073.266,1602272.4603116869,344202.78909583413,223349970412.9371,472599.16463419306,1068575.7373047671,2549179556059.7554,1596615.0306381797,,,,,
457020.46791512956,499386051032.37976,706672.5203603008,678945.2725458597,868079221139.7998,931707.6908235757,243526.06917042215,106291218612.31299,326023.3405943706,714890.8005500288,839553144289.1273,916271.3267854273,,,,,
343491.1899769967,241388311718.7338,491312.845057743,812302.1202008693,1472443952472.01,1213443.0157498168,387796.38257666095,255078630262.5022,505053.09647848137,952984.8181929472,1828445485758.0645,1352200.2387805085,,,,,
312273.96001488186,159531598849.57928,399414.0694186664,798822.854583801,1131937277304.9453,1063925.4096528315,217995.55054598546,111067508713.55139,333267.9233192888,716833.8205413118,879458227867.0172,937794.3419892323,,,,,
287697.70448922995,179937383194.22302,424190.267679756,891783.2364045525,1638154710784.797,1279904.180313822,329833.10833883425,263435819161.84323,513259.9917798418,933215.860749223,1932707015370.887,1390218.3337054965,,,,,
346294.36665002606,233603241332.31537,483325.19211429,836524.9922288035,1330488518670.6526,1153468.0397265684,305214.69215783203,185796003170.3807,431040.60501347284,793967.6801891208,1186650992652.295,1089335.1149450268,,,,,
437722.0645409574,661126255357.4943,813096.7072602706,739820.8721477904,1638003472264.1963,1279845.0969801762,311380.3200222607,163457657647.05933,404298.9706232992,794445.0702204168,2258796520124.0737,1502929.3130829786,,,,,
530679.6467509352,728497645642.4279,853520.7353324393,1008094.5712604226,2367473293212.0635,1538659.576778458,592619.857400563,627080912155.5095,791884.4058039718,1151271.9582498046,3380896735410.3643,1838721.4947920647,,,,,
586196.029997182,946250856232.1971,972754.2630244276,1145347.4514019496,2652645858737.418,1628694.525912523,272052.4708663563,117074347931.68967,342161.2893529741,1127223.7830697438,2725328397417.075,1650856.8676348277,,,,,
266708.07458107715,119579759884.83496,345803.0651755923,857038.0431129436,1226277733631.873,1107374.2518371434,295003.6792649273,175147138386.49985,418505.8403254366,1007318.9836307846,1516175497002.9163,1231330.782934836,,,,,
364203.0617220853,267617686377.07956,517317.78084372816,906768.3950295066,1648677106108.4856,1284008.2188632928,277053.67547941045,157996845509.45334,397488.1702761144,825920.2442966093,1466051760031.728,1210806.2438027514,,,,,
404822.59677328414,274347747470.4629,523782.15650255105,996096.9581873331,1663048013914.887,1289592.1889942135,281952.038985179,130964185352.30283,361889.74198269675,957831.85345742,1553196373857.3877,1246272.9933114124,,,,,
338211.96500873764,205083124691.49142,452861.0434686245,863091.8471647196,1697308609872.5002,1302807.9712192814,383321.92764899554,265250368609.98813,515024.62912950886,1006697.6380088496,2283048823108.6714,1510976.115995442,,,,,
296909.99312778853,158830794261.51874,398535.81302251713,729254.3139619721,1328959924628.535,1152805.2414126745,391314.39035835303,349497454713.1076,591183.097452141,901511.5788777693,1588345707086.902,1260295.8807704253,,,,,
406168.8419566659,361653847355.7621,601376.6268784995,827775.9168109752,1461565683136.7373,1208952.3080488895,222276.99895038962,106533497900.8819,326394.6964962542,897564.3718252189,1460864405338.9177,1208662.237905577,,,,,
370413.5489866597,248707404336.73184,498705.72919982765,985735.5596522683,3321959685883.145,1822624.395173933,294431.8159108759,170573901027.69656,413005.9334049531,1041989.937772719,3317220173149.8066,1821323.741993665,,,,,
